"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","rt","stamp","id"
"A1MJVTR0PCKBWW","caus_thomas_all_v2","3PH3VY7DJLYX7AGOJBPUW62M9RSZW2","6","0","0","4","1","29421","2017-09-15 13:34:16","5272"
"A2JJ3HTE17QJBZ","caus_thomas_all_v2","3NXNZ5RS1AY3B4XA75NJR21C1XV79T","1","0","0","3","7","26882","2017-09-15 13:34:21","5273"
"A6ZAKE3FP8YKY","caus_thomas_all_v2","3F1567XTNW6DHM2P34WPRTI76NN9QT","3","0","0","1","5","12603","2017-09-15 13:34:25","5274"
"A2JJ3HTE17QJBZ","caus_thomas_all_v2","3NXNZ5RS1AY3B4XA75NJR21C1XV79T","1","1","1","4","5","8815","2017-09-15 13:34:31","5275"
"A6ZAKE3FP8YKY","caus_thomas_all_v2","3F1567XTNW6DHM2P34WPRTI76NN9QT","6","1","1","3","3","8556","2017-09-15 13:34:34","5276"
"A1BEBN58T1E0TH","caus_thomas_all_v2","39JEC7537U27KS591N0QZ6INT05CV7","4","0","0","6","1","15987","2017-09-15 13:34:35","5277"
"A2JJ3HTE17QJBZ","caus_thomas_all_v2","3NXNZ5RS1AY3B4XA75NJR21C1XV79T","6","2","2","6","2","4596","2017-09-15 13:34:36","5278"
"A6ZAKE3FP8YKY","caus_thomas_all_v2","3F1567XTNW6DHM2P34WPRTI76NN9QT","5","2","2","8","10","7455","2017-09-15 13:34:43","5279"
"A2PZG5F8RIESH9","caus_thomas_all_v2","3Z4GS9HPNVBZXL9HS8PZD6A667777H","4","0","0","4","6","36269","2017-09-15 13:34:43","5280"
"A2JJ3HTE17QJBZ","caus_thomas_all_v2","3NXNZ5RS1AY3B4XA75NJR21C1XV79T","1","3","3","1","9","6870","2017-09-15 13:34:44","5281"
"A1MJVTR0PCKBWW","caus_thomas_all_v2","3PH3VY7DJLYX7AGOJBPUW62M9RSZW2","8","1","1","7","10","26866","2017-09-15 13:34:44","5282"
"A1BEBN58T1E0TH","caus_thomas_all_v2","39JEC7537U27KS591N0QZ6INT05CV7","4","1","1","5","7","8816","2017-09-15 13:34:44","5283"
"A2PZG5F8RIESH9","caus_thomas_all_v2","3Z4GS9HPNVBZXL9HS8PZD6A667777H","4","1","1","7","7","3957","2017-09-15 13:34:48","5284"
"A2JJ3HTE17QJBZ","caus_thomas_all_v2","3NXNZ5RS1AY3B4XA75NJR21C1XV79T","7","4","4","8","10","6637","2017-09-15 13:34:51","5285"
"A1BEBN58T1E0TH","caus_thomas_all_v2","39JEC7537U27KS591N0QZ6INT05CV7","4","2","2","8","5","6799","2017-09-15 13:34:52","5286"
"A6ZAKE3FP8YKY","caus_thomas_all_v2","3F1567XTNW6DHM2P34WPRTI76NN9QT","3","3","3","2","1","8704","2017-09-15 13:34:52","5287"
"A1MJVTR0PCKBWW","caus_thomas_all_v2","3PH3VY7DJLYX7AGOJBPUW62M9RSZW2","6","2","2","6","9","8412","2017-09-15 13:34:54","5288"
"A1BEBN58T1E0TH","caus_thomas_all_v2","39JEC7537U27KS591N0QZ6INT05CV7","4","3","3","3","4","3692","2017-09-15 13:34:57","5289"
"AXPGZD6Q9556W","caus_thomas_all_v2","3B3WTRP3DB3WP3041T6OVBK4QH9298","2","0","0","3","8","31199","2017-09-15 13:34:59","5290"
"A2PZG5F8RIESH9","caus_thomas_all_v2","3Z4GS9HPNVBZXL9HS8PZD6A667777H","0","2","2","10","9","10933","2017-09-15 13:35:00","5291"
"A6ZAKE3FP8YKY","caus_thomas_all_v2","3F1567XTNW6DHM2P34WPRTI76NN9QT","4","4","4","5","6","8438","2017-09-15 13:35:02","5292"
"A2VXM4EO7RLLWZ","caus_thomas_all_v2","3U5NZHP4LR3LWGJT135S45QLK48PH7","8","0","0","8","9","44921","2017-09-15 13:35:07","5293"
"A2PZG5F8RIESH9","caus_thomas_all_v2","3Z4GS9HPNVBZXL9HS8PZD6A667777H","4","3","3","5","2","5880","2017-09-15 13:35:07","5294"
"A1BEBN58T1E0TH","caus_thomas_all_v2","39JEC7537U27KS591N0QZ6INT05CV7","0","4","4","10","3","10524","2017-09-15 13:35:08","5295"
"A1MJVTR0PCKBWW","caus_thomas_all_v2","3PH3VY7DJLYX7AGOJBPUW62M9RSZW2","6","3","3","3","8","19827","2017-09-15 13:35:14","5296"
"A2PZG5F8RIESH9","caus_thomas_all_v2","3Z4GS9HPNVBZXL9HS8PZD6A667777H","2","4","4","2","10","6962","2017-09-15 13:35:15","5297"
"AXPGZD6Q9556W","caus_thomas_all_v2","3B3WTRP3DB3WP3041T6OVBK4QH9298","5","1","1","6","7","16756","2017-09-15 13:35:16","5298"
"AXPGZD6Q9556W","caus_thomas_all_v2","3B3WTRP3DB3WP3041T6OVBK4QH9298","6","2","2","9","4","8138","2017-09-15 13:35:26","5299"
"AXPGZD6Q9556W","caus_thomas_all_v2","3B3WTRP3DB3WP3041T6OVBK4QH9298","5","3","3","8","1","3499","2017-09-15 13:35:30","5300"
"A1MJVTR0PCKBWW","caus_thomas_all_v2","3PH3VY7DJLYX7AGOJBPUW62M9RSZW2","4","4","4","5","5","16939","2017-09-15 13:35:32","5301"
"AXPGZD6Q9556W","caus_thomas_all_v2","3B3WTRP3DB3WP3041T6OVBK4QH9298","3","4","4","7","10","5420","2017-09-15 13:35:36","5302"
"A2PDRB9EI2J77Q","caus_thomas_all_v2","3Q5ZZ9ZEVOGOAV0HEK28TMS5QLI58N","3","0","0","6","8","53417","2017-09-15 13:35:41","5303"
"A3H9XHNUS12SSA","caus_thomas_all_v2","3CPLWGV3MO0SEPPXNC48NZN21C09N6","4","0","0","4","6","78714","2017-09-15 13:35:45","5304"
"A2VXM4EO7RLLWZ","caus_thomas_all_v2","3U5NZHP4LR3LWGJT135S45QLK48PH7","6","1","1","9","5","42675","2017-09-15 13:35:51","5305"
"AHWF0QIK9VTDS","caus_thomas_all_v2","3R3YRB5GRF4JEYJBCJUUXPQGFQBAUE","4","0","0","2","7","34767","2017-09-15 13:36:10","5306"
"A2PDRB9EI2J77Q","caus_thomas_all_v2","3Q5ZZ9ZEVOGOAV0HEK28TMS5QLI58N","7","1","1","7","3","30717","2017-09-15 13:36:13","5307"
"AHWF0QIK9VTDS","caus_thomas_all_v2","3R3YRB5GRF4JEYJBCJUUXPQGFQBAUE","4","1","1","3","3","12051","2017-09-15 13:36:23","5308"
"A3H9XHNUS12SSA","caus_thomas_all_v2","3CPLWGV3MO0SEPPXNC48NZN21C09N6","2","1","1","3","1","37449","2017-09-15 13:36:23","5309"
"A3NQ6LME55Y8AD","caus_thomas_all_v2","37C0GNLMHF4WAUWM0BNT7KK6X7Q6DA","4","0","0","9","2","34334","2017-09-15 13:36:25","5310"
"A2PDRB9EI2J77Q","caus_thomas_all_v2","3Q5ZZ9ZEVOGOAV0HEK28TMS5QLI58N","8","2","2","9","2","15409","2017-09-15 13:36:30","5311"
"AS3M818NX9EAI","caus_thomas_all_v2","3FQ5JJ512LPCVL8OR9VXD81IC6CNKE","5","0","0","3","6","34038","2017-09-15 13:36:31","5312"
"A2VXM4EO7RLLWZ","caus_thomas_all_v2","3U5NZHP4LR3LWGJT135S45QLK48PH7","4","2","2","2","6","40996","2017-09-15 13:36:33","5313"
"A1POO4OIUNLJAM
A1POO4OIUNLJAM
","caus_thomas_all_v2","3P529IW9KYMBRZDPELOLK35OZFVFL2","4","0","0","9","3","51511","2017-09-15 13:36:35","5314"
"AHWF0QIK9VTDS","caus_thomas_all_v2","3R3YRB5GRF4JEYJBCJUUXPQGFQBAUE","4","2","2","1","4","12989","2017-09-15 13:36:37","5315"
"A3O2JUIF4DZQJU","caus_thomas_all_v2","3WJ1OXY92AHLG1CY9GTP1X8RIZJ8AW","2","0","0","5","9","82360","2017-09-15 13:36:40","5316"
"A3NQ6LME55Y8AD","caus_thomas_all_v2","37C0GNLMHF4WAUWM0BNT7KK6X7Q6DA","0","1","1","10","4","14597","2017-09-15 13:36:41","5317"
"A1KAEEF53CXL9O","caus_thomas_all_v2","3IXQG4FA2TZQDG00KMZZW4N8KNMB9J","3","0","0","3","2","36923","2017-09-15 13:36:41","5318"
"A1DBPM1UHEP4MU","caus_thomas_all_v2","3FE2ERCCZX9VOX5G5G0IOENMWQMPOV","7","0","0","1","8","12555","2017-09-15 13:36:42","5319"
"A3H9XHNUS12SSA","caus_thomas_all_v2","3CPLWGV3MO0SEPPXNC48NZN21C09N6","6","2","2","1","4","19875","2017-09-15 13:36:44","5320"
"A2PDRB9EI2J77Q","caus_thomas_all_v2","3Q5ZZ9ZEVOGOAV0HEK28TMS5QLI58N","8","3","3","8","1","14905","2017-09-15 13:36:45","5321"
"A3NQ6LME55Y8AD","caus_thomas_all_v2","37C0GNLMHF4WAUWM0BNT7KK6X7Q6DA","8","2","2","1","7","4522","2017-09-15 13:36:46","5322"
"A2VXM4EO7RLLWZ","caus_thomas_all_v2","3U5NZHP4LR3LWGJT135S45QLK48PH7","4","3","3","7","8","13886","2017-09-15 13:36:47","5323"
"AHWF0QIK9VTDS","caus_thomas_all_v2","3R3YRB5GRF4JEYJBCJUUXPQGFQBAUE","4","3","3","4","1","10482","2017-09-15 13:36:48","5324"
"A1DBPM1UHEP4MU","caus_thomas_all_v2","3FE2ERCCZX9VOX5G5G0IOENMWQMPOV","1","1","1","8","4","10153","2017-09-15 13:36:53","5325"
"A2PDRB9EI2J77Q","caus_thomas_all_v2","3Q5ZZ9ZEVOGOAV0HEK28TMS5QLI58N","0","4","4","1","10","10770","2017-09-15 13:36:57","5326"
"AHWF0QIK9VTDS","caus_thomas_all_v2","3R3YRB5GRF4JEYJBCJUUXPQGFQBAUE","0","4","4","10","10","9048","2017-09-15 13:36:58","5327"
"A1KAEEF53CXL9O","caus_thomas_all_v2","3IXQG4FA2TZQDG00KMZZW4N8KNMB9J","0","1","1","8","3","17900","2017-09-15 13:37:00","5328"
"AT116456PANMW","caus_thomas_all_v2","3X08E93BHVJXPLH7QOFF1EAEGL366I","8","0","0","8","10","26543","2017-09-15 13:37:00","5329"
"A3NQ6LME55Y8AD","caus_thomas_all_v2","37C0GNLMHF4WAUWM0BNT7KK6X7Q6DA","5","3","3","7","8","13361","2017-09-15 13:37:01","5330"
"A2VXM4EO7RLLWZ","caus_thomas_all_v2","3U5NZHP4LR3LWGJT135S45QLK48PH7","4","4","4","6","1","13654","2017-09-15 13:37:02","5331"
"A3O2JUIF4DZQJU","caus_thomas_all_v2","3WJ1OXY92AHLG1CY9GTP1X8RIZJ8AW","2","1","1","1","3","22216","2017-09-15 13:37:03","5332"
"A36XTKYLP4IRDN","caus_thomas_all_v2","3TU5ZICBRD2D3HJFYCQBRXNWMH58Q3","4","0","0","3","1","43250","2017-09-15 13:37:04","5333"
"A1DBPM1UHEP4MU","caus_thomas_all_v2","3FE2ERCCZX9VOX5G5G0IOENMWQMPOV","1","2","2","7","5","11094","2017-09-15 13:37:05","5334"
"AS3M818NX9EAI","caus_thomas_all_v2","3FQ5JJ512LPCVL8OR9VXD81IC6CNKE","4","1","1","8","3","32745","2017-09-15 13:37:05","5335"
"A3H9XHNUS12SSA","caus_thomas_all_v2","3CPLWGV3MO0SEPPXNC48NZN21C09N6","2","3","3","6","2","24008","2017-09-15 13:37:09","5336"
"A3NQ6LME55Y8AD","caus_thomas_all_v2","37C0GNLMHF4WAUWM0BNT7KK6X7Q6DA","8","4","4","3","10","7826","2017-09-15 13:37:10","5337"
"A1POO4OIUNLJAM
A1POO4OIUNLJAM
","caus_thomas_all_v2","3P529IW9KYMBRZDPELOLK35OZFVFL2","4","1","1","4","7","35900","2017-09-15 13:37:11","5338"
"A1KAEEF53CXL9O","caus_thomas_all_v2","3IXQG4FA2TZQDG00KMZZW4N8KNMB9J","0","2","2","10","6","14370","2017-09-15 13:37:16","5339"
"A1DBPM1UHEP4MU","caus_thomas_all_v2","3FE2ERCCZX9VOX5G5G0IOENMWQMPOV","6","3","3","5","6","9649","2017-09-15 13:37:16","5340"
"AS3M818NX9EAI","caus_thomas_all_v2","3FQ5JJ512LPCVL8OR9VXD81IC6CNKE","7","2","2","1","1","12103","2017-09-15 13:37:18","5341"
"A356EVHB3TU90R","caus_thomas_all_v2","3TMFV4NEP8FINEF1ALPHJM5IAIMW8V","3","0","0","8","6","22401","2017-09-15 13:37:22","5342"
"A1DBPM1UHEP4MU","caus_thomas_all_v2","3FE2ERCCZX9VOX5G5G0IOENMWQMPOV","8","4","4","3","2","5583","2017-09-15 13:37:22","5343"
"A3O2JUIF4DZQJU","caus_thomas_all_v2","3WJ1OXY92AHLG1CY9GTP1X8RIZJ8AW","2","2","2","10","1","18118","2017-09-15 13:37:23","5344"
"A36XTKYLP4IRDN","caus_thomas_all_v2","3TU5ZICBRD2D3HJFYCQBRXNWMH58Q3","8","1","1","9","10","19502","2017-09-15 13:37:25","5345"
"A1KAEEF53CXL9O","caus_thomas_all_v2","3IXQG4FA2TZQDG00KMZZW4N8KNMB9J","0","3","3","6","5","9845","2017-09-15 13:37:26","5346"
"A3H9XHNUS12SSA","caus_thomas_all_v2","3CPLWGV3MO0SEPPXNC48NZN21C09N6","7","4","4","5","9","21130","2017-09-15 13:37:31","5347"
"A356EVHB3TU90R","caus_thomas_all_v2","3TMFV4NEP8FINEF1ALPHJM5IAIMW8V","6","1","1","3","4","8424","2017-09-15 13:37:32","5348"
"A1POO4OIUNLJAM
A1POO4OIUNLJAM
","caus_thomas_all_v2","3P529IW9KYMBRZDPELOLK35OZFVFL2","1","2","2","8","2","19865","2017-09-15 13:37:32","5349"
"A3O2JUIF4DZQJU","caus_thomas_all_v2","3WJ1OXY92AHLG1CY9GTP1X8RIZJ8AW","2","3","3","7","7","10942","2017-09-15 13:37:34","5350"
"A4HNS81WU3KY1","caus_thomas_all_v2","32AT8R96GLANEU55TJGLIPKM1WHUST","7","0","0","1","2","135664","2017-09-15 13:37:36","5351"
"A2KOECHP94T0TI","caus_thomas_all_v2","3YWRV122CS05VAQWFLAG1YKLP2BU8U","4","0","0","4","4","19272","2017-09-15 13:37:36","5352"
"A1KAEEF53CXL9O","caus_thomas_all_v2","3IXQG4FA2TZQDG00KMZZW4N8KNMB9J","0","4","4","9","10","9993","2017-09-15 13:37:37","5353"
"A36XTKYLP4IRDN","caus_thomas_all_v2","3TU5ZICBRD2D3HJFYCQBRXNWMH58Q3","2","2","2","7","4","11795","2017-09-15 13:37:38","5354"
"A356EVHB3TU90R","caus_thomas_all_v2","3TMFV4NEP8FINEF1ALPHJM5IAIMW8V","7","2","2","2","3","6756","2017-09-15 13:37:40","5355"
"A3O2JUIF4DZQJU","caus_thomas_all_v2","3WJ1OXY92AHLG1CY9GTP1X8RIZJ8AW","2","4","4","9","2","7931","2017-09-15 13:37:43","5356"
"A2KOECHP94T0TI","caus_thomas_all_v2","3YWRV122CS05VAQWFLAG1YKLP2BU8U","3","1","1","7","6","8596","2017-09-15 13:37:45","5357"
