"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","alt2_high","greenSecond","rt","stamp","id"
"AHSQOWJG4HA3S","caus_thomas_boxes_v2","39GXDJN2OTF58PFWKBKLXKM47TV8VG","3","0","0","0","1","1",,"13690","2017-10-04 15:52:58","21223"
"A610SH5RY1NG1","caus_thomas_boxes_v2","3P1L2B7AD1Q5XCQIDO7B7XE2V0XOLG","3","0","0","1","0","1",,"8626","2017-10-04 15:53:01","21224"
"AZEGZ5ZVM6P5A","caus_thomas_boxes_v2","3PJ71Z61R43P0II8IP6AQSAZ2V691H","6","0","0","1","0","1",,"4141","2017-10-04 15:53:02","21225"
"A23KAJRDVCVGOE","caus_thomas_boxes_v2","3PXX5PX6LXZ4IZA5CSDZSZYSUPFBAH","3","0","0","0","0","1",,"11846","2017-10-04 15:53:26","21226"
" A3HJ83U3Y7Y78S","caus_thomas_boxes_v2","3IFS6Q0HJIKI53A5Z2R7ZMWBBL6IST","4","0","0","1","1","1",,"17317","2017-10-04 15:53:31","21227"
"A3DRKJIAWYMA9F","caus_thomas_boxes_v2","3OONKJ5DKCKTK346MBIHTUIXJ6JBOG","7","0","0","1","0","1",,"12084","2017-10-04 15:53:32","21228"
"A2P5IL629E7EC8","caus_thomas_boxes_v2","3EICBYG644XYTX5FKYM7WI7T2X9JCC","4","0","0","1","1","1",,"18742","2017-10-04 15:53:36","21229"
"A19BMRBO5UAD6H","caus_thomas_boxes_v2","3T111IHZ5ERDTNHPGJLPWJSC6T0R9V","3","0","0","0","0","0",,"21076","2017-10-04 15:53:51","21230"
"A25894CV44ZZ0V","caus_thomas_boxes_v2","3ZWFC4W1UU8MUX82J5LH6FEN9RVRFN","6","0","0","0","0","1",,"24005","2017-10-04 15:53:53","21231"
"A36CZ0F88ELFWF","caus_thomas_boxes_v2","37XITHEISWAFRLOSS3VGY9TKCE3RCC","4","0","0","0","0","0",,"19317","2017-10-04 15:53:55","21232"
"AJ9N1D8B96693","caus_thomas_boxes_v2","3ND9UOO81K3D2LZK4AYLORROY2WLWP","3","0","0","1","0","1",,"22768","2017-10-04 15:53:58","21233"
"A1YA3HNCUJSJF4","caus_thomas_boxes_v2","3HMIGG0U4L7MCJA1PM754JQYPAX8YP","2","0","0","1","1","0",,"19565","2017-10-04 15:54:06","21234"
"AK81F0NOBFJS3","caus_thomas_boxes_v2","3W8CV64QJ2004T3MKE9VIFQ6JK2H9O","7","0","0","0","1","1",,"23887","2017-10-04 15:54:18","21235"
"ANPTDUX6LOGYY","caus_thomas_boxes_v2","3YJ6NA41JBHHNMEJP38DGI601GOJPQ","1","0","0","1","0","0",,"24823","2017-10-04 15:54:19","21236"
"A320QA9HJFUOZO","caus_thomas_boxes_v2","3VFJCI1K4Z0S8X4XUPRZO0EZA6VGRB","5","0","0","1","0","0",,"27960","2017-10-04 15:54:25","21237"
"A3HV23GQLC4GXH","caus_thomas_boxes_v2","3OS46CRSLF0I4BW8RWNND6QD1Y56VS","0","0","0","0","1","0",,"30178","2017-10-04 15:54:37","21238"
"AJRY9ALX8069Y","caus_thomas_boxes_v2","3C44YUNSI1Q4K0ERF7M2DKBNWWRDP6","7","0","0","0","1","1",,"29987","2017-10-04 15:54:38","21239"
"A2ZBDD2PGJ262Y","caus_thomas_boxes_v2","3W2LOLRXLBGXAJ0GKGCEMS6SHNCRKP","1","0","0","1","0","0",,"27620","2017-10-04 15:54:44","21240"
