"subject","version","assignmentId","cc1","cc2","experienced","instructions_time","total_time","stamp","id"
"A1EBVJWBNNPUFU","caus_thomas_boxes_v2","33NF62TLXJ3GCVH3CB35K1K176IKJQ","No","Not sure","No","30314","63211","2017-10-04 15:55:12","832"
"AJRY9ALX8069Y","caus_thomas_boxes_v2","3C44YUNSI1Q4K0ERF7M2DKBNWWRDP6","Yes","Yes","No","75930","141659","2017-10-04 15:55:13","833"
"A21ZXLGZ9OBHJV","caus_thomas_boxes_v2","37U1UTWH9VNDFIYFBRFBWNX1MNI8RN","No","No","Not sure","40294","76166","2017-10-04 15:55:16","834"
"A31XNLA9REVGXL","caus_thomas_boxes_v2","3BXQMRHWKZZKGZS09MKZ6GLGDRBMUT","No","Yes","No","29145","64634","2017-10-04 15:55:26","835"
"A2ZBDD2PGJ262Y","caus_thomas_boxes_v2","3W2LOLRXLBGXAJ0GKGCEMS6SHNCRKP","No","Yes","No","76902","150775","2017-10-04 15:55:30","836"
"A3UUK65H63DHFX","caus_thomas_boxes_v2","3JRJSWSMQHM25HN4D40F6ZQ7RC0E3O","No","Yes","No","41150","103054","2017-10-04 15:55:33","837"
"A2UNSF09FWX9S8","caus_thomas_boxes_v2","3LBXNTKX0RWXQJ31PIRHL1E07AL9X9","No","Yes","No","37697","73798","2017-10-04 15:55:36","838"
"A2C4R0TBPZGWTD","caus_thomas_boxes_v2","3BGYGHDBBXLLPJF5GKR9LOCQOVB220","No","Yes","No","28338","55166","2017-10-04 15:55:44","839"
"A1MT1OXZGY8RJ2
A1MT1OXZGY8RJ2
A1MT1OXZGY8RJ2
A1MT1OXZGY8RJ2","caus_thomas_boxes_v2","3O7L7BFSHEQHVK5NY772A5SWAUXEIO","No","Yes","Yes","50472","103338","2017-10-04 15:55:47","840"
"A3U15I26Q6IYP","caus_thomas_boxes_v2","378XPAWRUCEE57OBI25GEM25PFZIAX","No","Yes","Not sure","41248","98961","2017-10-04 15:55:50","841"
"A23H7XNZHF8JQY","caus_thomas_boxes_v2","3NJM2BJS4W7UF88DFBRRTET5BWFCP5","No","Yes","No","49236","82720","2017-10-04 15:55:53","842"
"A8TFVGAEEN2EC","caus_thomas_boxes_v2","3TR2532VIPV9DGWEA794AIFJ6BYJ6K","No","Yes","No","31906","104861","2017-10-04 15:56:02","843"
"A13TXQMAQ7GPQR","caus_thomas_boxes_v2","3ITXP059PWKE0EUBHKC7BNBBO0VSJF","No","Not sure","No","38771","75248","2017-10-04 15:56:09","844"
"A193FEHCOS0E2J","caus_thomas_boxes_v2","3EFE17QCRC6I98ZLTK9MZAVWB8RSHA","No","Yes","Yes","57030","96584","2017-10-04 15:56:09","845"
"A3LKYZLQ40H8D6","caus_thomas_boxes_v2","36WLNQG78ZB78CRHSXFLOIOJF4DBEC","Yes","Yes","No","125257","195538","2017-10-04 15:56:11","846"
"ARR3UJTM2ZGK4","caus_thomas_boxes_v2","3IRIK4HM3ALM52Q80FSINE2OGRPC6Z","No","Yes","Yes","98794","161861","2017-10-04 15:56:28","847"
"A3IR7DFEKLLLO","caus_thomas_boxes_v2","3907X2AHF06HHQGBII2LH1KJZ532PN","No","Yes","No","17908","45226","2017-10-04 15:56:32","848"
"A2XMO68T3BJFFA","caus_thomas_boxes_v2","3WS1NTTKEYDYU3O3PS22MJD001VF0C","No","Yes","Yes","26362","54636","2017-10-04 15:56:36","849"
"A29AX5O8KL48F8","caus_thomas_boxes_v2","3X87C8JFV6CVM1YOCAWG8ONX2VNQS4","No","Yes","Yes","48312","93532","2017-10-04 15:56:45","850"
"A26NGLGGFTATVN","caus_thomas_boxes_v2","37C0GNLMHF4WAUWM0BNT7KK61R16DT","No","Yes","No","41629","75771","2017-10-04 15:56:56","851"
"A18E19QXO73YM4","caus_thomas_boxes_v2","3DH6GAKTYYQ1WFBOYC7IH3N2OJ4ZYL","No","Yes","Not sure","41822","94831","2017-10-04 15:57:04","852"
"A3D3D3F8X3NQYH","caus_thomas_boxes_v2","35USIKEBNRH5W6NZP51W3PW0FV3N6S","No","Yes","Yes","60464","123905","2017-10-04 15:57:10","853"
"A3ANNQ73J8M158","caus_thomas_boxes_v2","3VD82FOHKQPCU8WC0BEC4EOF1RJCOO","Not sure","Yes","No","64655","96229","2017-10-04 15:57:13","854"
"A2ILUP6FN8HKKC","caus_thomas_boxes_v2","3LOZAJ85YDEMQZI249C2BE6M14C2XB","No","Yes","No","33958","79499","2017-10-04 15:57:26","855"
"A39MOCMDRIOSJM","caus_thomas_boxes_v2","3C6FJU71TQUKAGHESP8A0B8NM1PUYR","No","Yes","No","38154","79257","2017-10-04 15:57:35","856"
"A2VJZZPAHHKAOW","caus_thomas_boxes_v2","3ZGVPD4G6TI5FTCUO6KJ9MVN9HMZTW","No","Yes","Yes","71141","104868","2017-10-04 15:57:37","857"
"A1RK314J53UKIN","caus_thomas_boxes_v2","3LRKMWOKB5IBVUIH5R0N8ZMX94A2Z8","No","No","Not sure","41161","94155","2017-10-04 15:57:42","858"
"A1YBX7P5PY8LL","caus_thomas_boxes_v2","3L70J4KAZGNXXW8PQO45NPMSXASADO","No","No","No","35891","85893","2017-10-04 15:57:58","859"
"AV182SXSO370E","caus_thomas_boxes_v2","3DR23U6WE5F74YLYSJ66OCU5LBDTEK","No","Yes","Yes","66833","124995","2017-10-04 15:58:01","860"
"A22LLCN5WBKJJI","caus_thomas_boxes_v2","3PH3VY7DJLYX7AGOJBPUW62MDB4ZWM","No","Yes","No","34356","141119","2017-10-04 15:58:09","861"
"A1Y0Y6U906ABT5","caus_thomas_boxes_v2","3BXQMRHWKZZKGZS09MKZ6GLGDRBUM1","No","Yes","Not sure","90022","158721","2017-10-04 15:58:10","862"
"A24DSECWUBZC0Z","caus_thomas_boxes_v2","3DPNQGW4LLGJAYDT70M04GQ0OE964H","No","Yes","Not sure","42826","90905","2017-10-04 15:58:23","863"
"APVUZDC7WOBE7","caus_thomas_boxes_v2","3IKZ72A5B4H1FZGAQY40XV9D8U6NFV","No","Yes","No","114951","179100","2017-10-04 15:58:26","864"
"A1YPKT2UP2UQ464","caus_thomas_boxes_v2","34T446B1C0FRRR4TYQC1EDSX3O40CN","No","Yes","No","66308","134749","2017-10-04 15:58:36","865"
"AM155T4U3RE1A","caus_thomas_boxes_v2","3137ONMDKG63ZTZS8J7ZPTFGVH6EGX","No","Yes","Yes","49913","94065","2017-10-04 15:58:41","866"
"A8TQSHYC5OOY4","caus_thomas_boxes_v2","3CFJTT4SXTRWM5QDBZTW4V0FO7U7IW","No","Yes","No","92541","193607","2017-10-04 15:58:55","867"
"AS6RFMS6SX06X","caus_thomas_boxes_v2","354P56DE9K4LGJT9GBNA8X62X5W7SO","No","Yes","No","52551","138728","2017-10-04 15:58:55","868"
"ADYMIMV1PE14V","caus_thomas_boxes_v2","326O153BMIZ0N9P16T6RJ8CJIPQDEM","Not sure","No","Not sure","43957","84094","2017-10-04 15:59:14","869"
"A3ICC7SGEF40KR
","caus_thomas_boxes_v2","30OG32W0SUC99LGEVNKUFDODWTSEN5","No","Yes","No","35865","67380","2017-10-04 15:59:31","870"
"A1QG4N21BF61PC","caus_thomas_boxes_v2","33FOTY3KEMMRYGPBU9G1SIB78G9C11","No","No","No","46738","308851","2017-10-04 15:59:39","871"
"A25D66AC4QUW2U","caus_thomas_boxes_v2","37M28K1J0QEA0I8H0KQGQNH52UOJAA","No","Yes","No","86724","155259","2017-10-04 15:59:40","872"
"AJH2N4RI8WA6U","caus_thomas_boxes_v2","3IAS3U3I0FHFDWF1ZDKKMHFUI1O2B2","No","No","No","88782","209906","2017-10-04 15:59:45","873"
"A3HTLXAPOBCVVO","caus_thomas_boxes_v2","39N5ACM9HEOSHA1A3RH0ROSX5BC9PL","No","Yes","Not sure","46504","94750","2017-10-04 15:59:54","874"
"A24PTBOBOPCO6J","caus_thomas_boxes_v2","3KOPY89HM83AGX9WR5B63F3ZWKXJ3F","No","No","Not sure","48158","93494","2017-10-04 16:00:04","875"
"A27HVVLSZZ13XK","caus_thomas_boxes_v2","3WT783CTPBISBE73W69QYUOGUS1CBL","No","Yes","Yes","55569","113240","2017-10-04 16:00:13","876"
"A2ONITCOBY4775","caus_thomas_boxes_v2","3M0BCWMB8VX1PCD8DX9RAOVJM8JBWT","No","Yes","No","47922","103601","2017-10-04 16:00:35","877"
"A2OL18MGK5LEO7","caus_thomas_boxes_v2","3C6FJU71TQUKAGHESP8A0B8NM1QUYS","No","Yes","No","23780","49223","2017-10-04 16:01:10","878"
"A3PTFE5MJV5DU1","caus_thomas_boxes_v2","36H9ULYP62V5W9PPB0C84OSWZA1JFN","No","Yes","Yes","215946","253477","2017-10-04 16:01:38","879"
"A3JT9LHWLFHNS8
","caus_thomas_boxes_v2","3YDTZAI2WXHO3CCW1UAJ9KZJG3T14E","No","No","Not sure","76185","137135","2017-10-04 16:01:45","880"
"AXHB59WY3NYZ4","caus_thomas_boxes_v2","3A1PQ49WVHIIFO0RG1U2398NL8EH1F","Not sure","Yes","Yes","34113","78301","2017-10-04 16:01:51","881"
"A2VDGWD0BBMSP2","caus_thomas_boxes_v2","3R2PKQ87NW9F78X0F5VLNDX5JWPIMI","No","Yes","Not sure","136867","234955","2017-10-04 16:01:55","882"
"A1UCB0D27PY623","caus_thomas_boxes_v2","3OCHAWUVGOLH7FMSTFI6BASGI4XXKR","No","Yes","Yes","25352","56929","2017-10-04 16:02:05","883"
"A34SUZWGLXIWM8","caus_thomas_boxes_v2","386PBUZZXFYRW1ZLXBF6Z1XGW6NJLS","No","Yes","Yes","72191","126249","2017-10-04 16:02:22","884"
"A1XGMGFAP3RXBX","caus_thomas_boxes_v2","3FPRZHYEPY8J7S9Q8UPP63ETR74V3C","No","Not sure","No","54246","102408","2017-10-04 16:02:44","885"
"A2TTRW1EE029C7","caus_thomas_boxes_v2","3UJ1CZ6IZHQ6TFFQSI8DADS66Z25S8","No","Yes","No","27898","64189","2017-10-04 16:03:00","886"
"AFFRVQ2ZRY1A3","caus_thomas_boxes_v2","3ZR9AIQJUBAOWNRE5B6JVFG9BBO04B","No","No","Yes","70538","136244","2017-10-04 16:03:01","887"
"A002160837SWJFPIAI7L7","caus_thomas_boxes_v2","3IO1LGZLK9YKTZ0VJ3CDLS65Q0686R","No","Yes","No","29588","68295","2017-10-04 16:03:02","888"
"A3L2FPKRD46FRW
","caus_thomas_boxes_v2","3M1CVSFP606RM5CUVAAPNOTRGPGQA8","No","Yes","Yes","72209","142070","2017-10-04 16:03:18","889"
"ASLGHXA4453BQ","caus_thomas_boxes_v2","3PB5A5BD0V7IQEKILBTTJJNZ9U3G7E","No","Yes","No","31179","60221","2017-10-04 16:03:28","890"
"A3VAGJTE25UK3Q","caus_thomas_boxes_v2","3483FV8BEEK97KY63M3CB1T240E62M","No","Yes","No","27697","74519","2017-10-04 16:03:30","891"
"A1S8DYWNS59XWB","caus_thomas_boxes_v2","37W3JXSD669X2K6JNPNBIZTK7H1WYT","No","Yes","Not sure","80157","140767","2017-10-04 16:03:54","892"
"ABMPX2Y2IRBMG","caus_thomas_boxes_v2","3UN61F00HWQUS0FDDT88K3NAKXHR54","No","Yes","No","23587","45068","2017-10-04 16:03:55","893"
"A1PZ1YZAQEXRSQ","caus_thomas_boxes_v2","3TR2532VIPV9DGWEA794AIFJ6B06J9","No","Yes","No","41728","81671","2017-10-04 16:04:00","894"
"A2HOJ0B5A8DJVL","caus_thomas_boxes_v2","3NG53N1RLVKS35I0YZBMRSXML5W8PX","No","Yes","No","45961","93422","2017-10-04 16:04:06","895"
"A1KN3TP3P2NJHC","caus_thomas_boxes_v2","3G0WWMR1UVLY6O6J4EFU9UDRFWGNQQ","No","No","No","61346","207614","2017-10-04 16:04:21","896"
"A2M68MELQOVZS7
","caus_thomas_boxes_v2","38YMOXR4MU0VJ0WDH6SJZ89R878W6T","No","Yes","Not sure","38713","81093","2017-10-04 16:04:29","897"
"A2FPCCVXZWHGZF","caus_thomas_boxes_v2","3BF51CHDTVBI8ZF9KIQ2P4PDGGAH0E","No","Yes","No","33821","67282","2017-10-04 16:04:30","898"
"A433U9E31U7LZ","caus_thomas_boxes_v2","3RXCAC0YIRQMQSP1VGLZXJJUKE9G81","No","Yes","Yes","44012","94297","2017-10-04 16:04:30","899"
" A2I32YL4OUGA3G
 A2I32YL4OUGA3G
 A2I32YL4OUGA3G
","caus_thomas_boxes_v2","3V5Q80FXIXSAA1BOKK5E4YHIU9C32D","No","Yes","No","77087","222384","2017-10-04 16:04:47","900"
"A2B6PP2KXD19N6","caus_thomas_boxes_v2","3VSOLARPKBALALWN5TKTELPW0FL394","No","Yes","Yes","46969","82482","2017-10-04 16:05:28","901"
" A39J5RLVDTM6SM","caus_thomas_boxes_v2","3FE7TXL1LIO2H2HQIVHAH6AT41QQ23","Not sure","Yes","Yes","20094","51656","2017-10-04 16:05:46","902"
"A3DDZYMKRVQRT6
","caus_thomas_boxes_v2","3RANCT1ZVFIOX8O3IXUQS0AM1S9UBE","No","Yes","No","32834","71471","2017-10-04 16:05:47","903"
"A273DS7TQWR9M1","caus_thomas_boxes_v2","36H9ULYP62V5W9PPB0C84OSWZA3JFP","No","Yes","Not sure","57921","108817","2017-10-04 16:05:52","904"
"A1NTIA4C6JCYTX","caus_thomas_boxes_v2","3K5TEWLKGVCYXVR9TXWCA9GIAP2IV0","No","Yes","No","81416","121216","2017-10-04 16:05:57","905"
"ASFJ6WKFULUJT","caus_thomas_boxes_v2","3EQHHY4HQST33A6ZXIEWLZ93IO95GP","Yes","Yes","Yes","6332","23865","2017-10-04 16:06:18","906"
"A26XF8O4XRL8JA","caus_thomas_boxes_v2","3JMSRU9HQIVMHQPNXE6LPUIQIWVEVN","No","Yes","Yes","49631","108357","2017-10-04 16:06:31","907"
"A2JZP4AZI1RTG4","caus_thomas_boxes_v2","39N5ACM9HEOSHA1A3RH0ROSX5BCP91","No","Yes","Yes","27705","77159","2017-10-04 16:06:42","908"
"A2XFO0X6RCS98M","caus_thomas_boxes_v2","3F6HPJW4JD171ZDCU4GG9VSFS282WK","No","Yes","No","12260","55827","2017-10-04 16:07:00","909"
"A2UP31CCCRMM6W","caus_thomas_boxes_v2","3R8YZBNQ9HJ933EWO7Y5DXR1FHCQ7J","No","Yes","Yes","35312","110291","2017-10-04 16:07:01","910"
"A2HWY6MOLHPI8M","caus_thomas_boxes_v2","3RGU30DZTA9B2JH6XNGLZEC5WBDMJX","No","Yes","No","45908","84125","2017-10-04 16:07:06","911"
"A14WLAP6TCEKO0","caus_thomas_boxes_v2","3F6KKYWMNB24HF2EZS9A9V6SWHSNDM","No","Yes","No","41073","81489","2017-10-04 16:07:07","912"
"A3AW92ZT3WY05A","caus_thomas_boxes_v2","3MAOD8E57QBIFL7VQSAM329KCZ4NXO","No","Not sure","No","51890","107263","2017-10-04 16:07:31","913"
"A3K3VHDPCTI2Q","caus_thomas_boxes_v2","3FUI0JHJPXZZVJ77OKJJN8MA0ND33P","No","Yes","No","37696","71968","2017-10-04 16:07:35","914"
"A1JKSAQ8UNCE7B","caus_thomas_boxes_v2","31JLPPHS2UVOH80T7I3BBBKLVE8O34","No","Yes","Not sure","49176","96436","2017-10-04 16:07:55","915"
"A2SN9S7CGIDSRI","caus_thomas_boxes_v2","3SBEHTYCWN4F1PMEY8JWH8KCS63IY8","No","Not sure","Yes","127794","210613","2017-10-04 16:08:09","916"
" AAC7V5WYRYGVJ
","caus_thomas_boxes_v2","38SKSKU7R1YV1QFFFTU6N0IGJR0ILH","No","No","No","49556","101493","2017-10-04 16:08:13","917"
"A2IGYNJ7P2JEW5","caus_thomas_boxes_v2","3M0BCWMB8VX1PCD8DX9RAOVJM8LBWV","No","Yes","Not sure","36825","75654","2017-10-04 16:09:10","918"
"AP3EZGN902UO2","caus_thomas_boxes_v2","3SKRO2GZ71S9HE1ZMMXZG1OFDPL1K6","No","Yes","Not sure","30448","69682","2017-10-04 16:09:10","919"
"A3JT0TO0RPAIEE","caus_thomas_boxes_v2","3ZR9AIQJUBAOWNRE5B6JVFG9BBP40G","No","Yes","No","40701","96121","2017-10-04 16:09:12","920"
"A1USR9JCAMDGM3","caus_thomas_boxes_v2","3M81GAB8A0KW5FHM1OALIZDXY71BQO","No","Yes","Yes","50998","106206","2017-10-04 16:09:26","921"
"A3H9XHNUS12SSA","caus_thomas_boxes_v2","3Z2R0DQ0JHFDKZRL94MANPLFLY3E2G","No","Yes","No","76748","134407","2017-10-04 16:09:37","922"
"A2AVNKU60T23OQ","caus_thomas_boxes_v2","3NKQQ8O39Y6HC5MNWTLWNQYM4DMDU5","No","Not sure","Yes","47731","193350","2017-10-04 16:10:04","923"
"A2KWPS7YQS4HPT","caus_thomas_boxes_v2","31HQ4X3T3SBKV4IBK5OKR2O3SP3LSD","No","Yes","No","31853","60341","2017-10-04 16:10:10","924"
"A2N4DD7IS7EI2D","caus_thomas_boxes_v2","3VP0C6EFSGXZEO2ZD4MWQA70A5V6MD","No","Yes","No","347849","413396","2017-10-04 16:10:11","925"
"A2M9EE6KTM8F8I
","caus_thomas_boxes_v2","3AMW0RGHOD3D6C5441059PNHA0TPN0","No","Yes","No","37991","107856","2017-10-04 16:10:20","926"
"A3BKZ14V95ZNR6","caus_thomas_boxes_v2","3DR23U6WE5F74YLYSJ66OCU5LBFTEM","Yes","No","No","61356","117940","2017-10-04 16:10:37","927"
"A3UVZBXY81BNSF","caus_thomas_boxes_v2","3NG53N1RLVKS35I0YZBMRSXML5X8PY","No","Not sure","Yes","93800","219375","2017-10-04 16:10:46","928"
"A35JZAZK1L9D3Z","caus_thomas_boxes_v2","3MMN5BL1WZ50H5FHU2OYJ7VG0EUM3O","No","Yes","Not sure","45316","91279","2017-10-04 16:10:48","929"
"A3V2LUYXBLBAPS","caus_thomas_boxes_v2","3A1COHJ8NJW0QOKCFM3HIJVVZEKH8Z","No","No","No","42944","85913","2017-10-04 16:11:09","930"
"A2UKCO1M1MEMZW","caus_thomas_boxes_v2","339ANSOTR53KHKXXUTI58051URWKIH","No","Yes","Not sure","55381","128708","2017-10-04 16:12:00","931"
"A2XY43VECPAD61","caus_thomas_boxes_v2","3L6L49WXW0YNRUDF2HCVCAC0SJ1543","No","Yes","Yes","57435","102715","2017-10-04 16:12:04","932"
"A18ILYDB04VEE9","caus_thomas_boxes_v2","3QECW5O0KH278FS5HID3KIOS8II5TZ","No","Yes","Yes","20240","45554","2017-10-04 16:12:08","933"
"A1PBRKFHSF1OF8","caus_thomas_boxes_v2","3WMOAN2SRBYQBW20QD94FHCZWOXNVM","No","No","No","30475","57083","2017-10-04 16:12:11","934"
"A27MJOV91GA8R3","caus_thomas_boxes_v2","3VD82FOHKQPCU8WC0BEC4EOF1RJOC0","No","Yes","No","38750","73184","2017-10-04 16:12:14","935"
"A3FAURB3U6YND5","caus_thomas_boxes_v2","3TE3O8573092T3WQVA6AMWKY0NR2RF","No","Yes","No","22591","57302","2017-10-04 16:12:35","936"
"AHF0I035D5WYQ","caus_thomas_boxes_v2","31JLPPHS2UVOH80T7I3BBBKLVE9O35","No","Yes","Not sure","29776","62791","2017-10-04 16:12:35","937"
"A3X6N2OAY5XY8","caus_thomas_boxes_v2","37TRT2X24QSFJSD96YQCLY1BKCCBJ0","No","No","No","46037","101348","2017-10-04 16:12:53","938"
"A3RGDXZ76VHKZG
","caus_thomas_boxes_v2","3OB0CAO74HQF5UBUSQ1BHWJXSTQYHX","Yes","No","No","50359","76302","2017-10-04 16:13:21","939"
"ALOX6TS3BTQ7W","caus_thomas_boxes_v2","34X6J5FLPTZ2NYFYPGN2GNWA6CCQJQ","No","Yes","No","35745","85163","2017-10-04 16:13:30","940"
"A35LW9NWBJMTJL","caus_thomas_boxes_v2","3RXCAC0YIRQMQSP1VGLZXJJUKEB8GV","No","Not sure","No","47447","111863","2017-10-04 16:13:35","941"
"AWR2H6FRG5BWK","caus_thomas_boxes_v2","37WLF8U1WPR4O02WSS9GBXFWL026KA","No","Yes","No","39181","101707","2017-10-04 16:14:15","942"
"A2LH24MZKYTF1G","caus_thomas_boxes_v2","3IAEQB9FMELU49BSRT0X5EJJPTYDW5","No","Yes","Yes","43796","86228","2017-10-04 16:14:15","943"
"A39XD5I3E00YO3","caus_thomas_boxes_v2","3RXCAC0YIRQMQSP1VGLZXJJUKEBG83","No","Yes","Not sure","40569","102228","2017-10-04 16:14:18","944"
"A3CAK26YRNTXDB
A3CAK26YRNTXDB
A3CAK26YRNTXDB
A3CAK26YRNTXDB","caus_thomas_boxes_v2","3M0BCWMB8VX1PCD8DX9RAOVJM8LWBG","No","Yes","No","43161","90140","2017-10-04 16:14:47","945"
"AGAZV3V4WLP9E
","caus_thomas_boxes_v2","3FIUS151DV31J7VJEEXNPW0S8XOGGJ","No","Yes","Yes","39252","82689","2017-10-04 16:14:55","946"
"ADZO2VRSQC62U","caus_thomas_boxes_v2","3XC1O3LBOSNLA4VQ95TA17KPU8ILT3","No","Yes","Yes","40858","86367","2017-10-04 16:15:57","947"
"A105FRIGFBE5N","caus_thomas_boxes_v2","36WLNQG78ZB78CRHSXFLOIOJF4HBEG","No","Yes","Not sure","20670","64662","2017-10-04 16:16:21","948"
"A1MA9Y6WVISU8H","caus_thomas_boxes_v2","3Z7VU45IPYI4690LMN093GCSHYYZ1Q","No","Yes","No","62005","136903","2017-10-04 16:16:28","949"
"A3GVIO0THJXK51","caus_thomas_boxes_v2","3NJM2BJS4W7UF88DFBRRTET5BWJCP9","Yes","Yes","No","25553","67823","2017-10-04 16:16:53","950"
"GFLS23ADX","caus_thomas_boxes_v2","3KOPY89HM83AGX9WR5B63F3ZWKY3J0","No","No","No","43411","79390","2017-10-04 16:16:56","951"
"A2SOHTPWH4VGP5","caus_thomas_boxes_v2","3NGI5ARFTT6AS5YFZE27CIAE7ZS1P8","No","Not sure","Yes","36643","81216","2017-10-04 16:17:05","952"
"A1C8FN01981A69","caus_thomas_boxes_v2","33LKR6A5KEL8KXRMGVBRHSBBW2D1TD","No","Yes","No","53736","108059","2017-10-04 16:17:11","953"
"A1Z0YMGUC86KC5","caus_thomas_boxes_v2","3SNLUL3WO4O0AHAF9AJK636RDMPLUU","No","No","Yes","28849","56546","2017-10-04 16:17:42","954"
"A268OJ4RQUMQRE","caus_thomas_boxes_v2","3LOZAJ85YDEMQZI249C2BE6M14FX29","Not sure","Not sure","No","46963","99182","2017-10-04 16:18:02","955"
"A2QASAMGT1UYZ3","caus_thomas_boxes_v2","3RANCT1ZVFIOX8O3IXUQS0AM1SBBUX","No","Yes","Not sure","49216","117027","2017-10-04 16:18:05","956"
"A1YSYI926BBOHW","caus_thomas_boxes_v2","3SKEMFQBZ36RSELKL76EVBBNRVSK8A","No","Yes","No","43552","88119","2017-10-04 16:18:18","957"
"A3CV0AEQ8HOJ0U","caus_thomas_boxes_v2","358010RM5EUVNQG4SJWDDJ3XY28XVH","No","No","No","10003","32532","2017-10-04 16:18:22","958"
"A1C66QKNXGH895
","caus_thomas_boxes_v2","3R6BYFZZP7D6RTUES4R9VX0BA8HXFQ","No","Yes","No","47855","97106","2017-10-04 16:18:24","959"
"A78BQKTL58999","caus_thomas_boxes_v2","3HUTX6F6VUOZWQ4A3IP6S1FTP0B2OA","No","No","No","33703","65434","2017-10-04 16:18:45","960"
"A2653BIPJKEMRK","caus_thomas_boxes_v2","39GHHAVOMFSVYTS0RJGPDKV5AKW4JO","No","Yes","Yes","40472","86408","2017-10-04 16:18:48","961"
"A3G6L97AX9KR7F","caus_thomas_boxes_v2","31LM9EDVOLTHK1269OVLCT1511OJNV","No","Yes","No","118149","176701","2017-10-04 16:18:59","962"
"A18B5QL328E02A","caus_thomas_boxes_v2","34J10VATJFZ6SNVS7Y224MHATXPIQ8","No","Yes","No","71761","132963","2017-10-04 16:19:06","963"
"A3L765G2GHCIHX","caus_thomas_boxes_v2","39LNWE0K4UXYKG29O7M7ENEZWIVIUD","No","Not sure","No","49360","112307","2017-10-04 16:19:16","964"
"A248ARSA6FS20S","caus_thomas_boxes_v2","3TS1AR6UQQFCCEONARNB1YNN8F1F7C","No","Yes","No","57774","130801","2017-10-04 16:19:23","965"
"A3PX0OPH41ZSH0","caus_thomas_boxes_v2","3VNL7UK1XFKZACLUNUQC6UF5XCWTF6","No","Yes","Yes","25084","57466","2017-10-04 16:20:05","966"
"A2ZLJ54OLKRIN3","caus_thomas_boxes_v2","3FIJLY1B6U51IKSN6DHS1KE889BPFX","No","Yes","No","112662","172598","2017-10-04 16:20:14","967"
"A8SP23ECDU4F0","caus_thomas_boxes_v2","3I33IC7ZWF3AUMA9TZKOR6VO0J72AB","No","Not sure","Not sure","5053","16231","2017-10-04 16:20:36","968"
"A1CFPKUOCGJIM6","caus_thomas_boxes_v2","35DR22AR5DLBBHEL89Q7UOBE7IFX3K","No","Yes","Yes","76315","188758","2017-10-04 16:20:46","969"
