"subject","version","assignmentId","cc1","cc2","experienced","instructions_time","total_time","stamp","id"
"A610SH5RY1NG1","caus_thomas_boxes_v2","3P1L2B7AD1Q5XCQIDO7B7XE2V0XOLG","No","Yes","No","16551","39900","2017-10-04 15:53:14","816"
"A23KAJRDVCVGOE","caus_thomas_boxes_v2","3PXX5PX6LXZ4IZA5CSDZSZYSUPFBAH","Yes","No","No","43502","71228","2017-10-04 15:53:41","817"
"A3DRKJIAWYMA9F","caus_thomas_boxes_v2","3OONKJ5DKCKTK346MBIHTUIXJ6JBOG","No","Yes","No","24240","50816","2017-10-04 15:53:45","818"
"A2P5IL629E7EC8","caus_thomas_boxes_v2","3EICBYG644XYTX5FKYM7WI7T2X9JCC","No","No","Yes","29081","66286","2017-10-04 15:53:54","819"
" A3HJ83U3Y7Y78S","caus_thomas_boxes_v2","3IFS6Q0HJIKI53A5Z2R7ZMWBBL6IST","No","No","Yes","45054","86219","2017-10-04 15:53:54","820"
"A19BMRBO5UAD6H","caus_thomas_boxes_v2","3T111IHZ5ERDTNHPGJLPWJSC6T0R9V","No","Yes","No","42083","79649","2017-10-04 15:54:06","821"
"A25894CV44ZZ0V","caus_thomas_boxes_v2","3ZWFC4W1UU8MUX82J5LH6FEN9RVRFN","No","Yes","No","35563","80194","2017-10-04 15:54:13","822"
"AJ9N1D8B96693","caus_thomas_boxes_v2","3ND9UOO81K3D2LZK4AYLORROY2WLWP","No","Yes","Yes","40532","81062","2017-10-04 15:54:15","823"
"A36CZ0F88ELFWF","caus_thomas_boxes_v2","37XITHEISWAFRLOSS3VGY9TKCE3RCC","No","Yes","Yes","46000","96032","2017-10-04 15:54:24","824"
"A320QA9HJFUOZO","caus_thomas_boxes_v2","3VFJCI1K4Z0S8X4XUPRZO0EZA6VGRB","No","Yes","No","38519","81866","2017-10-04 15:54:39","825"
"A1YA3HNCUJSJF4","caus_thomas_boxes_v2","3HMIGG0U4L7MCJA1PM754JQYPAX8YP","No","Yes","Not sure","56650","118900","2017-10-04 15:54:48","826"
"ANPTDUX6LOGYY","caus_thomas_boxes_v2","3YJ6NA41JBHHNMEJP38DGI601GOJPQ","No","Yes","No","29159","83910","2017-10-04 15:54:48","827"
"A3HV23GQLC4GXH","caus_thomas_boxes_v2","3OS46CRSLF0I4BW8RWNND6QD1Y56VS","No","Yes","No","41192","93193","2017-10-04 15:54:57","828"
"AK81F0NOBFJS3","caus_thomas_boxes_v2","3W8CV64QJ2004T3MKE9VIFQ6JK2H9O","No","Yes","Yes","43054","117434","2017-10-04 15:55:08","829"
"A3454T4PU9GJM0","caus_thomas_boxes_v2","3U5NZHP4LR3LWGJT135S45QLOOKPHR","No","Yes","No","47951","84632","2017-10-04 15:55:08","830"
"APF1EAZT104LQ","caus_thomas_boxes_v2","3K3R2QNK8B459F96KDGU1UFWDS49UH","Not sure","Not sure","Not sure","23471","44969","2017-10-04 15:55:10","831"
