"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","alt2_high","greenSecond","rt","stamp","id"
"A3JDWMS5QJHREI","caus_thomas_all_3_v1","3TPZPLC3M0D628CUMIGQ0BPB3QT3P1","5","0","0","3","3","3","0","26712","2017-09-26 15:57:45","15358"
"A3MFK5UEUG95M3","caus_thomas_all_3_v1","3ZR9AIQJUBAOWNRE5B6JVFG99ID40G","0","0","0","1","9","1","1","21911","2017-09-26 15:57:45","15359"
"A3MFK5UEUG95M3","caus_thomas_all_3_v1","3ZR9AIQJUBAOWNRE5B6JVFG99ID40G","0","1","1","3","7","7","1","13523","2017-09-26 15:58:00","15360"
"AQ5KOKZQSZU0B","caus_thomas_all_3_v1","3TXD01ZLD4I4C93U3IK3KM4GP7GU48","4","0","0","5","9","3","0","52236","2017-09-26 15:58:01","15361"
"A3JDWMS5QJHREI","caus_thomas_all_3_v1","3TPZPLC3M0D628CUMIGQ0BPB3QT3P1","5","1","1","9","9","5","0","15500","2017-09-26 15:58:02","15362"
"A3JDWMS5QJHREI","caus_thomas_all_3_v1","3TPZPLC3M0D628CUMIGQ0BPB3QT3P1","5","2","2","7","5","7","1","7218","2017-09-26 15:58:10","15363"
"A2B6PP2KXD19N6","caus_thomas_all_3_v1","3300DTYQT2IUCIT6BFCBJ7JIZB5EQU","7","0","0","7","7","5","1","18116","2017-09-26 15:58:12","15364"
"A3JDWMS5QJHREI","caus_thomas_all_3_v1","3TPZPLC3M0D628CUMIGQ0BPB3QT3P1","5","3","3","5","1","1","0","4350","2017-09-26 15:58:15","15365"
"A1HCTAULAAOC8A","caus_thomas_all_3_v1","3BV8HQ2ZZW2YCNTAG1WRHJC0EVV6AU","0","0","0","3","3","5","0","54366","2017-09-26 15:58:17","15366"
"A3JDWMS5QJHREI","caus_thomas_all_3_v1","3TPZPLC3M0D628CUMIGQ0BPB3QT3P1","5","4","4","1","7","9","1","3854","2017-09-26 15:58:20","15367"
"AQ5KOKZQSZU0B","caus_thomas_all_3_v1","3TXD01ZLD4I4C93U3IK3KM4GP7GU48","4","1","1","9","3","5","1","18455","2017-09-26 15:58:20","15368"
"AMTG64Z00PRT9
AMTG64Z00PRT9
","caus_thomas_all_3_v1","3L4PIM1GQTHSUOPXOVD5V0L3D9BYRT","5","0","0","1","3","3","0","22677","2017-09-26 15:58:22","15369"
"A2B6PP2KXD19N6","caus_thomas_all_3_v1","3300DTYQT2IUCIT6BFCBJ7JIZB5EQU","8","1","1","1","1","7","1","12123","2017-09-26 15:58:25","15370"
"AENW881YO2H8S","caus_thomas_all_3_v1","3Q8GYXHFEP3QMYQUVWIDV8OOI35C5M","5","0","0","3","1","9","1","25934","2017-09-26 15:58:29","15371"
"A2B6PP2KXD19N6","caus_thomas_all_3_v1","3300DTYQT2IUCIT6BFCBJ7JIZB5EQU","7","2","2","9","9","3","0","7382","2017-09-26 15:58:34","15372"
"AJ9N1D8B96693","caus_thomas_all_3_v1","3E7TUJ2EGCNJSDYKYIQ5RUB8PZ09DA","1","0","0","9","3","9","1","34635","2017-09-26 15:58:36","15373"
"A2581F7TDPAMBQ","caus_thomas_all_3_v1","39O5D9O87TTN8J3QHDUKGBQ447EC3W","6","0","0","7","9","1","0","30212","2017-09-26 15:58:37","15374"
"AQ5KOKZQSZU0B","caus_thomas_all_3_v1","3TXD01ZLD4I4C93U3IK3KM4GP7GU48","4","2","2","7","5","7","0","15953","2017-09-26 15:58:37","15375"
"AMTG64Z00PRT9
AMTG64Z00PRT9
","caus_thomas_all_3_v1","3L4PIM1GQTHSUOPXOVD5V0L3D9BYRT","5","1","1","3","9","9","1","15137","2017-09-26 15:58:38","15376"
"A52FUUEDGSZT9","caus_thomas_all_3_v1","3QXNC7EIPIWPTTXQM62ACNRPVAR90H","0","0","0","9","1","9","1","36913","2017-09-26 15:58:39","15377"
"A3RBT1V8BGYB2K","caus_thomas_all_3_v1","3DH6GAKTYYQ1WFBOYC7IH3N2MQUYZM","0","0","0","1","3","1","0","37700","2017-09-26 15:58:40","15378"
"A1HCTAULAAOC8A","caus_thomas_all_3_v1","3BV8HQ2ZZW2YCNTAG1WRHJC0EVV6AU","0","1","1","9","9","1","1","22284","2017-09-26 15:58:41","15379"
"A2B6PP2KXD19N6","caus_thomas_all_3_v1","3300DTYQT2IUCIT6BFCBJ7JIZB5EQU","8","3","3","3","5","1","1","7260","2017-09-26 15:58:42","15380"
