"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","rt","stamp","id"
"A2YQBBAK7NBZHU","caus_thomas_all_dis_v1","3EQHHY4HQST33A6ZXIEWLZ93FR25GL","8","0","0","8","1","30059","2017-09-18 14:06:03","10277"
"A2XFO0X6RCS98M","caus_thomas_all_dis_v1","3WZ36BJEV3H9XV9EIS4GN4OKFHVTBI","5","0","0","4","4","10210","2017-09-18 14:06:12","10278"
"A36OLZLW29173F","caus_thomas_all_dis_v1","3OLF68YTN92UVGMLHUZVBPPD6Q3AFX","8","0","0","8","6","27605","2017-09-18 14:06:15","10279"
"A2Z2OV7QGU10QN","caus_thomas_all_dis_v1","34X6J5FLPTZ2NYFYPGN2GNWA3F5QJM","8","0","0","8","6","31147","2017-09-18 14:06:17","10280"
"ALYR5CI2SM2JC","caus_thomas_all_dis_v1","3F0BG9B9MPOIC55IFHFZQJU3BTN7Y0","8","0","0","6","1","41691","2017-09-18 14:06:20","10281"
"A2YQBBAK7NBZHU","caus_thomas_all_dis_v1","3EQHHY4HQST33A6ZXIEWLZ93FR25GL","8","1","1","7","5","16568","2017-09-18 14:06:20","10282"
"A2XFO0X6RCS98M","caus_thomas_all_dis_v1","3WZ36BJEV3H9XV9EIS4GN4OKFHVTBI","6","1","1","9","9","11878","2017-09-18 14:06:25","10283"
"A2Z2OV7QGU10QN","caus_thomas_all_dis_v1","34X6J5FLPTZ2NYFYPGN2GNWA3F5QJM","0","1","1","6","5","13440","2017-09-18 14:06:32","10284"
"A2XFO0X6RCS98M","caus_thomas_all_dis_v1","3WZ36BJEV3H9XV9EIS4GN4OKFHVTBI","2","2","2","6","8","6397","2017-09-18 14:06:33","10285"
"A36OLZLW29173F","caus_thomas_all_dis_v1","3OLF68YTN92UVGMLHUZVBPPD6Q3AFX","7","1","1","6","2","19357","2017-09-18 14:06:35","10286"
"A2YQBBAK7NBZHU","caus_thomas_all_dis_v1","3EQHHY4HQST33A6ZXIEWLZ93FR25GL","8","2","2","5","8","16660","2017-09-18 14:06:38","10287"
"ALYR5CI2SM2JC","caus_thomas_all_dis_v1","3F0BG9B9MPOIC55IFHFZQJU3BTN7Y0","8","1","1","5","2","17138","2017-09-18 14:06:38","10288"
"A3S1RAA0VUVQK","caus_thomas_all_dis_v1","31LM9EDVOLTHK1269OVLCT15Y4INJW","8","0","0","9","5","40995","2017-09-18 14:06:39","10289"
"A2WYEOT1O3OXPS","caus_thomas_all_dis_v1","3TEM0PF1Q5Y1WJA7YM7CYJAFLRB0DL","8","0","0","10","6","49694","2017-09-18 14:06:41","10290"
"A2XFO0X6RCS98M","caus_thomas_all_dis_v1","3WZ36BJEV3H9XV9EIS4GN4OKFHVTBI","1","3","3","5","1","7634","2017-09-18 14:06:41","10291"
"A10LLZZHZVGWRW","caus_thomas_all_dis_v1","3SBEHTYCWN4F1PMEY8JWH8KCP9XYIL","4","0","0","4","10","19379","2017-09-18 14:06:42","10292"
"AFWKRID53R1XA","caus_thomas_all_dis_v1","3Y5140Z9DXHLSBUD7LND4HR0L4VIPC","6","0","0","1","9","29819","2017-09-18 14:06:42","10293"
"A36OLZLW29173F","caus_thomas_all_dis_v1","3OLF68YTN92UVGMLHUZVBPPD6Q3AFX","7","2","2","10","7","7296","2017-09-18 14:06:43","10294"
"A163J5TEJBO43B","caus_thomas_all_dis_v1","3KWTYT08704JP2K089BCYREBB8O5LR","8","0","0","8","10","37854","2017-09-18 14:06:44","10295"
"A2Z2OV7QGU10QN","caus_thomas_all_dis_v1","34X6J5FLPTZ2NYFYPGN2GNWA3F5QJM","8","2","2","7","8","11889","2017-09-18 14:06:45","10296"
"A2XFO0X6RCS98M","caus_thomas_all_dis_v1","3WZ36BJEV3H9XV9EIS4GN4OKFHVTBI","5","4","4","2","7","6516","2017-09-18 14:06:49","10297"
"A36OLZLW29173F","caus_thomas_all_dis_v1","3OLF68YTN92UVGMLHUZVBPPD6Q3AFX","7","3","3","9","10","5314","2017-09-18 14:06:50","10298"
"A2YQBBAK7NBZHU","caus_thomas_all_dis_v1","3EQHHY4HQST33A6ZXIEWLZ93FR25GL","8","3","3","3","9","14810","2017-09-18 14:06:54","10299"
"ALYR5CI2SM2JC","caus_thomas_all_dis_v1","3F0BG9B9MPOIC55IFHFZQJU3BTN7Y0","4","2","2","4","10","15012","2017-09-18 14:06:54","10300"
"A36OLZLW29173F","caus_thomas_all_dis_v1","3OLF68YTN92UVGMLHUZVBPPD6Q3AFX","7","4","4","3","3","3581","2017-09-18 14:06:54","10301"
"A3S1RAA0VUVQK","caus_thomas_all_dis_v1","31LM9EDVOLTHK1269OVLCT15Y4INJW","8","1","1","4","4","17003","2017-09-18 14:06:57","10302"
"AFWKRID53R1XA","caus_thomas_all_dis_v1","3Y5140Z9DXHLSBUD7LND4HR0L4VIPC","7","1","1","7","3","14199","2017-09-18 14:06:57","10303"
"A2Z2OV7QGU10QN","caus_thomas_all_dis_v1","34X6J5FLPTZ2NYFYPGN2GNWA3F5QJM","8","3","3","1","10","9738","2017-09-18 14:06:58","10304"
"A10LLZZHZVGWRW","caus_thomas_all_dis_v1","3SBEHTYCWN4F1PMEY8JWH8KCP9XYIL","4","1","1","8","3","17293","2017-09-18 14:07:00","10305"
"ALYR5CI2SM2JC","caus_thomas_all_dis_v1","3F0BG9B9MPOIC55IFHFZQJU3BTN7Y0","8","3","3","3","7","5731","2017-09-18 14:07:01","10306"
"A2YQBBAK7NBZHU","caus_thomas_all_dis_v1","3EQHHY4HQST33A6ZXIEWLZ93FR25GL","8","4","4","1","3","7679","2017-09-18 14:07:02","10307"
"A2WYEOT1O3OXPS","caus_thomas_all_dis_v1","3TEM0PF1Q5Y1WJA7YM7CYJAFLRB0DL","4","1","1","4","4","22218","2017-09-18 14:07:04","10308"
"A163J5TEJBO43B","caus_thomas_all_dis_v1","3KWTYT08704JP2K089BCYREBB8O5LR","0","1","1","10","3","19918","2017-09-18 14:07:05","10309"
"ALYR5CI2SM2JC","caus_thomas_all_dis_v1","3F0BG9B9MPOIC55IFHFZQJU3BTN7Y0","8","4","4","8","6","3771","2017-09-18 14:07:06","10310"
"A3S1RAA0VUVQK","caus_thomas_all_dis_v1","31LM9EDVOLTHK1269OVLCT15Y4INJW","8","2","2","8","8","11584","2017-09-18 14:07:09","10311"
"A10LLZZHZVGWRW","caus_thomas_all_dis_v1","3SBEHTYCWN4F1PMEY8JWH8KCP9XYIL","5","2","2","9","5","7747","2017-09-18 14:07:09","10312"
"A2Z2OV7QGU10QN","caus_thomas_all_dis_v1","34X6J5FLPTZ2NYFYPGN2GNWA3F5QJM","8","4","4","2","4","13761","2017-09-18 14:07:10","10313"
"A2WYEOT1O3OXPS","caus_thomas_all_dis_v1","3TEM0PF1Q5Y1WJA7YM7CYJAFLRB0DL","4","2","2","1","5","6339","2017-09-18 14:07:12","10314"
"AFWKRID53R1XA","caus_thomas_all_dis_v1","3Y5140Z9DXHLSBUD7LND4HR0L4VIPC","5","2","2","2","7","15705","2017-09-18 14:07:14","10315"
"A12VU5YSHGQH2V","caus_thomas_all_dis_v1","3IO1LGZLK9YKTZ0VJ3CDLS65N3086O","8","0","0","8","7","22738","2017-09-18 14:07:15","10316"
"A2WYEOT1O3OXPS","caus_thomas_all_dis_v1","3TEM0PF1Q5Y1WJA7YM7CYJAFLRB0DL","4","3","3","7","1","3805","2017-09-18 14:07:17","10317"
"A3S1RAA0VUVQK","caus_thomas_all_dis_v1","31LM9EDVOLTHK1269OVLCT15Y4INJW","8","3","3","3","1","7982","2017-09-18 14:07:18","10318"
"A10LLZZHZVGWRW","caus_thomas_all_dis_v1","3SBEHTYCWN4F1PMEY8JWH8KCP9XYIL","5","3","3","6","1","9421","2017-09-18 14:07:20","10319"
"A163J5TEJBO43B","caus_thomas_all_dis_v1","3KWTYT08704JP2K089BCYREBB8O5LR","4","2","2","9","6","16814","2017-09-18 14:07:23","10320"
"A2YO837C0O1E91","caus_thomas_all_dis_v1","3TOK3KHVJTJ6IR1G9U61OSW1XJO7OP","8","0","0","6","3","89207","2017-09-18 14:07:24","10321"
"AFWKRID53R1XA","caus_thomas_all_dis_v1","3Y5140Z9DXHLSBUD7LND4HR0L4VIPC","7","3","3","4","6","8959","2017-09-18 14:07:24","10322"
"A2WYEOT1O3OXPS","caus_thomas_all_dis_v1","3TEM0PF1Q5Y1WJA7YM7CYJAFLRB0DL","4","4","4","8","2","7138","2017-09-18 14:07:25","10323"
"A3S1RAA0VUVQK","caus_thomas_all_dis_v1","31LM9EDVOLTHK1269OVLCT15Y4INJW","8","4","4","7","6","6199","2017-09-18 14:07:25","10324"
"A10LLZZHZVGWRW","caus_thomas_all_dis_v1","3SBEHTYCWN4F1PMEY8JWH8KCP9XYIL","5","4","4","7","8","6787","2017-09-18 14:07:27","10325"
"A12VU5YSHGQH2V","caus_thomas_all_dis_v1","3IO1LGZLK9YKTZ0VJ3CDLS65N3086O","8","1","1","1","1","15223","2017-09-18 14:07:31","10326"
"AFWKRID53R1XA","caus_thomas_all_dis_v1","3Y5140Z9DXHLSBUD7LND4HR0L4VIPC","2","4","4","5","10","7497","2017-09-18 14:07:33","10327"
"A2YO837C0O1E91","caus_thomas_all_dis_v1","3TOK3KHVJTJ6IR1G9U61OSW1XJO7OP","7","1","1","9","10","13684","2017-09-18 14:07:39","10328"
"A2R794P3E8X0MK","caus_thomas_all_dis_v1","354P56DE9K4LGJT9GBNA8X62U8R7SM","7","0","0","10","4","37253","2017-09-18 14:07:40","10329"
"A2O19SRDLSQDP6","caus_thomas_all_dis_v1","3DPNQGW4LLGJAYDT70M04GQ0LH464F","8","0","0","4","9","51745","2017-09-18 14:07:42","10330"
"A163J5TEJBO43B","caus_thomas_all_dis_v1","3KWTYT08704JP2K089BCYREBB8O5LR","5","3","3","1","2","18123","2017-09-18 14:07:42","10331"
"A12VU5YSHGQH2V","caus_thomas_all_dis_v1","3IO1LGZLK9YKTZ0VJ3CDLS65N3086O","8","2","2","3","4","11371","2017-09-18 14:07:43","10332"
"A12VU5YSHGQH2V","caus_thomas_all_dis_v1","3IO1LGZLK9YKTZ0VJ3CDLS65N3086O","8","3","3","9","2","5283","2017-09-18 14:07:50","10333"
"ACIHCWKHNFC7U","caus_thomas_all_dis_v1","3KOPY89HM83AGX9WR5B63F3ZTNS3JX","4","0","0","5","3","2826","2017-09-18 14:07:50","10334"
"ACIHCWKHNFC7U","caus_thomas_all_dis_v1","3KOPY89HM83AGX9WR5B63F3ZTNS3JX","6","1","1","9","8","2599","2017-09-18 14:07:53","10335"
"ACIHCWKHNFC7U","caus_thomas_all_dis_v1","3KOPY89HM83AGX9WR5B63F3ZTNS3JX","3","2","2","2","2","1913","2017-09-18 14:07:56","10336"
"A163J5TEJBO43B","caus_thomas_all_dis_v1","3KWTYT08704JP2K089BCYREBB8O5LR","7","4","4","2","8","14008","2017-09-18 14:07:57","10337"
"ACIHCWKHNFC7U","caus_thomas_all_dis_v1","3KOPY89HM83AGX9WR5B63F3ZTNS3JX","5","3","3","6","5","1814","2017-09-18 14:07:59","10338"
"A12VU5YSHGQH2V","caus_thomas_all_dis_v1","3IO1LGZLK9YKTZ0VJ3CDLS65N3086O","8","4","4","2","3","9789","2017-09-18 14:08:00","10339"
"A2R794P3E8X0MK","caus_thomas_all_dis_v1","354P56DE9K4LGJT9GBNA8X62U8R7SM","8","1","1","4","10","20100","2017-09-18 14:08:01","10340"
"ACIHCWKHNFC7U","caus_thomas_all_dis_v1","3KOPY89HM83AGX9WR5B63F3ZTNS3JX","6","4","4","4","9","1780","2017-09-18 14:08:02","10341"
"A2O19SRDLSQDP6","caus_thomas_all_dis_v1","3DPNQGW4LLGJAYDT70M04GQ0LH464F","8","1","1","7","4","21877","2017-09-18 14:08:05","10342"
"A342YLIMT6THWO
","caus_thomas_all_dis_v1","3ZPBJO59KP2C7JG3WUEX4B9W78DDH0","8","0","0","9","9","53023","2017-09-18 14:08:05","10343"
"A35C12CR628WKD","caus_thomas_all_dis_v1","3DHE4R9OCWCB4DNCFZCYNS6RVHBG2V","4","0","0","2","5","21662","2017-09-18 14:08:05","10344"
"ATY2JKVS3OYUV","caus_thomas_all_dis_v1","3KB8R4ZV1E85SQN8YS59OL9VPNOGBX","8","0","0","8","7","38438","2017-09-18 14:08:08","10345"
"AV581SCZZM1YE","caus_thomas_all_dis_v1","3K2755HG5S4STNPX14QX1QXJRT0DF2","4","0","0","4","5","84942","2017-09-18 14:08:09","10346"
"A1TSVP4XC9NTR4","caus_thomas_all_dis_v1","3OHYZ19UGC6O1TZEGXILYJYRYRUAOJ","8","0","0","8","6","89901","2017-09-18 14:08:09","10347"
"A3KCT51PDCLUFD","caus_thomas_all_dis_v1","3Z2R0DQ0JHFDKZRL94MANPLFI1W2E0","0","0","0","3","3","20655","2017-09-18 14:08:10","10348"
"A1N4O370NJB9U8","caus_thomas_all_dis_v1","3L2IS5HSFAJQYHD0LNZZJVAGFKGNUS","8","0","0","6","2","110837","2017-09-18 14:08:10","10349"
