"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","alt2_high","greenSecond","rt","stamp","id"
"A2UO3QJZNC2VOE","caus_thomas_fire_v4","3AAJC4I4FGTB1QGPCC6F7G8ECRJJZO","6","0","0","0","1","0",,"4987","2017-10-11 15:49:03","22779"
"A1EBVJWBNNPUFU","caus_thomas_fire_v4","3ERMJ6L4DYTIIOG4WEROWO7W6S1M73","8","0","0","0","1","1",,"9242","2017-10-11 15:49:15","22780"
"A1B3B409V58ACB","caus_thomas_fire_v4","3OJSZ2ATDSXKAHVY4FA2FMWAKXB75Y","8","0","0","0","1","1",,"23371","2017-10-11 15:49:19","22781"
"A1LB9JOMFQ1UMG","caus_thomas_fire_v4","3IHR8NYAM72RK4VYMWL9AGHHKVM4PX","8","0","0","0","1","0",,"18519","2017-10-11 15:49:28","22782"
"A2R794P3E8X0MK","caus_thomas_fire_v4","37UEWGM5HT9V4IEUC66WHDAT9T0R1Z","8","0","0","0","1","1",,"13376","2017-10-11 15:49:30","22783"
"A35DS4T8H1MWYD","caus_thomas_fire_v4","3Z4GS9HPNVBZXL9HS8PZD6A6B3677D","8","0","0","0","1","1",,"15188","2017-10-11 15:49:41","22784"
"AY52II1OC5RZ1","caus_thomas_fire_v4","31N2WW6R9RRUBVN08FKLOHB74P3F3K","6","0","0","0","1","1",,"16687","2017-10-11 15:49:47","22785"
"A32QBXDPHHSTOD","caus_thomas_fire_v4","33F859I566EJSMIJIYNR9LLW8WTHBB","8","0","0","0","1","0",,"11433","2017-10-11 15:49:49","22786"
"A2Z2OV7QGU10QN","caus_thomas_fire_v4","337RC3OW0530NWZFE0TP2P8AS5ILVS","8","0","0","0","1","1",,"9871","2017-10-11 15:49:52","22787"
"A31Q4HFUPE2DXG","caus_thomas_fire_v4","32VNZTT0A75CWHBDZOPYFBHWLDA4RP","7","0","0","0","1","1",,"7435","2017-10-11 15:49:53","22788"
"A273DS7TQWR9M1","caus_thomas_fire_v4","33SA9F9TRXVZWFPSNOBHBW14QHJEW8","8","0","0","0","1","0",,"13173","2017-10-11 15:49:55","22789"
"A3IADAHNMIS0AM","caus_thomas_fire_v4","39KFRKBFINWPXBXHW3W115GY5RPOYL","8","0","0","0","1","0",,"8380","2017-10-11 15:49:57","22790"
"A159MC0L7J302O","caus_thomas_fire_v4","3VFJCI1K4Z0S8X4XUPRZO0EZBIJRGZ","8","0","0","0","1","1",,"13783","2017-10-11 15:49:59","22791"
"AAJ9TP0YJ9OQ3","caus_thomas_fire_v4","36TFCYNS44BQ5PLKNUF9YICORZHHXK","8","0","0","0","1","0",,"10311","2017-10-11 15:50:00","22792"
"ARB80JPV0HQ5O","caus_thomas_fire_v4","3A7Y0R2P2OPMWVGABUIUAVS34RLJXR","8","0","0","0","1","1",,"13982","2017-10-11 15:50:06","22793"
"A3UCP8QT39UC3","caus_thomas_fire_v4","3KGTPGBS6XMU9VO7Z41FR77I8YIU2N","5","0","0","0","1","1",,"8185","2017-10-11 15:50:17","22794"
"A2VQ1WGHLLLNJ1","caus_thomas_fire_v4","3EO896NRAWWFFE7Q6KHXLS7XRVXJT8","4","0","0","0","1","0",,"13282","2017-10-11 15:50:24","22795"
