"subject","version","assignmentId","trial_ind","ex_ind","question_ind","response","correct","cond","rt","stamp","id"
"A1B3B409V58ACB","caus_thomas_fire_v4","3OJSZ2ATDSXKAHVY4FA2FMWAKXB75Y","0","7","0","Yes","1","1","6797","2017-10-11 15:48:15","39"
"A1B3B409V58ACB","caus_thomas_fire_v4","3OJSZ2ATDSXKAHVY4FA2FMWAKXB75Y","1","9","0","Yes","1","1","4440","2017-10-11 15:48:21","40"
"A1B3B409V58ACB","caus_thomas_fire_v4","3OJSZ2ATDSXKAHVY4FA2FMWAKXB75Y","2","1","0","No","1","1","3324","2017-10-11 15:48:25","41"
"A1LB9JOMFQ1UMG","caus_thomas_fire_v4","3IHR8NYAM72RK4VYMWL9AGHHKVM4PX","0","6","0","No","1","0","15996","2017-10-11 15:48:26","42"
"A2R794P3E8X0MK","caus_thomas_fire_v4","37UEWGM5HT9V4IEUC66WHDAT9T0R1Z","0","5","0","Yes","1","1","4984","2017-10-11 15:48:27","43"
"A1B3B409V58ACB","caus_thomas_fire_v4","3OJSZ2ATDSXKAHVY4FA2FMWAKXB75Y","3","0","0","No","1","1","2751","2017-10-11 15:48:29","44"
"A1EBVJWBNNPUFU","caus_thomas_fire_v4","3ERMJ6L4DYTIIOG4WEROWO7W6S1M73","0","4","0","Yes","1","1","5791","2017-10-11 15:48:30","45"
"A2UO3QJZNC2VOE","caus_thomas_fire_v4","3AAJC4I4FGTB1QGPCC6F7G8ECRJJZO","0","3","0","No","1","0","5524","2017-10-11 15:48:31","46"
"A2R794P3E8X0MK","caus_thomas_fire_v4","37UEWGM5HT9V4IEUC66WHDAT9T0R1Z","1","2","0","Yes","1","1","4295","2017-10-11 15:48:33","47"
"A1LB9JOMFQ1UMG","caus_thomas_fire_v4","3IHR8NYAM72RK4VYMWL9AGHHKVM4PX","1","3","0","No","1","0","6207","2017-10-11 15:48:34","48"
"A1B3B409V58ACB","caus_thomas_fire_v4","3OJSZ2ATDSXKAHVY4FA2FMWAKXB75Y","4","2","0","Yes","1","1","4642","2017-10-11 15:48:34","49"
"A1EBVJWBNNPUFU","caus_thomas_fire_v4","3ERMJ6L4DYTIIOG4WEROWO7W6S1M73","1","5","0","Yes","1","1","3671","2017-10-11 15:48:34","50"
"A2UO3QJZNC2VOE","caus_thomas_fire_v4","3AAJC4I4FGTB1QGPCC6F7G8ECRJJZO","1","2","0","Yes","1","0","2841","2017-10-11 15:48:35","51"
"A35DS4T8H1MWYD","caus_thomas_fire_v4","3Z4GS9HPNVBZXL9HS8PZD6A6B3677D","0","4","0","Yes","1","1","6317","2017-10-11 15:48:36","52"
"AY52II1OC5RZ1","caus_thomas_fire_v4","31N2WW6R9RRUBVN08FKLOHB74P3F3K","0","4","0","Yes","1","1","4832","2017-10-11 15:48:37","53"
"A2UO3QJZNC2VOE","caus_thomas_fire_v4","3AAJC4I4FGTB1QGPCC6F7G8ECRJJZO","2","5","0","No","1","0","1121","2017-10-11 15:48:37","54"
"A1LB9JOMFQ1UMG","caus_thomas_fire_v4","3IHR8NYAM72RK4VYMWL9AGHHKVM4PX","2","4","0","No","1","0","2601","2017-10-11 15:48:37","55"
"A1EBVJWBNNPUFU","caus_thomas_fire_v4","3ERMJ6L4DYTIIOG4WEROWO7W6S1M73","2","1","0","No","1","1","2232","2017-10-11 15:48:38","56"
