"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","alt2_high","greenSecond","rt","stamp","id"
"ADU3XKPX6TTSA","caus_thomas_fire_v2","3QY7M81QH7NNS0G1B2E8HBFSF547KF","7","0","0","0","1","0",,"37144","2017-09-28 15:34:48","20381"
"A1QQQ7KKM896QY","caus_thomas_fire_v2","369J354OFDBZME6D21O1D5N3DD46GD","8","0","0","1","1","0",,"43022","2017-09-28 15:36:11","20382"
"AI16MTKPZNZXL","caus_thomas_fire_v2","3I7DHKZYGN1XPAA4MY8E3E9RG3TF57","1","0","0","1","1","0",,"36541","2017-09-28 15:37:34","20383"
"A18JL6HP8XBU37","caus_thomas_fire_v2","3V0Z7YWSIY1UMAD74UBKNT91KNRV2B","6","0","0","0","1","0",,"42869","2017-09-28 15:43:47","20384"
"A2NT3OQZUUZPEO","caus_thomas_fire_v2","3LUY3GC63Z1O3RDHOUJGDS1R9FA7PG","4","0","0","1","0","1",,"50323","2017-09-28 15:44:40","20385"
"ABVMLQWTQQEWI","caus_thomas_fire_v2","3A7Y0R2P2OPMWVGABUIUAVS329LXJ3","6","0","0","1","1","1",,"81102","2017-09-28 15:47:01","20386"
"A2BOTRWMX54PI5","caus_thomas_fire_v2","3AMW0RGHOD3D6C5441059PNH9UIPNC","4","0","0","0","1","1",,"8672","2017-09-28 15:47:53","20387"
"A1MY057566QSGK","caus_thomas_fire_v2","34T446B1C0FRRR4TYQC1EDSX2ITC0B","6","0","0","1","1","1",,"40863","2017-09-28 15:52:43","20388"
"A308FEI88TJ8WV","caus_thomas_fire_v2","3JMSRU9HQIVMHQPNXE6LPUIQHQJEVY","7","0","0","1","0","1",,"76038","2017-09-28 15:54:41","20389"
"A1VHFF2VC2XG7P","caus_thomas_fire_v2","3ZV9H2YQQD8WMH9VY4ULS5X7XAW3W7","8","0","0","1","1","1",,"26061","2017-09-28 15:57:07","20390"
"AIJG4RDIFTTHS","caus_thomas_fire_v2","3K772S5NP8CHZPU3SPPHATRH9B9HEC","7","0","0","0","1","0",,"33365","2017-09-28 15:59:12","20391"
"A3AS0PZ4WBBTDR","caus_thomas_fire_v2","3G5F9DBFOPYY10GPNFERAXF396CVHW","8","0","0","0","0","0",,"31792","2017-09-28 16:01:56","20392"
