"subject","version","assignmentId","experienced","stamp","id"
"A2S3SV1LQTKJ8K","caus_thomas_fire_v2","32N49TQG3GJJRD8BH94ZTBSZWCYVAZ","Yes","2017-09-28 17:14:43","3"
"A1HN4550TIXQBZ","caus_thomas_fire_v2","3YT88D1N08Z5RHFE9QBI4U3CA403KQ","No","2017-09-28 17:14:47","4"
"A2FI2VTA8JVYS6","caus_thomas_fire_v2","3HFNH7HEMHFSWWPXHA2ZJA4UDFWQGC","No","2017-09-28 17:15:02","5"
"A3P0G3SA4ZCAKX","caus_thomas_fire_v2","3ZY8KE4ISJ4BETFS651LJB740UKVQ6","No","2017-09-28 17:15:05","6"
"A1ZD8RU6YB0VEU","caus_thomas_fire_v2","3GDTJDAPVUCMI2LN6JJUAO3RFVN8MS","No","2017-09-28 17:15:05","7"
"A6IXZ9TCZYH96","caus_thomas_fire_v2","3LRLIPTPEQA5B2EZI5QSR2HIGESAKT","No","2017-09-28 17:15:10","8"
"A3UVLFU06C28RE","caus_thomas_fire_v2","378XPAWRUCEE57OBI25GEM25OA3AII","No","2017-09-28 17:15:26","9"
"A1TARNH07A75CG","caus_thomas_fire_v2","39JEC7537U27KS591N0QZ6INWFJVC1","No","2017-09-28 17:15:32","10"
"A1I9ZBV75AVWUS","caus_thomas_fire_v2","3DUZQ9U6SMPNR9U5Y9QQEBM5II5VSV","No","2017-09-28 17:15:34","11"
"A2DPKKEEW2I6QK","caus_thomas_fire_v2","3LKC68YZ3A4L862HH2EDG8VIS25OW2","No","2017-09-28 17:15:40","12"
"AS2WTWYVRW9BV","caus_thomas_fire_v2","3SNLUL3WO4O0AHAF9AJK636RCHPLUJ","No","2017-09-28 17:15:51","13"
"A3IPMCB9WI5B3M","caus_thomas_fire_v2","3Z2R0DQ0JHFDKZRL94MANPLFKT4E26","No","2017-09-28 17:15:59","14"
"A21H6PJDHFR74C","caus_thomas_fire_v2","3KXIR214I4HVSXUSKYAXE39O74A42Q","Not sure","2017-09-28 17:16:09","15"
"ATAHQP6QL09TX","caus_thomas_fire_v2","3C44YUNSI1Q4K0ERF7M2DKBNVRVDPZ","No","2017-09-28 17:16:21","16"
"A2NG2CCBMVEBIA","caus_thomas_fire_v2","3VP0C6EFSGXZEO2ZD4MWQA7090XM6K","No","2017-09-28 17:16:32","17"
"A501C56C7Q7H5","caus_thomas_fire_v2","3QJOXOW4XJS3R3VEJM5U2YZDQYLEMX","No","2017-09-28 17:16:37","18"
"A1KL6VGWS7GCFB","caus_thomas_fire_v2","37WLF8U1WPR4O02WSS9GBXFWKV2K6D","No","2017-09-28 17:16:39","19"
"A35YSX8UNA6HG7","caus_thomas_fire_v2","3X1FV8S5JXSK14LE39W9PX32U7CGVX","No","2017-09-28 17:17:04","20"
"A2FBP73AQACKZ2","caus_thomas_fire_v2","3RSDURM96AN3LKKS2PT5WTMKZ8ZEYN","No","2017-09-28 17:17:09","21"
"A22KRF782ELLB0","caus_thomas_fire_v2","3X73LLYYQ1FLTV7GLOS00GLQN4NHNG","Yes","2017-09-28 17:17:16","22"
"A33QX0QXEX943S","caus_thomas_fire_v2","3WS1NTTKEYDYU3O3PS22MJD0ZWZF05","No","2017-09-28 17:17:18","23"
"AYMKSM9M10GR5","caus_thomas_fire_v2","33IZTU6J812FVYZ0YOR82WJQYTEXS1","Not sure","2017-09-28 17:17:25","24"
"AG7C4X3WKKBV","caus_thomas_fire_v2","39ASUFLU6X8ELFUIXT73DFFBX25EXH","No","2017-09-28 17:17:30","25"
"A2E2UARVOVDR9Y","caus_thomas_fire_v2","3TK8OJTYM1MQEHED6SMWJ6HUVYZPVA","No","2017-09-28 17:17:31","26"
"AEQ6KLNVTRKKR","caus_thomas_fire_v2","33TIN5LC04BMQOTBUEDJ4FL98BJY9X","No","2017-09-28 17:17:35","27"
"A3TW179Z0GG8JG","caus_thomas_fire_v2","39GAF6DQWR1NXPVBLQB6IAZWSITV1C","No","2017-09-28 17:17:48","28"
"A3HHDPKL3O3O7Y","caus_thomas_fire_v2","3B837J3LDOXVY2DOPPLGDEX2XCTSR0","Yes","2017-09-28 17:17:49","29"
"A3QV5I5SIRLBHS
A3QV5I5SIRLBHS
 A3QV5I5SIRLBHS
","caus_thomas_fire_v2","3KMS4QQVK2R07TV7TLCK53S9DU5KFG","Not sure","2017-09-28 17:18:00","30"
"A1EJ8KMQXV9DRU","caus_thomas_fire_v2","35K3O9HUABEXLT3XXZ1H78F4TX9FER","No","2017-09-28 17:18:03","31"
"A11KP7FK5KS9H1","caus_thomas_fire_v2","32M8BPYGATNFFY1E42XQA8D8M5GGI0","No","2017-09-28 17:18:03","32"
"A3UQXYJ8EV62WE","caus_thomas_fire_v2","3U088ZLJVKU05PAYFHC2Q7Z0UZP0WO","No","2017-09-28 17:18:15","33"
"A31ZMKF1XY6SFF","caus_thomas_fire_v2","34J10VATJFZ6SNVS7Y224MHASSOQI4","No","2017-09-28 17:18:25","34"
"A3VOYK4UGI5BJF","caus_thomas_fire_v2","31UV0MXWNQDHZ1CUN6EZ6BMJWW35I8","No","2017-09-28 17:18:28","35"
"A369VZD291G1GL","caus_thomas_fire_v2","3EKVH9QMEY58STDLD9BQH73UKH42D2","No","2017-09-28 17:18:29","36"
"A3TK7HVFEKB00R","caus_thomas_fire_v2","3D4CH1LGEAUM4X8B08RDXFE53FUG9I","No","2017-09-28 17:18:30","37"
"A1D4I1QYL9713I","caus_thomas_fire_v2","3WS1NTTKEYDYU3O3PS22MJD0ZW00FR","No","2017-09-28 17:18:48","38"
