"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","alt2_high","greenSecond","rt","stamp","id"
"A2DPKKEEW2I6QK","caus_thomas_boxes_v3","392CY0QWG1SZ3I8U91VP1JG5XIL4IG","3","0","0","0","1","0",,"4730","2017-10-06 16:28:15","22050"
"A1KH1O9AZ7S642","caus_thomas_boxes_v3","3E4GGUZ1T8SG6ZJV5QXDLKYK58E2KT","2","0","0","0","1","1",,"37368","2017-10-06 16:29:15","22051"
"A33QX0QXEX943S","caus_thomas_boxes_v3","3DPNQGW4LLGJAYDT70M04GQ0ORR64P","5","0","0","0","1","0",,"10856","2017-10-06 16:29:16","22052"
"A1F1OZ54G177D8","caus_thomas_boxes_v3","3JNQLM5FT4NRQ51DQQ9E0KBZU8JL2F","5","0","0","0","1","0",,"20980","2017-10-06 16:29:29","22053"
"A1APVA18JOY1LT","caus_thomas_boxes_v3","3QILPRALQ5WS0K6NIKYUN3SRL3BN8M","6","0","0","0","1","0",,"15402","2017-10-06 16:29:36","22054"
"A2IGPW784OFV3D","caus_thomas_boxes_v3","3EFE17QCRC6I98ZLTK9MZAVWBL9SHI","4","0","0","0","1","1",,"33412","2017-10-06 16:29:46","22055"
"AVZC6UMLYGFB","caus_thomas_boxes_v3","3VBEN272MK049C4A9ER4EAJVWLWSGJ","6","0","0","0","1","1",,"25412","2017-10-06 16:29:46","22056"
"A3UQXYJ8EV62WE","caus_thomas_boxes_v3","3OB0CAO74HQF5UBUSQ1BHWJXS65HYL","8","0","0","0","1","1",,"32662","2017-10-06 16:29:51","22057"
"A34GYENUP0ZPMC","caus_thomas_boxes_v3","3MRNMEIQW57ETFZTNFTVW323RZ8LDO","5","0","0","0","1","0",,"24684","2017-10-06 16:29:56","22058"
"A1JFQYGO8M6EWX","caus_thomas_boxes_v3","3PM8NZGV8YH3IIKN6K237W4PHN7QXK","6","0","0","0","1","0",,"23051","2017-10-06 16:30:11","22059"
"A1IEFZ8RTKERMP","caus_thomas_boxes_v3","3ZAK8W07I4FNDLLTKHX18JE3A1SU0Y","7","0","0","0","1","1",,"13102","2017-10-06 16:30:12","22060"
