"subject","version","assignmentId","rating","question_ind","trial_ind","focal_high","alt_high","rt","stamp","id"
"AIUKV0KVALMY6","caus_thomas_as_v2","38JBBYETQOBNND68DI5YG4ID1NKE4F","4","1","1","0","0","10988","2017-09-14 13:04:42","1667"
"A3GOI327COFGY5","caus_thomas_as_v2","3S96KQ6I9M52CS7YWOVMIUCKHA0DTH","6","3","1","0","1","26301","2017-09-14 13:04:43","1668"
"ADGE1P244LWYU","caus_thomas_as_v2","39OWYR0EPKSVRYKOX0DBEB7K8PYYF2","5","2","2","1","1","14036","2017-09-14 13:04:45","1669"
"A3ANNQ73J8M158","caus_thomas_as_v2","3ZGVPD4G6TI5FTCUO6KJ9MVN5SATZW","2","3","2","0","1","17004","2017-09-14 13:04:48","1670"
"A2WWCLNBO1B1KZ","caus_thomas_as_v2","39O5D9O87TTN8J3QHDUKGBQ42BC3CR","1","0","1","1","0","35013","2017-09-14 13:04:49","1671"
"A3GAQNTZ1V1VO","caus_thomas_as_v2","3IOEN3P9S7K2IZGAKI3Y6IJX85N61A","6","1","0","0","0","30058","2017-09-14 13:04:49","1672"
"A1BPBUD67XIJXM","caus_thomas_as_v2","3XC1O3LBOSNLA4VQ95TA17KPQJ2TLD","2","3","1","0","1","27966","2017-09-14 13:04:49","1673"
"A15FXOOCN5RT0","caus_thomas_as_v2","3TXD01ZLD4I4C93U3IK3KM4GNBEU4C","0","1","0","0","0","29909","2017-09-14 13:04:50","1674"
"A389LTO1Q8DAKN","caus_thomas_as_v2","3ZDAD0O1T1EGAYCFNOWYC1FCXSCTXZ","0","0","0","1","0","57616","2017-09-14 13:04:50","1675"
"A2C9CDKYOV3R3C","caus_thomas_as_v2","3IX2EGZR7BK2ZZUY2VC2LD6FY90RJW","7","3","0","0","1","34278","2017-09-14 13:04:52","1676"
"A35BY30TC8WCL4","caus_thomas_as_v2","3EWIJTFFVO86OPO7UHIW41S0KB4E0Z","6","1","0","0","0","46436","2017-09-14 13:04:54","1677"
"A3GOI327COFGY5","caus_thomas_as_v2","3S96KQ6I9M52CS7YWOVMIUCKHA0DTH","4","0","2","1","0","12231","2017-09-14 13:04:56","1678"
"ADGE1P244LWYU","caus_thomas_as_v2","39OWYR0EPKSVRYKOX0DBEB7K8PYYF2","5","0","3","1","0","10421","2017-09-14 13:04:57","1679"
"A3ANNQ73J8M158","caus_thomas_as_v2","3ZGVPD4G6TI5FTCUO6KJ9MVN5SATZW","0","0","3","1","0","8123","2017-09-14 13:04:57","1680"
"A3E3OELJKHW58C","caus_thomas_as_v2","31N2WW6R9RRUBVN08FKLOHB7ZO43F2","0","3","1","0","1","24937","2017-09-14 13:04:58","1681"
"A1BPBUD67XIJXM","caus_thomas_as_v2","3XC1O3LBOSNLA4VQ95TA17KPQJ2TLD","7","2","2","1","1","8613","2017-09-14 13:04:59","1682"
"A2WWCLNBO1B1KZ","caus_thomas_as_v2","39O5D9O87TTN8J3QHDUKGBQ42BC3CR","1","1","2","0","0","11669","2017-09-14 13:05:02","1683"
"A25T92H4YKP4RN","caus_thomas_as_v2","37QW5D2ZRGNPGXYSQGFGMX2X40Q8SI","0","0","0","1","0","19221","2017-09-14 13:05:02","1684"
"A2UIHBB5MDLLSV","caus_thomas_as_v2","33CKWXB73JL7BDFDECRHBMSG0U7117","4","1","1","0","0","21930","2017-09-14 13:05:04","1685"
"A1SWPK57MQMMSO","caus_thomas_as_v2","3WEV0KO0OMT1XSUJ7OQW8PGYFRMDSS","7","3","1","0","1","20932","2017-09-14 13:05:04","1686"
"AIUKV0KVALMY6","caus_thomas_as_v2","38JBBYETQOBNND68DI5YG4ID1NKE4F","2","3","2","0","1","21086","2017-09-14 13:05:04","1687"
"ANOXV36AE49EO","caus_thomas_as_v2","3ZAK8W07I4FNDLLTKHX18JE36ZYU0W","7","3","0","0","1","33558","2017-09-14 13:05:05","1688"
"A35BY30TC8WCL4","caus_thomas_as_v2","3EWIJTFFVO86OPO7UHIW41S0KB4E0Z","5","2","1","1","1","9829","2017-09-14 13:05:05","1689"
"A2U3723LKNMHAI","caus_thomas_as_v2","3KAKFY4PGU3ELMPQ9NQ6REOZFGW3IT","1","1","0","0","0","64359","2017-09-14 13:05:05","1690"
"A1B1JQW3W13ODO","caus_thomas_as_v2","3KXIR214I4HVSXUSKYAXE39O4KV424","3","0","0","1","0","20677","2017-09-14 13:05:06","1691"
"A1G187YBG0DVMQ","caus_thomas_as_v2","3I0BTBYZAXM4UU5YUIUQB4KG2NA0Y1","4","2","0","1","1","16707","2017-09-14 13:05:09","1692"
"A3GOI327COFGY5","caus_thomas_as_v2","3S96KQ6I9M52CS7YWOVMIUCKHA0DTH","6","1","3","0","0","12539","2017-09-14 13:05:10","1693"
"A2E6YPCJHJOLRD
","caus_thomas_as_v2","3PEIJLRY6TU82FG9IT19ZLMB1MUWXS","7","3","0","0","1","19764","2017-09-14 13:05:10","1694"
"A1PF01FF85HUY4","caus_thomas_as_v2","351SEKWQS0IYZXHENRUAWGHSN24MDP","6","1","0","0","0","27343","2017-09-14 13:05:11","1695"
"A15FXOOCN5RT0","caus_thomas_as_v2","3TXD01ZLD4I4C93U3IK3KM4GNBEU4C","0","0","1","1","0","20865","2017-09-14 13:05:12","1696"
"AQHEHXSUXXYYH","caus_thomas_as_v2","35GCEFQ6I5P0GCE09RESR9RPBTY3ZQ","4","0","0","1","0","27248","2017-09-14 13:05:13","1697"
"A2C9CDKYOV3R3C","caus_thomas_as_v2","3IX2EGZR7BK2ZZUY2VC2LD6FY90RJW","4","0","1","1","0","22083","2017-09-14 13:05:15","1698"
"A3GAQNTZ1V1VO","caus_thomas_as_v2","3IOEN3P9S7K2IZGAKI3Y6IJX85N61A","5","0","1","1","0","25569","2017-09-14 13:05:16","1699"
"A35BY30TC8WCL4","caus_thomas_as_v2","3EWIJTFFVO86OPO7UHIW41S0KB4E0Z","5","3","2","0","1","9834","2017-09-14 13:05:16","1700"
"A3E3OELJKHW58C","caus_thomas_as_v2","31N2WW6R9RRUBVN08FKLOHB7ZO43F2","0","0","2","1","0","17229","2017-09-14 13:05:17","1701"
"A1B1JQW3W13ODO","caus_thomas_as_v2","3KXIR214I4HVSXUSKYAXE39O4KV424","5","1","1","0","0","9387","2017-09-14 13:05:17","1702"
"A1BPBUD67XIJXM","caus_thomas_as_v2","3XC1O3LBOSNLA4VQ95TA17KPQJ2TLD","5","1","3","0","0","17775","2017-09-14 13:05:18","1703"
"A25T92H4YKP4RN","caus_thomas_as_v2","37QW5D2ZRGNPGXYSQGFGMX2X40Q8SI","0","2","1","1","1","14458","2017-09-14 13:05:18","1704"
"A1G187YBG0DVMQ","caus_thomas_as_v2","3I0BTBYZAXM4UU5YUIUQB4KG2NA0Y1","8","3","1","0","1","8205","2017-09-14 13:05:18","1705"
"A2E6YPCJHJOLRD
","caus_thomas_as_v2","3PEIJLRY6TU82FG9IT19ZLMB1MUWXS","7","1","1","0","0","7548","2017-09-14 13:05:19","1706"
"A15FXOOCN5RT0","caus_thomas_as_v2","3TXD01ZLD4I4C93U3IK3KM4GNBEU4C","0","2","2","1","1","6536","2017-09-14 13:05:19","1707"
"A389LTO1Q8DAKN","caus_thomas_as_v2","3ZDAD0O1T1EGAYCFNOWYC1FCXSCTXZ","3","3","1","0","1","28093","2017-09-14 13:05:19","1708"
"A1SWPK57MQMMSO","caus_thomas_as_v2","3WEV0KO0OMT1XSUJ7OQW8PGYFRMDSS","7","0","2","1","0","16353","2017-09-14 13:05:21","1709"
"A2T007HZK66WM","caus_thomas_as_v2","3B837J3LDOXVY2DOPPLGDEX2USDRSC","4","1","0","0","0","35113","2017-09-14 13:05:22","1710"
"A2UIHBB5MDLLSV","caus_thomas_as_v2","33CKWXB73JL7BDFDECRHBMSG0U7117","4","2","2","1","1","17480","2017-09-14 13:05:22","1711"
"A25T92H4YKP4RN","caus_thomas_as_v2","37QW5D2ZRGNPGXYSQGFGMX2X40Q8SI","0","1","2","0","0","3365","2017-09-14 13:05:22","1712"
"A1G187YBG0DVMQ","caus_thomas_as_v2","3I0BTBYZAXM4UU5YUIUQB4KG2NA0Y1","5","0","2","1","0","3459","2017-09-14 13:05:22","1713"
"ANOXV36AE49EO","caus_thomas_as_v2","3ZAK8W07I4FNDLLTKHX18JE36ZYU0W","4","0","1","1","0","16623","2017-09-14 13:05:22","1714"
"A2E6YPCJHJOLRD
","caus_thomas_as_v2","3PEIJLRY6TU82FG9IT19ZLMB1MUWXS","7","0","2","1","0","4230","2017-09-14 13:05:24","1715"
"A1B1JQW3W13ODO","caus_thomas_as_v2","3KXIR214I4HVSXUSKYAXE39O4KV424","6","3","2","0","1","7505","2017-09-14 13:05:25","1716"
"A1PF01FF85HUY4","caus_thomas_as_v2","351SEKWQS0IYZXHENRUAWGHSN24MDP","5","0","1","1","0","14042","2017-09-14 13:05:26","1717"
"A25T92H4YKP4RN","caus_thomas_as_v2","37QW5D2ZRGNPGXYSQGFGMX2X40Q8SI","8","3","3","0","1","3870","2017-09-14 13:05:27","1718"
"A15FXOOCN5RT0","caus_thomas_as_v2","3TXD01ZLD4I4C93U3IK3KM4GNBEU4C","0","3","3","0","1","8467","2017-09-14 13:05:29","1719"
"A1G187YBG0DVMQ","caus_thomas_as_v2","3I0BTBYZAXM4UU5YUIUQB4KG2NA0Y1","6","1","3","0","0","5945","2017-09-14 13:05:29","1720"
