"subject","version","assignmentId","trial_ind","ex_ind","question_ind","response","correct","cond","rt","stamp","id"
"A2HG1N3BVQO6I","caus_thomas_fire_v5","3OLQQLKKNSQDQVPTGPS2M67WPJKEJK","2","3","0","Yes","1","0","5704","2017-10-16 16:24:42","7597"
"A3K8J4N2M38P0S","caus_thomas_fire_v5","3C5W7UE9CFRCX3MVERVMQNKK9JQMX5","2","3","0","Yes","1","1","4083","2017-10-16 16:24:42","7598"
"A3T021IZ1409ZH","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J664476S5","7","7","0","No","1","1","4804","2017-10-16 16:24:43","7599"
"A1S7WGRS6BVBGW","caus_thomas_fire_v5","3WLEIWSYHOIP49INZ5UG8SISFOQ2H1","5","9","0","No","1","1","3249","2017-10-16 16:24:43","7600"
"A1W16H497VK9Z2","caus_thomas_fire_v5","31QTRG6Q2TE7IB9IB39GQ5LOGUSYPG","9","1","0","Yes","1","0","2450","2017-10-16 16:24:43","7601"
"A3CLB6VUB79NXD","caus_thomas_fire_v5","3KWTYT08704JP2K089BCYREBGFQ5LC","2","0","0","Yes","1","0","3642","2017-10-16 16:24:44","7602"
"A3L4RJUHA0CJEA","caus_thomas_fire_v5","3OLF68YTN92UVGMLHUZVBPPDBX5AFI","0","2","0","No","1","1","6205","2017-10-16 16:24:44","7603"
"A2OK71FR9Y7RER","caus_thomas_fire_v5","3P4RDNWND57P60RFC8IT7L5OHCQJIX","9","9","0","Yes","1","0","5266","2017-10-16 16:24:45","7604"
"A1DXSFFL5HZ1NX","caus_thomas_fire_v5","3NL0RFNU0FOQ9DYI94G1EZVIRJQK4J","2","6","0","No","1","0","4157","2017-10-16 16:24:46","7605"
"A1SMJPKHJLZRC9","caus_thomas_fire_v5","3OF2M9AATGP6CAM7UX6R8V8RSEPZK6","6","9","0","No","1","1","6989","2017-10-16 16:24:46","7606"
"A265Y95XHCU9AH","caus_thomas_fire_v5","3MRNMEIQW57ETFZTNFTVW323TWLDLP","9","2","0","No","1","1","5101","2017-10-16 16:24:46","7607"
"A219VCQZADQ45W","caus_thomas_fire_v5","3HMIGG0U4L7MCJA1PM754JQYRKV8Y9","8","8","0","No","1","1","3749","2017-10-16 16:24:46","7608"
"A1I4YFIL263DP8","caus_thomas_fire_v5","3AZHRG4CU4L3ER8A5X10LAO3ZLO038","1","8","0","Yes","1","1","4461","2017-10-16 16:24:46","7609"
"A3K8J4N2M38P0S","caus_thomas_fire_v5","3C5W7UE9CFRCX3MVERVMQNKK9JQMX5","3","8","0","Yes","1","1","4533","2017-10-16 16:24:48","7610"
"A37X1GHLB2HCX7","caus_thomas_fire_v5","31QTRG6Q2TE7IB9IB39GQ5LOGUQPY5","9","0","0","Yes","1","0","1899","2017-10-16 16:24:48","7611"
