"subject","version","assignmentId","rating","rating2","question_ind","trial_ind","focal_high","alt_high","alt2_high","greenSecond","rt","stamp","id"
"A21KXWKFWGBCZ3","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J66443S6N","1","1","0","0","1","0","1",,"9634","2017-10-16 16:08:15","23193"
"A1ZDR2UN7M92LI
","caus_thomas_fire_v5","39GAF6DQWR1NXPVBLQB6IAZWVXHV1X","6","6","0","0","0","1","0",,"5846","2017-10-16 16:08:27","23194"
"A1BEBN58T1E0TH","caus_thomas_fire_v5","3ZDAD0O1T1EGAYCFNOWYC1FC3RGXTB","8","8","0","0","0","1","0",,"11195","2017-10-16 16:08:58","23195"
"A1BQCRF5Q76YFY
","caus_thomas_fire_v5","3PM8NZGV8YH3IIKN6K237W4PJKHXQX","8","8","0","0","1","0","1",,"14344","2017-10-16 16:08:58","23196"
"A17J1CE7N49Z9D","caus_thomas_fire_v5","3K9FOBBF2HKNFRQ6C97YS8EX70KNLE","4","4","0","0","0","1","0",,"6739","2017-10-16 16:09:02","23197"
"A23JA6ICO4BPQ5","caus_thomas_fire_v5","3483FV8BEEK97KY63M3CB1T26A562Z","4","6","0","0","1","0","0",,"10151","2017-10-16 16:09:04","23198"
"AKPXWXJFLHM08","caus_thomas_fire_v5","39L1G8WVWQS3LGTS1G50ZF7D4DP137","5","5","0","0","1","0","1",,"4423","2017-10-16 16:09:05","23199"
"A3K43RI91Y567E","caus_thomas_fire_v5","3FE7TXL1LIO2H2HQIVHAH6AT6BGQ2F","6","4","0","0","0","1","1",,"21340","2017-10-16 16:09:10","23200"
"A1RXG8RE0SJ4LC","caus_thomas_fire_v5","3A0EX8ZRN8P5EH88SYRFVLGZZQAYBS","8","8","0","0","0","1","1",,"15154","2017-10-16 16:09:10","23201"
"A1P458P1C6JOXP","caus_thomas_fire_v5","3PB5A5BD0V7IQEKILBTTJJNZB4TG7Q","8","8","0","0","0","1","1",,"22175","2017-10-16 16:09:12","23202"
"ADAGUJNWMEPT6","caus_thomas_fire_v5","339ANSOTR53KHKXXUTI58051W1LIKQ","6","6","0","0","0","1","1",,"20079","2017-10-16 16:09:17","23203"
"A241PV6A122I5X","caus_thomas_fire_v5","3VBEN272MK049C4A9ER4EAJVYI6SGP","4","4","0","0","0","1","0",,"7728","2017-10-16 16:09:24","23204"
"AH31QLJ57XC8W","caus_thomas_fire_v5","39PAAFCODM1O697KN9VGOGIRNG8VT6","6","7","0","0","1","0","1",,"8731","2017-10-16 16:09:25","23205"
"A3TK7HVFEKB00R","caus_thomas_fire_v5","33C7UALJVLZPMDZYDX0WQWFOKZH816","8","8","0","0","0","1","1",,"10743","2017-10-16 16:09:27","23206"
"A38ECJNH8AQKV4
","caus_thomas_fire_v5","3PQMUDRV7R7TBP79UQXTVKQO4XWIIF","5","5","0","0","1","0","0",,"23039","2017-10-16 16:09:28","23207"
"A3GHK21QETWLZJ","caus_thomas_fire_v5","3LOZAJ85YDEMQZI249C2BE6M3E42XP","6","7","0","0","1","0","0",,"23776","2017-10-16 16:09:31","23208"
"A3IR7DFEKLLLO","caus_thomas_fire_v5","386PBUZZXFYRW1ZLXBF6Z1XGYGFLJ8","6","6","0","0","1","0","1",,"11657","2017-10-16 16:09:31","23209"
"AB5976B6VKZYC","caus_thomas_fire_v5","32UTUBMZ7GXOAND3NN4VOMC5H98VBG","6","6","0","0","1","0","1",,"21623","2017-10-16 16:09:31","23210"
"A2R0Y8A3SSZ30S","caus_thomas_fire_v5","3R08VXYT7CWEN0AI0GXB5M9N5SJW75","8","4","0","0","0","1","0",,"13125","2017-10-16 16:09:33","23211"
"A239EUWY6SNDEZ","caus_thomas_fire_v5","3HUTX6F6VUOZWQ4A3IP6S1FTRAZ2OK","6","6","0","0","0","1","0",,"10064","2017-10-16 16:09:34","23212"
"A1CM612SSQU5L","caus_thomas_fire_v5","33NF62TLXJ3GCVH3CB35K1K19GAKJ4","8","8","0","0","1","0","0",,"23995","2017-10-16 16:09:41","23213"
"ADLF8HVS3C7IL","caus_thomas_fire_v5","3QXNC7EIPIWPTTXQM62ACNRPZDT90T","7","5","0","0","0","1","0",,"14367","2017-10-16 16:09:42","23214"
"A191F96P1GIVKX","caus_thomas_fire_v5","34T446B1C0FRRR4TYQC1EDSX5YW0C1","7","7","0","0","1","0","0",,"20658","2017-10-16 16:09:47","23215"
"A6B8DOH3KV5SL","caus_thomas_fire_v5","3QBD8R3Z21K9Z4JX7W8ULGCRBOUO41","7","7","0","0","0","1","0",,"23327","2017-10-16 16:09:50","23216"
"A3EPDU2O2JMR50","caus_thomas_fire_v5","3SBEHTYCWN4F1PMEY8JWH8KCUGUIYL","8","8","0","0","1","0","1",,"16672","2017-10-16 16:09:51","23217"
"AGON2ML5JT2OI","caus_thomas_fire_v5","3Y5140Z9DXHLSBUD7LND4HR0QBRIPR","6","6","0","0","1","0","1",,"24602","2017-10-16 16:10:02","23218"
"A26EZ702FBTS56","caus_thomas_fire_v5","3ZY8KE4ISJ4BETFS651LJB74399QVN","6","4","0","0","1","0","0",,"10317","2017-10-16 16:10:04","23219"
"AS3YLN1NMQ3T9","caus_thomas_fire_v5","3VNXK88KKCJ5MUY6P3QZXGHFT95V96","8","8","0","0","1","0","0",,"20371","2017-10-16 16:10:07","23220"
"A26SF9CTNKKBYB","caus_thomas_fire_v5","3S96KQ6I9M52CS7YWOVMIUCKN95DTQ","8","8","0","0","1","0","0",,"24018","2017-10-16 16:10:10","23221"
"A1WPXQWFALCA65","caus_thomas_fire_v5","3MAOD8E57QBIFL7VQSAM329KE9UNX0","8","8","0","0","1","0","0",,"27855","2017-10-16 16:10:11","23222"
"A389LTO1Q8DAKN","caus_thomas_fire_v5","3WMOAN2SRBYQBW20QD94FHCZYYMNVX","8","8","0","0","1","0","0",,"28243","2017-10-16 16:10:12","23223"
"A24ZAX5O63WVNI","caus_thomas_fire_v5","34Z02EIMISE8D864KC7R3NS1TKVT0C","6","6","0","0","1","0","1",,"18885","2017-10-16 16:10:13","23224"
"A2UVD05SNXJBTF","caus_thomas_fire_v5","39GAF6DQWR1NXPVBLQB6IAZWVXI1V4","8","8","0","0","1","0","1",,"20355","2017-10-16 16:10:15","23225"
"A3JGW4RGO86NPX","caus_thomas_fire_v5","32AT8R96GLANEU55TJGLIPKM7QLSUP","6","4","0","0","0","1","0",,"33331","2017-10-16 16:10:16","23226"
"AKY00Z7IB63UV","caus_thomas_fire_v5","3YGXWBAF70I8QFMUHRZ3QGIAMAC4CL","8","8","0","0","0","1","0",,"16803","2017-10-16 16:10:16","23227"
"A39ROW50DWRRKT","caus_thomas_fire_v5","3ON104KXQKXH4DSZYIZ42APDEQTW4L","4","4","0","0","0","1","1",,"7072","2017-10-16 16:10:18","23228"
"A1L2N1X8U8Z3W7","caus_thomas_fire_v5","35LDD5557A56D3NOF8GX0TCIDA6MKB","5","5","0","0","0","1","1",,"15899","2017-10-16 16:10:24","23229"
"A2B6PP2KXD19N6","caus_thomas_fire_v5","3R5F3LQFV2LP217MSPYKFCP0CJXZOO","6","6","0","0","0","1","0",,"22428","2017-10-16 16:10:27","23230"
" AOTUGFGVVZMSQ","caus_thomas_fire_v5","38JBBYETQOBNND68DI5YG4ID7MP4EE","8","8","0","0","0","1","1",,"19538","2017-10-16 16:10:28","23231"
"AWDU600NXZ26L","caus_thomas_fire_v5","32EYX73OY0ABDF5SEUGGSFFQLO2UR3","8","8","0","0","0","1","1",,"27548","2017-10-16 16:10:30","23232"
"A0657006AJFWB5ZA91B2","caus_thomas_fire_v5","354GIDR5ZB77XZ9DMAJHJCQWW9Z008","6","6","0","0","0","1","1",,"27449","2017-10-16 16:10:33","23233"
"A2FOOQ0376XKCO","caus_thomas_fire_v5","3X3OR7WPZZ12CK3267IFABO2I5M8LC","5","5","0","0","0","1","1",,"27862","2017-10-16 16:10:34","23234"
"A1EJS3MIGVI4M6","caus_thomas_fire_v5","3QAPZX2QN4EET9CR1XNV20JBT7J02S","4","4","0","0","1","0","0",,"31339","2017-10-16 16:10:38","23235"
"A2CY1G4VJV3G85","caus_thomas_fire_v5","3G2UL9A02DFGTLVC9YK77SAAHQR67F","8","8","0","0","0","1","1",,"45120","2017-10-16 16:10:38","23236"
"A36W1S4Z2LSNTC","caus_thomas_fire_v5","3LO69W1SU3EH5Z9KP5U32O506OZGL0","8","8","0","0","1","0","1",,"34493","2017-10-16 16:10:38","23237"
"A2EBNMFLUR2SQF","caus_thomas_fire_v5","3LWJHTCVCCNMIWT26QWH1P4IFFLQFZ","8","7","0","0","1","0","0",,"17552","2017-10-16 16:10:42","23238"
"A2P5IL629E7EC8","caus_thomas_fire_v5","326O153BMIZ0N9P16T6RJ8CJKZIED1","8","8","0","0","0","1","0",,"17068","2017-10-16 16:10:43","23239"
"A6VQ0UN0ETESM","caus_thomas_fire_v5","3Z9WI9EOZZPKLPMDOB0K8O4MWO6KHZ","8","8","0","0","1","0","1",,"42604","2017-10-16 16:10:44","23240"
"A3QN9B9ZS1CWWM","caus_thomas_fire_v5","3U4J9857OECMZXC75P1FI8W2VR2B75","5","5","0","0","1","0","0",,"20161","2017-10-16 16:10:44","23241"
