"subject","version","assignmentId","guess1","guess2","guess3","cc1","cc2","cc3","experienced","instructions_time","total_time","stamp","id"
"A21KXWKFWGBCZ3","caus_thomas_fire_v5","3M23Y66PO282CJF4X1II2J66443S6N","0","0","0","Yes","Yes","No","No","29943","93921","2017-10-16 16:08:26","2742"
"A1ZDR2UN7M92LI
","caus_thomas_fire_v5","39GAF6DQWR1NXPVBLQB6IAZWVXHV1X","0","0","0","Yes","Yes","Yes","No","19167","67141","2017-10-16 16:08:34","2743"
"A1BQCRF5Q76YFY
","caus_thomas_fire_v5","3PM8NZGV8YH3IIKN6K237W4PJKHXQX","0","0","0","Yes","Yes","No","No","44426","101152","2017-10-16 16:09:06","2744"
"A1BEBN58T1E0TH","caus_thomas_fire_v5","3ZDAD0O1T1EGAYCFNOWYC1FC3RGXTB","0","0","0","No","No","Yes","Yes","47900","108239","2017-10-16 16:09:07","2745"
"A17J1CE7N49Z9D","caus_thomas_fire_v5","3K9FOBBF2HKNFRQ6C97YS8EX70KNLE","0","0","0","No","No","Not sure","No","34193","108208","2017-10-16 16:09:14","2746"
"A1RXG8RE0SJ4LC","caus_thomas_fire_v5","3A0EX8ZRN8P5EH88SYRFVLGZZQAYBS","0","0","0","Yes","No","Yes","No","34368","92479","2017-10-16 16:09:18","2747"
"A3K43RI91Y567E","caus_thomas_fire_v5","3FE7TXL1LIO2H2HQIVHAH6AT6BGQ2F","0","0","0","Yes","No","Yes","No","49970","129758","2017-10-16 16:09:21","2748"
"AKPXWXJFLHM08","caus_thomas_fire_v5","39L1G8WVWQS3LGTS1G50ZF7D4DP137","0","0","0","No","Not sure","No","No","21945","88652","2017-10-16 16:09:24","2749"
"A1P458P1C6JOXP","caus_thomas_fire_v5","3PB5A5BD0V7IQEKILBTTJJNZB4TG7Q","0","0","0","Yes","No","No","No","50276","145799","2017-10-16 16:09:32","2750"
"A241PV6A122I5X","caus_thomas_fire_v5","3VBEN272MK049C4A9ER4EAJVYI6SGP","0","0","0","No","No","Yes","No","35599","92915","2017-10-16 16:09:32","2751"
"ADAGUJNWMEPT6","caus_thomas_fire_v5","339ANSOTR53KHKXXUTI58051W1LIKQ","0","0","0","Yes","No","Yes","No","39795","126556","2017-10-16 16:09:34","2752"
"A3TK7HVFEKB00R","caus_thomas_fire_v5","33C7UALJVLZPMDZYDX0WQWFOKZH816","0","0","0","Yes","Yes","Yes","Not sure","45851","108060","2017-10-16 16:09:37","2753"
"AH31QLJ57XC8W","caus_thomas_fire_v5","39PAAFCODM1O697KN9VGOGIRNG8VT6","0","0","0","Yes","Yes","No","No","34247","100314","2017-10-16 16:09:38","2754"
"A239EUWY6SNDEZ","caus_thomas_fire_v5","3HUTX6F6VUOZWQ4A3IP6S1FTRAZ2OK","0","0","0","No","No","Yes","Yes","39130","113930","2017-10-16 16:09:43","2755"
"AB5976B6VKZYC","caus_thomas_fire_v5","32UTUBMZ7GXOAND3NN4VOMC5H98VBG","0","0","0","Yes","Yes","No","No","53200","142015","2017-10-16 16:09:44","2756"
"A3IR7DFEKLLLO","caus_thomas_fire_v5","386PBUZZXFYRW1ZLXBF6Z1XGYGFLJ8","0","0","0","Yes","Not sure","Not sure","Yes","30526","98896","2017-10-16 16:09:44","2757"
"A2R0Y8A3SSZ30S","caus_thomas_fire_v5","3R08VXYT7CWEN0AI0GXB5M9N5SJW75","0","0","0","No","No","Yes","No","31890","111391","2017-10-16 16:09:44","2758"
"A38ECJNH8AQKV4
","caus_thomas_fire_v5","3PQMUDRV7R7TBP79UQXTVKQO4XWIIF","0","0","0","No","Yes","No","No","44815","157266","2017-10-16 16:09:45","2759"
