subject,version,assignmentId,rating,question_ind,trial_ind,green_prob,blue_prob,rt,stamp,id
A2YQBBAK7NBZHU,caus_thomas_all_dis_v1,3EQHHY4HQST33A6ZXIEWLZ93FR25GL,8,0,0,8,1,30059,9/18/17 14:06,10277
A2XFO0X6RCS98M,caus_thomas_all_dis_v1,3WZ36BJEV3H9XV9EIS4GN4OKFHVTBI,5,0,0,4,4,10210,9/18/17 14:06,10278
A36OLZLW29173F,caus_thomas_all_dis_v1,3OLF68YTN92UVGMLHUZVBPPD6Q3AFX,8,0,0,8,6,27605,9/18/17 14:06,10279
A2Z2OV7QGU10QN,caus_thomas_all_dis_v1,34X6J5FLPTZ2NYFYPGN2GNWA3F5QJM,8,0,0,8,6,31147,9/18/17 14:06,10280
ALYR5CI2SM2JC,caus_thomas_all_dis_v1,3F0BG9B9MPOIC55IFHFZQJU3BTN7Y0,8,0,0,6,1,41691,9/18/17 14:06,10281
A2YQBBAK7NBZHU,caus_thomas_all_dis_v1,3EQHHY4HQST33A6ZXIEWLZ93FR25GL,8,1,1,7,5,16568,9/18/17 14:06,10282
A2XFO0X6RCS98M,caus_thomas_all_dis_v1,3WZ36BJEV3H9XV9EIS4GN4OKFHVTBI,6,1,1,9,9,11878,9/18/17 14:06,10283
A2Z2OV7QGU10QN,caus_thomas_all_dis_v1,34X6J5FLPTZ2NYFYPGN2GNWA3F5QJM,0,1,1,6,5,13440,9/18/17 14:06,10284
A2XFO0X6RCS98M,caus_thomas_all_dis_v1,3WZ36BJEV3H9XV9EIS4GN4OKFHVTBI,2,2,2,6,8,6397,9/18/17 14:06,10285
A36OLZLW29173F,caus_thomas_all_dis_v1,3OLF68YTN92UVGMLHUZVBPPD6Q3AFX,7,1,1,6,2,19357,9/18/17 14:06,10286
A2YQBBAK7NBZHU,caus_thomas_all_dis_v1,3EQHHY4HQST33A6ZXIEWLZ93FR25GL,8,2,2,5,8,16660,9/18/17 14:06,10287
ALYR5CI2SM2JC,caus_thomas_all_dis_v1,3F0BG9B9MPOIC55IFHFZQJU3BTN7Y0,8,1,1,5,2,17138,9/18/17 14:06,10288
A3S1RAA0VUVQK,caus_thomas_all_dis_v1,31LM9EDVOLTHK1269OVLCT15Y4INJW,8,0,0,9,5,40995,9/18/17 14:06,10289
A2WYEOT1O3OXPS,caus_thomas_all_dis_v1,3TEM0PF1Q5Y1WJA7YM7CYJAFLRB0DL,8,0,0,10,6,49694,9/18/17 14:06,10290
A2XFO0X6RCS98M,caus_thomas_all_dis_v1,3WZ36BJEV3H9XV9EIS4GN4OKFHVTBI,1,3,3,5,1,7634,9/18/17 14:06,10291
A10LLZZHZVGWRW,caus_thomas_all_dis_v1,3SBEHTYCWN4F1PMEY8JWH8KCP9XYIL,4,0,0,4,10,19379,9/18/17 14:06,10292
AFWKRID53R1XA,caus_thomas_all_dis_v1,3Y5140Z9DXHLSBUD7LND4HR0L4VIPC,6,0,0,1,9,29819,9/18/17 14:06,10293
A36OLZLW29173F,caus_thomas_all_dis_v1,3OLF68YTN92UVGMLHUZVBPPD6Q3AFX,7,2,2,10,7,7296,9/18/17 14:06,10294
A163J5TEJBO43B,caus_thomas_all_dis_v1,3KWTYT08704JP2K089BCYREBB8O5LR,8,0,0,8,10,37854,9/18/17 14:06,10295
A2Z2OV7QGU10QN,caus_thomas_all_dis_v1,34X6J5FLPTZ2NYFYPGN2GNWA3F5QJM,8,2,2,7,8,11889,9/18/17 14:06,10296
A2XFO0X6RCS98M,caus_thomas_all_dis_v1,3WZ36BJEV3H9XV9EIS4GN4OKFHVTBI,5,4,4,2,7,6516,9/18/17 14:06,10297
A36OLZLW29173F,caus_thomas_all_dis_v1,3OLF68YTN92UVGMLHUZVBPPD6Q3AFX,7,3,3,9,10,5314,9/18/17 14:06,10298
A2YQBBAK7NBZHU,caus_thomas_all_dis_v1,3EQHHY4HQST33A6ZXIEWLZ93FR25GL,8,3,3,3,9,14810,9/18/17 14:06,10299
