subject,version,assignmentId,rating,question_ind,trial_ind,green_prob,blue_prob,rt,stamp,id
ALYR5CI2SM2JC,caus_thomas_all_dis_v1,3F0BG9B9MPOIC55IFHFZQJU3BTN7Y0,4,2,2,4,10,15012,9/18/17 14:06,10300
A36OLZLW29173F,caus_thomas_all_dis_v1,3OLF68YTN92UVGMLHUZVBPPD6Q3AFX,7,4,4,3,3,3581,9/18/17 14:06,10301
A3S1RAA0VUVQK,caus_thomas_all_dis_v1,31LM9EDVOLTHK1269OVLCT15Y4INJW,8,1,1,4,4,17003,9/18/17 14:06,10302
AFWKRID53R1XA,caus_thomas_all_dis_v1,3Y5140Z9DXHLSBUD7LND4HR0L4VIPC,7,1,1,7,3,14199,9/18/17 14:06,10303
A2Z2OV7QGU10QN,caus_thomas_all_dis_v1,34X6J5FLPTZ2NYFYPGN2GNWA3F5QJM,8,3,3,1,10,9738,9/18/17 14:06,10304
A10LLZZHZVGWRW,caus_thomas_all_dis_v1,3SBEHTYCWN4F1PMEY8JWH8KCP9XYIL,4,1,1,8,3,17293,9/18/17 14:07,10305
ALYR5CI2SM2JC,caus_thomas_all_dis_v1,3F0BG9B9MPOIC55IFHFZQJU3BTN7Y0,8,3,3,3,7,5731,9/18/17 14:07,10306
A2YQBBAK7NBZHU,caus_thomas_all_dis_v1,3EQHHY4HQST33A6ZXIEWLZ93FR25GL,8,4,4,1,3,7679,9/18/17 14:07,10307
A2WYEOT1O3OXPS,caus_thomas_all_dis_v1,3TEM0PF1Q5Y1WJA7YM7CYJAFLRB0DL,4,1,1,4,4,22218,9/18/17 14:07,10308
A163J5TEJBO43B,caus_thomas_all_dis_v1,3KWTYT08704JP2K089BCYREBB8O5LR,0,1,1,10,3,19918,9/18/17 14:07,10309
ALYR5CI2SM2JC,caus_thomas_all_dis_v1,3F0BG9B9MPOIC55IFHFZQJU3BTN7Y0,8,4,4,8,6,3771,9/18/17 14:07,10310
A3S1RAA0VUVQK,caus_thomas_all_dis_v1,31LM9EDVOLTHK1269OVLCT15Y4INJW,8,2,2,8,8,11584,9/18/17 14:07,10311
A10LLZZHZVGWRW,caus_thomas_all_dis_v1,3SBEHTYCWN4F1PMEY8JWH8KCP9XYIL,5,2,2,9,5,7747,9/18/17 14:07,10312
A2Z2OV7QGU10QN,caus_thomas_all_dis_v1,34X6J5FLPTZ2NYFYPGN2GNWA3F5QJM,8,4,4,2,4,13761,9/18/17 14:07,10313
A2WYEOT1O3OXPS,caus_thomas_all_dis_v1,3TEM0PF1Q5Y1WJA7YM7CYJAFLRB0DL,4,2,2,1,5,6339,9/18/17 14:07,10314
AFWKRID53R1XA,caus_thomas_all_dis_v1,3Y5140Z9DXHLSBUD7LND4HR0L4VIPC,5,2,2,2,7,15705,9/18/17 14:07,10315
A12VU5YSHGQH2V,caus_thomas_all_dis_v1,3IO1LGZLK9YKTZ0VJ3CDLS65N3086O,8,0,0,8,7,22738,9/18/17 14:07,10316
A2WYEOT1O3OXPS,caus_thomas_all_dis_v1,3TEM0PF1Q5Y1WJA7YM7CYJAFLRB0DL,4,3,3,7,1,3805,9/18/17 14:07,10317
A3S1RAA0VUVQK,caus_thomas_all_dis_v1,31LM9EDVOLTHK1269OVLCT15Y4INJW,8,3,3,3,1,7982,9/18/17 14:07,10318
A10LLZZHZVGWRW,caus_thomas_all_dis_v1,3SBEHTYCWN4F1PMEY8JWH8KCP9XYIL,5,3,3,6,1,9421,9/18/17 14:07,10319
A163J5TEJBO43B,caus_thomas_all_dis_v1,3KWTYT08704JP2K089BCYREBB8O5LR,4,2,2,9,6,16814,9/18/17 14:07,10320
A2YO837C0O1E91,caus_thomas_all_dis_v1,3TOK3KHVJTJ6IR1G9U61OSW1XJO7OP,8,0,0,6,3,89207,9/18/17 14:07,10321
AFWKRID53R1XA,caus_thomas_all_dis_v1,3Y5140Z9DXHLSBUD7LND4HR0L4VIPC,7,3,3,4,6,8959,9/18/17 14:07,10322
A2WYEOT1O3OXPS,caus_thomas_all_dis_v1,3TEM0PF1Q5Y1WJA7YM7CYJAFLRB0DL,4,4,4,8,2,7138,9/18/17 14:07,10323
A3S1RAA0VUVQK,caus_thomas_all_dis_v1,31LM9EDVOLTHK1269OVLCT15Y4INJW,8,4,4,7,6,6199,9/18/17 14:07,10324
A10LLZZHZVGWRW,caus_thomas_all_dis_v1,3SBEHTYCWN4F1PMEY8JWH8KCP9XYIL,5,4,4,7,8,6787,9/18/17 14:07,10325
A12VU5YSHGQH2V,caus_thomas_all_dis_v1,3IO1LGZLK9YKTZ0VJ3CDLS65N3086O,8,1,1,1,1,15223,9/18/17 14:07,10326
AFWKRID53R1XA,caus_thomas_all_dis_v1,3Y5140Z9DXHLSBUD7LND4HR0L4VIPC,2,4,4,5,10,7497,9/18/17 14:07,10327
A2YO837C0O1E91,caus_thomas_all_dis_v1,3TOK3KHVJTJ6IR1G9U61OSW1XJO7OP,7,1,1,9,10,13684,9/18/17 14:07,10328
A2R794P3E8X0MK,caus_thomas_all_dis_v1,354P56DE9K4LGJT9GBNA8X62U8R7SM,7,0,0,10,4,37253,9/18/17 14:07,10329
A2O19SRDLSQDP6,caus_thomas_all_dis_v1,3DPNQGW4LLGJAYDT70M04GQ0LH464F,8,0,0,4,9,51745,9/18/17 14:07,10330
A163J5TEJBO43B,caus_thomas_all_dis_v1,3KWTYT08704JP2K089BCYREBB8O5LR,5,3,3,1,2,18123,9/18/17 14:07,10331
A12VU5YSHGQH2V,caus_thomas_all_dis_v1,3IO1LGZLK9YKTZ0VJ3CDLS65N3086O,8,2,2,3,4,11371,9/18/17 14:07,10332
A12VU5YSHGQH2V,caus_thomas_all_dis_v1,3IO1LGZLK9YKTZ0VJ3CDLS65N3086O,8,3,3,9,2,5283,9/18/17 14:07,10333
ACIHCWKHNFC7U,caus_thomas_all_dis_v1,3KOPY89HM83AGX9WR5B63F3ZTNS3JX,4,0,0,5,3,2826,9/18/17 14:07,10334
ACIHCWKHNFC7U,caus_thomas_all_dis_v1,3KOPY89HM83AGX9WR5B63F3ZTNS3JX,6,1,1,9,8,2599,9/18/17 14:07,10335
ACIHCWKHNFC7U,caus_thomas_all_dis_v1,3KOPY89HM83AGX9WR5B63F3ZTNS3JX,3,2,2,2,2,1913,9/18/17 14:07,10336
A163J5TEJBO43B,caus_thomas_all_dis_v1,3KWTYT08704JP2K089BCYREBB8O5LR,7,4,4,2,8,14008,9/18/17 14:07,10337
ACIHCWKHNFC7U,caus_thomas_all_dis_v1,3KOPY89HM83AGX9WR5B63F3ZTNS3JX,5,3,3,6,5,1814,9/18/17 14:07,10338
A12VU5YSHGQH2V,caus_thomas_all_dis_v1,3IO1LGZLK9YKTZ0VJ3CDLS65N3086O,8,4,4,2,3,9789,9/18/17 14:08,10339
A2R794P3E8X0MK,caus_thomas_all_dis_v1,354P56DE9K4LGJT9GBNA8X62U8R7SM,8,1,1,4,10,20100,9/18/17 14:08,10340
ACIHCWKHNFC7U,caus_thomas_all_dis_v1,3KOPY89HM83AGX9WR5B63F3ZTNS3JX,6,4,4,4,9,1780,9/18/17 14:08,10341
A2O19SRDLSQDP6,caus_thomas_all_dis_v1,3DPNQGW4LLGJAYDT70M04GQ0LH464F,8,1,1,7,4,21877,9/18/17 14:08,10342
"A342YLIMT6THWO",caus_thomas_all_dis_v1,3ZPBJO59KP2C7JG3WUEX4B9W78DDH0,8,0,0,9,9,53023,9/18/17 14:08,10343
A35C12CR628WKD,caus_thomas_all_dis_v1,3DHE4R9OCWCB4DNCFZCYNS6RVHBG2V,4,0,0,2,5,21662,9/18/17 14:08,10344
ATY2JKVS3OYUV,caus_thomas_all_dis_v1,3KB8R4ZV1E85SQN8YS59OL9VPNOGBX,8,0,0,8,7,38438,9/18/17 14:08,10345
AV581SCZZM1YE,caus_thomas_all_dis_v1,3K2755HG5S4STNPX14QX1QXJRT0DF2,4,0,0,4,5,84942,9/18/17 14:08,10346
A1TSVP4XC9NTR4,caus_thomas_all_dis_v1,3OHYZ19UGC6O1TZEGXILYJYRYRUAOJ,8,0,0,8,6,89901,9/18/17 14:08,10347
A3KCT51PDCLUFD,caus_thomas_all_dis_v1,3Z2R0DQ0JHFDKZRL94MANPLFI1W2E0,0,0,0,3,3,20655,9/18/17 14:08,10348
A1N4O370NJB9U8,caus_thomas_all_dis_v1,3L2IS5HSFAJQYHD0LNZZJVAGFKGNUS,8,0,0,6,2,110837,9/18/17 14:08,10349
A35C12CR628WKD,caus_thomas_all_dis_v1,3DHE4R9OCWCB4DNCFZCYNS6RVHBG2V,0,1,1,10,10,8773,9/18/17 14:08,10350
AV581SCZZM1YE,caus_thomas_all_dis_v1,3K2755HG5S4STNPX14QX1QXJRT0DF2,5,1,1,10,1,9264,9/18/17 14:08,10351
A2R794P3E8X0MK,caus_thomas_all_dis_v1,354P56DE9K4LGJT9GBNA8X62U8R7SM,7,2,2,7,7,17169,9/18/17 14:08,10352
A2O19SRDLSQDP6,caus_thomas_all_dis_v1,3DPNQGW4LLGJAYDT70M04GQ0LH464F,6,2,2,2,10,15747,9/18/17 14:08,10353
A28HB7240OFGEW,caus_thomas_all_dis_v1,3FTYUGLFSUM0RQW8VSDOFE662ZM5DB,8,0,0,3,2,37746,9/18/17 14:08,10354
AROEBUDI2L9G9,caus_thomas_all_dis_v1,3SEPORI8WN000XDLI6T2EH5VIVXAZL,8,0,0,2,3,33020,9/18/17 14:08,10355
ALZQCQHWYUTP,caus_thomas_all_dis_v1,3WJEQKOXA83351SDAVKAMNLJ5GK1AN,8,0,0,4,7,36938,9/18/17 14:08,10356
A35C12CR628WKD,caus_thomas_all_dis_v1,3DHE4R9OCWCB4DNCFZCYNS6RVHBG2V,4,2,2,7,3,13214,9/18/17 14:08,10357
AV581SCZZM1YE,caus_thomas_all_dis_v1,3K2755HG5S4STNPX14QX1QXJRT0DF2,8,2,2,8,9,10507,9/18/17 14:08,10358
A3KCT51PDCLUFD,caus_thomas_all_dis_v1,3Z2R0DQ0JHFDKZRL94MANPLFI1W2E0,2,1,1,7,4,19858,9/18/17 14:08,10359
A1N4O370NJB9U8,caus_thomas_all_dis_v1,3L2IS5HSFAJQYHD0LNZZJVAGFKGNUS,8,1,1,7,10,20436,9/18/17 14:08,10360
A2R794P3E8X0MK,caus_thomas_all_dis_v1,354P56DE9K4LGJT9GBNA8X62U8R7SM,8,3,3,5,6,11960,9/18/17 14:08,10361
A35C12CR628WKD,caus_thomas_all_dis_v1,3DHE4R9OCWCB4DNCFZCYNS6RVHBG2V,4,3,3,6,6,3502,9/18/17 14:08,10362
A2O19SRDLSQDP6,caus_thomas_all_dis_v1,3DPNQGW4LLGJAYDT70M04GQ0LH464F,8,3,3,8,7,11264,9/18/17 14:08,10363
"A342YLIMT6THWO",caus_thomas_all_dis_v1,3ZPBJO59KP2C7JG3WUEX4B9W78DDH0,8,1,1,4,10,30059,9/18/17 14:08,10364
A35C12CR628WKD,caus_thomas_all_dis_v1,3DHE4R9OCWCB4DNCFZCYNS6RVHBG2V,6,4,4,9,7,2939,9/18/17 14:08,10365
ATY2JKVS3OYUV,caus_thomas_all_dis_v1,3KB8R4ZV1E85SQN8YS59OL9VPNOGBX,3,1,1,7,3,32190,9/18/17 14:08,10366
AROEBUDI2L9G9,caus_thomas_all_dis_v1,3SEPORI8WN000XDLI6T2EH5VIVXAZL,8,1,1,8,9,16554,9/18/17 14:08,10367
A28HB7240OFGEW,caus_thomas_all_dis_v1,3FTYUGLFSUM0RQW8VSDOFE662ZM5DB,8,1,1,2,8,17521,9/18/17 14:08,10368
A1TSVP4XC9NTR4,caus_thomas_all_dis_v1,3OHYZ19UGC6O1TZEGXILYJYRYRUAOJ,8,1,1,2,8,36622,9/18/17 14:08,10369
A2O19SRDLSQDP6,caus_thomas_all_dis_v1,3DPNQGW4LLGJAYDT70M04GQ0LH464F,8,4,4,6,8,12027,9/18/17 14:08,10370
ALZQCQHWYUTP,caus_thomas_all_dis_v1,3WJEQKOXA83351SDAVKAMNLJ5GK1AN,7,1,1,2,5,17569,9/18/17 14:08,10371
A2R794P3E8X0MK,caus_thomas_all_dis_v1,354P56DE9K4LGJT9GBNA8X62U8R7SM,5,4,4,3,2,15155,9/18/17 14:08,10372
"A342YLIMT6THWO",caus_thomas_all_dis_v1,3ZPBJO59KP2C7JG3WUEX4B9W78DDH0,8,2,2,2,3,18213,9/18/17 14:08,10373
A28HB7240OFGEW,caus_thomas_all_dis_v1,3FTYUGLFSUM0RQW8VSDOFE662ZM5DB,8,2,2,8,1,8121,9/18/17 14:08,10374
AROEBUDI2L9G9,caus_thomas_all_dis_v1,3SEPORI8WN000XDLI6T2EH5VIVXAZL,8,2,2,7,1,9095,9/18/17 14:08,10375
ATY2JKVS3OYUV,caus_thomas_all_dis_v1,3KB8R4ZV1E85SQN8YS59OL9VPNOGBX,8,2,2,3,8,14489,9/18/17 14:08,10376
ALZQCQHWYUTP,caus_thomas_all_dis_v1,3WJEQKOXA83351SDAVKAMNLJ5GK1AN,7,2,2,9,8,11434,9/18/17 14:09,10377
AROEBUDI2L9G9,caus_thomas_all_dis_v1,3SEPORI8WN000XDLI6T2EH5VIVXAZL,8,3,3,3,10,7232,9/18/17 14:09,10378
A2T9GR0UCUVDXG,caus_thomas_all_dis_v1,3EF8EXOTT1WE6UVH41XNFMO2V3E1J3,4,0,0,3,3,21898,9/18/17 14:09,10379
"A342YLIMT6THWO",caus_thomas_all_dis_v1,3ZPBJO59KP2C7JG3WUEX4B9W78DDH0,8,3,3,10,8,8560,9/18/17 14:09,10380
AT3NSILK1BP46,caus_thomas_all_dis_v1,3RSDURM96AN3LKKS2PT5WTMKXGQYEC,8,0,0,1,4,28966,9/18/17 14:09,10381
A3J8F637SP7XIY,caus_thomas_all_dis_v1,3VW6495TLJ11RP1J2Q5Z3WE0FSVYYR,1,0,0,2,9,21509,9/18/17 14:09,10382
A28HB7240OFGEW,caus_thomas_all_dis_v1,3FTYUGLFSUM0RQW8VSDOFE662ZM5DB,8,3,3,6,4,8857,9/18/17 14:09,10383
A2YO837C0O1E91,caus_thomas_all_dis_v1,3TOK3KHVJTJ6IR1G9U61OSW1XJO7OP,8,2,2,1,9,86562,9/18/17 14:09,10384
A1TSVP4XC9NTR4,caus_thomas_all_dis_v1,3OHYZ19UGC6O1TZEGXILYJYRYRUAOJ,8,2,2,1,1,19037,9/18/17 14:09,10385
A1N4O370NJB9U8,caus_thomas_all_dis_v1,3L2IS5HSFAJQYHD0LNZZJVAGFKGNUS,8,2,2,3,8,35348,9/18/17 14:09,10386
A3KCT51PDCLUFD,caus_thomas_all_dis_v1,3Z2R0DQ0JHFDKZRL94MANPLFI1W2E0,1,2,2,4,6,37691,9/18/17 14:09,10387
A3J8F637SP7XIY,caus_thomas_all_dis_v1,3VW6495TLJ11RP1J2Q5Z3WE0FSVYYR,4,1,1,4,8,5055,9/18/17 14:09,10388
ATY2JKVS3OYUV,caus_thomas_all_dis_v1,3KB8R4ZV1E85SQN8YS59OL9VPNOGBX,4,3,3,5,4,14505,9/18/17 14:09,10389
A1CH6M8KNYMJ92,caus_thomas_all_dis_v1,38JBBYETQOBNND68DI5YG4ID2FSE48,8,0,0,10,1,23887,9/18/17 14:09,10390
"A342YLIMT6THWO",caus_thomas_all_dis_v1,3ZPBJO59KP2C7JG3WUEX4B9W78DDH0,8,4,4,1,6,8057,9/18/17 14:09,10391
AROEBUDI2L9G9,caus_thomas_all_dis_v1,3SEPORI8WN000XDLI6T2EH5VIVXAZL,8,4,4,1,5,9179,9/18/17 14:09,10392
ALZQCQHWYUTP,caus_thomas_all_dis_v1,3WJEQKOXA83351SDAVKAMNLJ5GK1AN,7,3,3,8,3,13005,9/18/17 14:09,10393
A3J8F637SP7XIY,caus_thomas_all_dis_v1,3VW6495TLJ11RP1J2Q5Z3WE0FSVYYR,8,2,2,9,3,3209,9/18/17 14:09,10394
A2T9GR0UCUVDXG,caus_thomas_all_dis_v1,3EF8EXOTT1WE6UVH41XNFMO2V3E1J3,0,1,1,10,6,11324,9/18/17 14:09,10395
A3KCT51PDCLUFD,caus_thomas_all_dis_v1,3Z2R0DQ0JHFDKZRL94MANPLFI1W2E0,0,3,3,1,5,6148,9/18/17 14:09,10396
A28HB7240OFGEW,caus_thomas_all_dis_v1,3FTYUGLFSUM0RQW8VSDOFE662ZM5DB,8,4,4,1,9,11061,9/18/17 14:09,10397
A3B9OZQTE4US3T,caus_thomas_all_dis_v1,3B2X28YI3WG3VXY2MFWNCUW6V9LB6Q,8,0,0,5,7,35022,9/18/17 14:09,10398
A1N4O370NJB9U8,caus_thomas_all_dis_v1,3L2IS5HSFAJQYHD0LNZZJVAGFKGNUS,8,3,3,10,9,9693,9/18/17 14:09,10399
A2YO837C0O1E91,caus_thomas_all_dis_v1,3TOK3KHVJTJ6IR1G9U61OSW1XJO7OP,8,3,3,8,8,12283,9/18/17 14:09,10400
A3J8F637SP7XIY,caus_thomas_all_dis_v1,3VW6495TLJ11RP1J2Q5Z3WE0FSVYYR,7,3,3,8,5,3332,9/18/17 14:09,10401
A1TSVP4XC9NTR4,caus_thomas_all_dis_v1,3OHYZ19UGC6O1TZEGXILYJYRYRUAOJ,8,3,3,10,5,12437,9/18/17 14:09,10402
ATY2JKVS3OYUV,caus_thomas_all_dis_v1,3KB8R4ZV1E85SQN8YS59OL9VPNOGBX,7,4,4,4,6,8835,9/18/17 14:09,10403
A110KENBXU7SUJ,caus_thomas_all_dis_v1,3DIP6YHAPCTO6ETAPLVBXGYI41OE8F,4,0,0,7,4,24827,9/18/17 14:09,10404
A1CH6M8KNYMJ92,caus_thomas_all_dis_v1,38JBBYETQOBNND68DI5YG4ID2FSE48,8,1,1,9,10,9661,9/18/17 14:09,10405
AESEZX8S7Z3IC,caus_thomas_all_dis_v1,3AMYWKA6YBNNERNBQK19IEW52846OP,3,0,0,9,3,32628,9/18/17 14:09,10406
A3J8F637SP7XIY,caus_thomas_all_dis_v1,3VW6495TLJ11RP1J2Q5Z3WE0FSVYYR,0,4,4,1,10,2807,9/18/17 14:09,10407
A3KCT51PDCLUFD,caus_thomas_all_dis_v1,3Z2R0DQ0JHFDKZRL94MANPLFI1W2E0,2,4,4,5,1,7633,9/18/17 14:09,10408
ALZQCQHWYUTP,caus_thomas_all_dis_v1,3WJEQKOXA83351SDAVKAMNLJ5GK1AN,7,4,4,10,4,9495,9/18/17 14:09,10409
A29XBKJC7OQ1VQ,caus_thomas_all_dis_v1,35GCEFQ6I5P0GCE09RESR9RPCL4Z3D,8,0,0,7,5,31766,9/18/17 14:09,10410
A136SBQYT4RFKX,caus_thomas_all_dis_v1,30BUDKLTXDW5JWA8RNO8LWOR2BNE5D,6,0,0,8,5,32061,9/18/17 14:09,10411
A2T9GR0UCUVDXG,caus_thomas_all_dis_v1,3EF8EXOTT1WE6UVH41XNFMO2V3E1J3,2,2,2,9,2,9549,9/18/17 14:09,10412
A2YO837C0O1E91,caus_thomas_all_dis_v1,3TOK3KHVJTJ6IR1G9U61OSW1XJO7OP,7,4,4,7,7,7237,9/18/17 14:09,10413
A6VQ0UN0ETESM,caus_thomas_all_dis_v1,3EFVCAY5L3AWHUF23M62UWBA99KJ85,8,0,0,3,5,77811,9/18/17 14:09,10414
A1N4O370NJB9U8,caus_thomas_all_dis_v1,3L2IS5HSFAJQYHD0LNZZJVAGFKGNUS,8,4,4,5,4,8357,9/18/17 14:09,10415
A2T9GR0UCUVDXG,caus_thomas_all_dis_v1,3EF8EXOTT1WE6UVH41XNFMO2V3E1J3,3,3,3,6,4,2604,9/18/17 14:09,10416
A2PFTBGIF2Q6LJ,caus_thomas_all_dis_v1,3D3VGR7TA0GRELS9ZAKF56PQ34M3RP,7,0,0,5,5,35984,9/18/17 14:09,10417
A1TSVP4XC9NTR4,caus_thomas_all_dis_v1,3OHYZ19UGC6O1TZEGXILYJYRYRUAOJ,8,4,4,6,3,12494,9/18/17 14:09,10418
A2T9GR0UCUVDXG,caus_thomas_all_dis_v1,3EF8EXOTT1WE6UVH41XNFMO2V3E1J3,4,4,4,4,5,3630,9/18/17 14:09,10419
A1CH6M8KNYMJ92,caus_thomas_all_dis_v1,38JBBYETQOBNND68DI5YG4ID2FSE48,8,2,2,6,2,12037,9/18/17 14:09,10420
AESEZX8S7Z3IC,caus_thomas_all_dis_v1,3AMYWKA6YBNNERNBQK19IEW52846OP,4,1,1,5,4,12463,9/18/17 14:09,10421
A2RR04JS69Z5LE,caus_thomas_all_dis_v1,3Z3ZLGNNSIVR2KD9MVVF0GFL7IK3QO,2,0,0,6,7,23890,9/18/17 14:09,10422
AT3NSILK1BP46,caus_thomas_all_dis_v1,3RSDURM96AN3LKKS2PT5WTMKXGQYEC,8,1,1,5,7,30977,9/18/17 14:09,10423
A3MWV912LNFD67,caus_thomas_all_dis_v1,3FIUS151DV31J7VJEEXNPW0S50GGGE,8,0,0,7,2,53599,9/18/17 14:09,10424
A2RR04JS69Z5LE,caus_thomas_all_dis_v1,3Z3ZLGNNSIVR2KD9MVVF0GFL7IK3QO,1,1,1,9,8,6290,9/18/17 14:09,10425
A1I40IZ12GO0G2,caus_thomas_all_dis_v1,34V1S5K3GS2K74J5OVIRLO1G79I96E,8,0,0,2,5,42939,9/18/17 14:09,10426
A29XBKJC7OQ1VQ,caus_thomas_all_dis_v1,35GCEFQ6I5P0GCE09RESR9RPCL4Z3D,8,1,1,5,1,12826,9/18/17 14:09,10427
A110KENBXU7SUJ,caus_thomas_all_dis_v1,3DIP6YHAPCTO6ETAPLVBXGYI41OE8F,6,1,1,2,2,17259,9/18/17 14:09,10428
A16ACBUG1AF169,caus_thomas_all_dis_v1,3U4J9857OECMZXC75P1FI8W2QK5B7P,8,0,0,9,4,40105,9/18/17 14:09,10429
A3B9OZQTE4US3T,caus_thomas_all_dis_v1,3B2X28YI3WG3VXY2MFWNCUW6V9LB6Q,8,1,1,3,3,22067,9/18/17 14:09,10430
AESEZX8S7Z3IC,caus_thomas_all_dis_v1,3AMYWKA6YBNNERNBQK19IEW52846OP,6,2,2,2,2,4471,9/18/17 14:09,10431
A1CH6M8KNYMJ92,caus_thomas_all_dis_v1,38JBBYETQOBNND68DI5YG4ID2FSE48,8,3,3,4,3,6803,9/18/17 14:09,10432
AV581SCZZM1YE,caus_thomas_all_dis_v1,3K2755HG5S4STNPX14QX1QXJRT0DF2,6,3,3,1,3,74230,9/18/17 14:09,10433
A136SBQYT4RFKX,caus_thomas_all_dis_v1,30BUDKLTXDW5JWA8RNO8LWOR2BNE5D,6,1,1,3,4,18677,9/18/17 14:09,10434
AT3NSILK1BP46,caus_thomas_all_dis_v1,3RSDURM96AN3LKKS2PT5WTMKXGQYEC,8,2,2,7,1,9145,9/18/17 14:09,10435
A3B9OZQTE4US3T,caus_thomas_all_dis_v1,3B2X28YI3WG3VXY2MFWNCUW6V9LB6Q,7,2,2,7,10,6143,9/18/17 14:09,10436
A29XBKJC7OQ1VQ,caus_thomas_all_dis_v1,35GCEFQ6I5P0GCE09RESR9RPCL4Z3D,8,2,2,9,9,8137,9/18/17 14:09,10437
A1CH6M8KNYMJ92,caus_thomas_all_dis_v1,38JBBYETQOBNND68DI5YG4ID2FSE48,8,4,4,5,7,4476,9/18/17 14:09,10438
A110KENBXU7SUJ,caus_thomas_all_dis_v1,3DIP6YHAPCTO6ETAPLVBXGYI41OE8F,3,2,2,5,9,8577,9/18/17 14:09,10439
AESEZX8S7Z3IC,caus_thomas_all_dis_v1,3AMYWKA6YBNNERNBQK19IEW52846OP,1,3,3,3,1,7749,9/18/17 14:09,10440
A2PFTBGIF2Q6LJ,caus_thomas_all_dis_v1,3D3VGR7TA0GRELS9ZAKF56PQ34M3RP,7,1,1,9,6,17106,9/18/17 14:09,10441
