subject,rating,trial_ind,green_prob,blue_prob,rt,stamp,,,,,,
1,0,0,8,7,123860,9/15/17 14:00,,,,,,
1,0,1,5,1,18051,9/15/17 14:01,,,,,,
1,0,2,1,9,9792,9/15/17 14:01,,,,,,
1,0,3,7,4,7878,9/15/17 14:01,,,,,,
1,-1,4,4,5,9344,9/15/17 14:01,,,,,,
2,4,0,1,6,66707,9/15/17 17:16,,,,,,
2,5,1,4,10,7906,9/15/17 17:17,,,,,,
2,5,2,8,3,3306,9/15/17 17:17,,,,,,
2,4,3,3,9,3661,9/15/17 17:17,,,,,,
2,4,4,2,4,5718,9/15/17 17:17,,,,,,
3,2,0,4,6,32267,9/15/17 14:24,,,,,,
3,2,1,8,4,14994,9/15/17 14:25,,,,,,
3,5,2,3,10,15204,9/15/17 14:25,,,,,,
3,3,3,5,9,10481,9/15/17 14:25,,,,,,
3,6,4,9,5,11594,9/15/17 14:25,,,,,,
4,0,0,7,7,24275,9/15/17 15:07,,,,,,
4,0,1,8,6,17581,9/15/17 15:08,,,,,,
4,1,2,5,9,13850,9/15/17 15:08,,,,,,
4,7,3,4,10,9842,9/15/17 15:08,,,,,,
4,1,4,6,1,9167,9/15/17 15:08,,,,,,
5,0,0,4,1,29342,9/15/17 16:31,,,,,,
5,0,1,5,4,16472,9/15/17 16:31,,,,,,
5,0,2,3,8,10645,9/15/17 16:31,,,,,,
5,0,3,9,9,9840,9/15/17 16:31,,,,,,
5,0,4,10,3,4829,9/15/17 16:31,,,,,,
6,0,0,3,7,139046,9/15/17 14:15,,,,,,
6,0,1,9,9,61746,9/15/17 14:16,,,,,,
6,0,2,4,2,18443,9/15/17 14:16,,,,,,
6,0,3,7,10,32342,9/15/17 14:17,,,,,,
6,0,4,5,6,70944,9/15/17 14:18,,,,,,
7,8,0,5,10,207336,9/15/17 14:46,,,,,,
7,8,1,1,5,14409,9/15/17 14:46,,,,,,
7,8,2,9,8,207938,9/15/17 14:50,,,,,,
7,8,3,8,7,9565,9/15/17 14:50,,,,,,
7,8,4,6,9,7602,9/15/17 14:50,,,,,,
8,5,0,10,8,34817,9/15/17 15:22,,,,,,
8,1,1,2,7,14897,9/15/17 15:22,,,,,,
8,8,2,1,3,7865,9/15/17 15:22,,,,,,
8,4,3,5,9,8465,9/15/17 15:23,,,,,,
8,3,4,7,6,12590,9/15/17 15:23,,,,,,
9,8,0,10,1,95876,9/15/17 13:39,,,,,,
9,8,1,3,7,40581,9/15/17 13:40,,,,,,
9,5,2,2,2,51875,9/15/17 13:41,,,,,,
9,5,3,7,10,17563,9/15/17 13:41,,,,,,
9,0,4,9,4,28157,9/15/17 13:42,,,,,,
10,4,0,4,7,24969,9/15/17 13:50,,,,,,
10,4,1,1,8,13206,9/15/17 13:50,,,,,,
10,4,2,8,4,11084,9/15/17 13:51,,,,,,
10,4,3,9,5,6368,9/15/17 13:51,,,,,,
10,4,4,7,3,5227,9/15/17 13:51,,,,,,
11,8,0,6,7,44969,9/15/17 17:21,,,,,,
11,8,1,10,5,24782,9/15/17 17:21,,,,,,
11,8,2,1,10,9555,9/15/17 17:21,,,,,,
11,8,3,4,6,6823,9/15/17 17:22,,,,,,
11,8,4,8,3,11313,9/15/17 17:22,,,,,,
12,2,0,2,1,42017,9/15/17 15:50,,,,,,
12,8,1,9,10,19780,9/15/17 15:51,,,,,,
12,4,2,5,6,15553,9/15/17 15:51,,,,,,
12,5,3,3,4,12813,9/15/17 15:51,,,,,,
12,2,4,6,3,10810,9/15/17 15:51,,,,,,
13,0,0,8,6,19436,9/15/17 17:56,,,,,,
13,8,1,2,3,18334,9/15/17 17:56,,,,,,
13,8,2,1,9,9826,9/15/17 17:56,,,,,,
13,8,3,4,2,8898,9/15/17 17:56,,,,,,
13,8,4,6,1,9922,9/15/17 17:56,,,,,,
14,8,0,6,10,54932,9/15/17 14:22,,,,,,
14,1,1,1,1,23221,9/15/17 14:22,,,,,,
14,3,2,5,5,25694,9/15/17 14:23,,,,,,
14,0,3,3,9,5972,9/15/17 14:23,,,,,,
14,0,4,4,2,7271,9/15/17 14:23,,,,,,
15,5,0,9,4,8692,9/15/17 15:54,,,,,,
15,6,1,10,6,6323,9/15/17 15:54,,,,,,
15,4,2,3,7,4252,9/15/17 15:54,,,,,,
15,5,3,5,5,4367,9/15/17 15:54,,,,,,
15,6,4,7,3,152055,9/15/17 15:57,,,,,,
16,4,0,2,4,50206,9/15/17 13:51,,,,,,
16,5,1,6,3,27290,9/15/17 13:51,,,,,,
16,4,2,1,2,46031,9/15/17 13:52,,,,,,
16,4,3,3,6,7376,9/15/17 13:52,,,,,,
16,5,4,10,7,5308,9/15/17 13:52,,,,,,
17,4,0,3,4,73850,9/15/17 13:38,,,,,,
17,4,1,6,6,16434,9/15/17 13:38,,,,,,
17,4,2,5,2,12115,9/15/17 13:38,,,,,,
17,4,3,8,1,12179,9/15/17 13:38,,,,,,
17,4,4,4,5,8967,9/15/17 13:39,,,,,,
18,8,0,2,7,75217,9/15/17 16:26,,,,,,
18,8,1,9,2,24112,9/15/17 16:27,,,,,,
18,8,2,4,5,30713,9/15/17 16:27,,,,,,
18,8,3,5,3,23108,9/15/17 16:28,,,,,,
18,8,4,7,6,30502,9/15/17 16:28,,,,,,
19,0,0,1,5,68625,9/15/17 15:53,,,,,,
19,0,1,8,3,44350,9/15/17 15:54,,,,,,
19,3,2,3,9,42806,9/15/17 15:54,,,,,,
19,0,3,7,2,19881,9/15/17 15:55,,,,,,
19,1,4,4,6,22168,9/15/17 15:55,,,,,,
20,8,0,1,6,20765,9/15/17 15:51,,,,,,
20,8,1,7,2,12282,9/15/17 15:51,,,,,,
20,8,2,8,7,4165,9/15/17 15:51,,,,,,
20,8,3,3,1,7297,9/15/17 15:51,,,,,,
20,8,4,6,5,6811,9/15/17 15:52,,,,,,
21,4,0,8,7,106796,9/15/17 14:34,,,,,,
21,0,1,10,3,10049,9/15/17 14:34,,,,,,
21,4,2,6,9,15727,9/15/17 14:34,,,,,,
21,3,3,4,4,6160,9/15/17 14:35,,,,,,
22,0,0,2,5,27807,9/15/17 17:14,,,,,,
22,8,1,10,6,27775,9/15/17 17:15,,,,,,
22,2,2,3,9,11663,9/15/17 17:15,,,,,,
22,2,3,4,7,14831,9/15/17 17:15,,,,,,
22,5,4,5,3,10511,9/15/17 17:15,,,,,,
23,8,0,2,2,66739,9/15/17 17:15,,,,,,
23,8,1,10,4,18291,9/15/17 17:15,,,,,,
23,8,2,9,8,11938,9/15/17 17:15,,,,,,
23,8,3,3,3,9600,9/15/17 17:15,,,,,,
23,8,4,8,7,9723,9/15/17 17:15,,,,,,
24,0,0,3,7,44394,9/15/17 14:50,,,,,,
24,8,1,8,9,27509,9/15/17 14:51,,,,,,
24,8,2,10,2,37936,9/15/17 14:51,,,,,,
24,0,3,1,4,52238,9/15/17 14:52,,,,,,
24,0,4,2,1,15361,9/15/17 14:52,,,,,,
25,0,0,7,3,52509,9/15/17 13:48,,,,,,
25,0,1,4,4,25960,9/15/17 13:48,,,,,,
25,0,2,2,8,25691,9/15/17 13:49,,,,,,
25,0,3,1,2,16705,9/15/17 13:49,,,,,,
25,0,4,6,7,11450,9/15/17 13:49,,,,,,
26,1,0,6,1,54909,9/15/17 17:19,,,,,,
26,0,1,10,6,30104,9/15/17 17:20,,,,,,
26,1,2,3,5,28185,9/15/17 17:20,,,,,,
26,0,3,8,8,14747,9/15/17 17:21,,,,,,
26,0,4,1,3,15015,9/15/17 17:21,,,,,,
27,4,0,1,6,37920,9/15/17 16:26,,,,,,
27,8,1,6,8,11273,9/15/17 16:26,,,,,,
27,8,2,4,2,9776,9/15/17 16:26,,,,,,
27,4,3,9,10,11629,9/15/17 16:26,,,,,,
27,5,4,7,9,2190,9/15/17 16:26,,,,,,
28,7,0,4,5,34507,9/15/17 15:21,,,,,,
28,7,1,9,10,13372,9/15/17 15:22,,,,,,
28,1,2,7,2,15473,9/15/17 15:22,,,,,,
