subject,rating,trial_ind,green_prob,blue_prob,rt,stamp,,,,,,
28,7,3,2,3,10477,9/15/17 15:22,,,,,,
28,7,4,8,7,11741,9/15/17 15:22,,,,,,
29,0,0,8,4,30186,9/15/17 13:53,,,,,,
29,0,1,1,2,15108,9/15/17 13:53,,,,,,
29,0,2,5,7,9079,9/15/17 13:53,,,,,,
29,0,3,9,6,9172,9/15/17 13:53,,,,,,
29,8,4,2,10,11170,9/15/17 13:53,,,,,,
30,4,0,7,8,45293,9/15/17 15:32,,,,,,
30,2,1,9,9,19567,9/15/17 15:33,,,,,,
30,5,2,4,5,11645,9/15/17 15:33,,,,,,
30,0,3,10,3,13439,9/15/17 15:33,,,,,,
30,5,4,3,6,11309,9/15/17 15:33,,,,,,
31,5,0,2,9,47487,9/15/17 16:40,,,,,,
31,8,1,7,10,16477,9/15/17 16:40,,,,,,
31,1,2,5,6,9993,9/15/17 16:40,,,,,,
31,1,3,8,7,18523,9/15/17 16:41,,,,,,
31,0,4,4,2,9655,9/15/17 16:41,,,,,,
32,6,0,1,3,22147,9/15/17 13:47,,,,,,
32,3,1,7,4,7917,9/15/17 13:48,,,,,,
32,2,2,8,9,7761,9/15/17 13:48,,,,,,
32,6,3,3,8,7062,9/15/17 13:48,,,,,,
32,7,4,2,2,4237,9/15/17 13:48,,,,,,
33,4,0,1,2,35331,9/15/17 15:17,,,,,,
33,3,1,3,5,32401,9/15/17 15:18,,,,,,
33,8,2,5,10,21331,9/15/17 15:18,,,,,,
33,2,3,8,6,11741,9/15/17 15:19,,,,,,
33,0,4,6,3,8927,9/15/17 15:19,,,,,,
34,2,0,2,6,44922,9/15/17 16:22,,,,,,
34,2,1,5,4,16960,9/15/17 16:23,,,,,,
34,0,2,10,2,12670,9/15/17 16:23,,,,,,
34,1,3,3,5,10796,9/15/17 16:23,,,,,,
34,1,4,7,7,11102,9/15/17 16:23,,,,,,
35,6,0,3,3,26758,9/15/17 15:29,,,,,,
35,5,1,2,1,8820,9/15/17 15:29,,,,,,
35,4,2,5,5,5669,9/15/17 15:29,,,,,,
35,8,3,4,10,4412,9/15/17 15:29,,,,,,
35,0,4,10,8,5564,9/15/17 15:29,,,,,,
36,3,0,4,6,32211,9/15/17 16:41,,,,,,
36,2,1,6,3,12274,9/15/17 16:41,,,,,,
36,5,2,8,9,10540,9/15/17 16:42,,,,,,
36,0,3,10,10,11826,9/15/17 16:42,,,,,,
36,1,4,7,1,10627,9/15/17 16:42,,,,,,
37,4,0,7,7,134806,9/15/17 13:51,,,,,,
37,6,1,3,1,49832,9/15/17 13:52,,,,,,
37,6,2,9,2,34659,9/15/17 13:52,,,,,,
37,6,3,8,4,10970,9/15/17 13:53,,,,,,
37,2,4,10,5,10686,9/15/17 13:53,,,,,,
38,4,0,5,9,49943,9/15/17 13:38,,,,,,
38,4,1,10,6,17477,9/15/17 13:38,,,,,,
38,4,2,3,2,11739,9/15/17 13:39,,,,,,
38,4,3,6,10,8110,9/15/17 13:39,,,,,,
38,4,4,9,1,4936,9/15/17 13:39,,,,,,
39,1,0,1,2,21517,9/15/17 17:14,,,,,,
39,6,1,10,7,22882,9/15/17 17:15,,,,,,
39,5,2,2,3,17554,9/15/17 17:15,,,,,,
39,6,3,5,6,12631,9/15/17 17:15,,,,,,
39,1,4,6,1,8933,9/15/17 17:16,,,,,,
40,5,0,2,5,22509,9/15/17 16:32,,,,,,
40,8,1,9,3,3496,9/15/17 16:32,,,,,,
40,5,2,3,2,2946,9/15/17 16:32,,,,,,
40,8,3,8,9,3210,9/15/17 16:33,,,,,,
40,5,4,7,8,3178,9/15/17 16:33,,,,,,
41,8,0,3,10,838148,9/15/17 16:44,,,,,,
41,4,1,8,8,47006,9/15/17 16:45,,,,,,
41,0,2,10,7,72074,9/15/17 16:46,,,,,,
41,4,3,5,4,11461,9/15/17 16:46,,,,,,
41,4,4,7,5,11987,9/15/17 16:46,,,,,,
42,2,0,2,5,61912,9/15/17 16:23,,,,,,
42,2,1,5,8,38911,9/15/17 16:23,,,,,,
42,2,2,3,9,16422,9/15/17 16:24,,,,,,
42,8,3,6,10,23914,9/15/17 16:24,,,,,,
42,0,4,10,3,15205,9/15/17 16:24,,,,,,
43,4,0,8,5,39244,9/15/17 14:46,,,,,,
43,4,1,5,3,20914,9/15/17 14:46,,,,,,
43,4,2,4,2,21476,9/15/17 14:47,,,,,,
43,5,3,3,6,15056,9/15/17 14:47,,,,,,
43,3,4,9,1,5942,9/15/17 14:47,,,,,,
44,4,0,3,7,73528,9/15/17 16:11,,,,,,
44,8,1,7,10,23807,9/15/17 16:11,,,,,,
44,3,2,1,2,24377,9/15/17 16:11,,,,,,
44,2,3,2,9,21904,9/15/17 16:12,,,,,,
44,4,4,5,8,14654,9/15/17 16:12,,,,,,
45,6,0,10,6,40769,9/15/17 14:42,,,,,,
45,4,1,4,4,30193,9/15/17 14:42,,,,,,
45,3,2,3,5,18117,9/15/17 14:43,,,,,,
45,6,3,1,8,15478,9/15/17 14:43,,,,,,
45,4,4,6,7,10894,9/15/17 14:43,,,,,,
46,0,0,8,4,67370,9/15/17 15:11,,,,,,
46,0,1,9,9,24227,9/15/17 15:11,,,,,,
46,0,2,10,6,14473,9/15/17 15:11,,,,,,
46,0,3,3,8,28217,9/15/17 15:12,,,,,,
46,0,4,7,7,12247,9/15/17 15:12,,,,,,
47,5,0,1,2,6298,9/15/17 16:34,,,,,,
47,6,1,5,4,4174,9/15/17 16:35,,,,,,
47,3,2,3,3,4476,9/15/17 16:35,,,,,,
47,6,3,4,8,4602,9/15/17 16:35,,,,,,
47,4,4,10,7,2968,9/15/17 16:35,,,,,,
48,0,0,1,4,52098,9/15/17 15:26,,,,,,
48,0,1,9,8,19359,9/15/17 15:26,,,,,,
48,0,2,4,3,15210,9/15/17 15:26,,,,,,
48,0,3,2,1,13070,9/15/17 15:26,,,,,,
48,0,4,10,10,8619,9/15/17 15:27,,,,,,
49,2,0,9,7,36202,9/15/17 15:01,,,,,,
49,8,1,4,10,18984,9/15/17 15:01,,,,,,
49,7,2,5,9,17409,9/15/17 15:01,,,,,,
49,0,3,10,1,10206,9/15/17 15:01,,,,,,
49,2,4,8,2,10337,9/15/17 15:02,,,,,,
50,6,0,4,9,35760,9/15/17 15:56,,,,,,
50,8,1,5,10,19748,9/15/17 15:56,,,,,,
50,3,2,1,5,9348,9/15/17 15:57,,,,,,
50,1,3,3,1,7051,9/15/17 15:57,,,,,,
50,1,4,9,2,5945,9/15/17 15:57,,,,,,
51,6,0,3,8,21936,9/15/17 14:46,,,,,,
51,1,1,8,3,10495,9/15/17 14:46,,,,,,
51,5,2,4,7,12495,9/15/17 14:46,,,,,,
51,3,3,7,4,6402,9/15/17 14:46,,,,,,
51,8,4,2,10,7705,9/15/17 14:47,,,,,,
52,8,0,8,10,41115,9/15/17 14:57,,,,,,
52,2,1,6,6,19060,9/15/17 14:57,,,,,,
52,1,2,9,4,15021,9/15/17 14:58,,,,,,
52,4,3,5,9,13450,9/15/17 14:58,,,,,,
52,6,4,1,8,11395,9/15/17 14:58,,,,,,
53,0,0,8,4,84637,9/15/17 16:50,,,,,,
53,0,1,1,7,32368,9/15/17 16:50,,,,,,
53,0,2,10,1,20694,9/15/17 16:51,,,,,,
53,0,3,7,3,33407,9/15/17 16:51,,,,,,
53,0,4,3,9,5344,9/15/17 16:52,,,,,,
54,8,0,8,7,60868,9/15/17 17:04,,,,,,
54,8,1,3,1,35464,9/15/17 17:05,,,,,,
54,0,2,10,5,27067,9/15/17 17:05,,,,,,
54,8,3,7,6,22557,9/15/17 17:06,,,,,,
54,8,4,2,4,20480,9/15/17 17:06,,,,,,
55,1,0,2,6,57131,9/15/17 16:19,,,,,,
55,1,1,3,2,31537,9/15/17 16:20,,,,,,
55,1,2,9,9,17059,9/15/17 16:20,,,,,,
55,3,3,5,10,45282,9/15/17 16:21,,,,,,
55,1,4,4,3,10548,9/15/17 16:21,,,,,,
56,4,0,4,3,65169,9/15/17 13:39,,,,,,
56,4,1,5,1,55905,9/15/17 13:40,,,,,,
56,4,2,2,2,14444,9/15/17 13:41,,,,,,
56,4,3,7,8,12554,9/15/17 13:41,,,,,,
56,4,4,8,10,6877,9/15/17 13:41,,,,,,
57,4,0,7,3,31443,9/15/17 13:59,,,,,,
57,7,1,1,8,24419,9/15/17 13:59,,,,,,
57,4,2,2,2,12832,9/15/17 14:00,,,,,,
57,0,3,10,5,15135,9/15/17 14:00,,,,,,
57,8,4,3,10,6414,9/15/17 14:00,,,,,,
58,1,0,1,7,30210,9/15/17 15:30,,,,,,
58,3,1,9,2,8048,9/15/17 15:31,,,,,,
58,3,2,3,10,7626,9/15/17 15:31,,,,,,
58,2,3,2,5,6478,9/15/17 15:31,,,,,,
58,4,4,4,6,9459,9/15/17 15:31,,,,,,
59,4,0,4,6,31288,9/15/17 13:53,,,,,,
59,4,1,6,8,17208,9/15/17 13:53,,,,,,
59,5,2,7,9,8900,9/15/17 13:53,,,,,,
59,2,3,8,4,6286,9/15/17 13:53,,,,,,
59,1,4,9,3,9674,9/15/17 13:54,,,,,,
60,5,0,6,6,33136,9/15/17 17:36,,,,,,
60,3,1,10,4,12587,9/15/17 17:36,,,,,,
60,5,2,1,2,10467,9/15/17 17:37,,,,,,
60,5,3,5,8,8618,9/15/17 17:37,,,,,,
60,5,4,7,5,7625,9/15/17 17:37,,,,,,
61,6,0,8,2,39747,9/15/17 14:45,,,,,,
61,1,1,3,9,14241,9/15/17 14:46,,,,,,
61,8,2,10,3,11016,9/15/17 14:46,,,,,,
61,2,3,4,7,13636,9/15/17 14:46,,,,,,
61,0,4,6,10,10683,9/15/17 14:46,,,,,,
62,0,0,3,7,47564,9/15/17 15:44,,,,,,
62,0,1,6,10,29716,9/15/17 15:44,,,,,,
62,0,2,10,3,9938,9/15/17 15:45,,,,,,
62,0,3,5,8,9692,9/15/17 15:45,,,,,,
62,0,4,1,4,5938,9/15/17 15:45,,,,,,
63,6,0,4,5,30058,9/15/17 17:40,,,,,,
63,2,1,5,9,15887,9/15/17 17:40,,,,,,
63,8,2,7,10,14137,9/15/17 17:41,,,,,,
63,0,3,6,1,8365,9/15/17 17:41,,,,,,
63,1,4,9,6,11632,9/15/17 17:41,,,,,,
64,3,0,5,7,40866,9/15/17 13:55,,,,,,
64,2,1,1,4,4650,9/15/17 13:55,,,,,,
64,3,2,2,10,3165,9/15/17 13:55,,,,,,
64,3,3,10,5,2188,9/15/17 13:55,,,,,,
64,3,4,8,2,1957,9/15/17 13:55,,,,,,
65,0,0,8,1,18432,9/15/17 14:45,,,,,,
65,0,1,1,3,7832,9/15/17 14:45,,,,,,
65,0,2,3,8,9905,9/15/17 14:46,,,,,,
65,0,3,2,5,4378,9/15/17 14:46,,,,,,
65,8,4,7,10,10238,9/15/17 14:46,,,,,,
66,7,0,1,6,71480,9/15/17 15:28,,,,,,
66,4,1,6,5,20539,9/15/17 15:29,,,,,,
66,5,2,4,7,14686,9/15/17 15:29,,,,,,
66,3,3,7,9,15499,9/15/17 15:29,,,,,,
66,5,4,3,4,18315,9/15/17 15:29,,,,,,
67,0,0,10,7,34490,9/15/17 13:46,,,,,,
67,4,1,6,6,15246,9/15/17 13:47,,,,,,
67,2,2,9,3,19754,9/15/17 13:47,,,,,,
67,5,3,3,9,13553,9/15/17 13:47,,,,,,
67,4,4,4,5,5755,9/15/17 13:47,,,,,,
68,7,0,8,4,186218,9/15/17 16:37,,,,,,
68,8,1,7,1,32383,9/15/17 16:38,,,,,,
68,8,2,1,5,31810,9/15/17 16:38,,,,,,
68,4,3,2,3,18130,9/15/17 16:39,,,,,,
68,0,4,10,10,15618,9/15/17 16:39,,,,,,
69,0,0,5,4,115348,9/15/17 16:54,,,,,,
69,0,1,9,1,39665,9/15/17 16:55,,,,,,
69,0,2,3,5,21652,9/15/17 16:55,,,,,,
69,8,3,4,10,53177,9/15/17 16:56,,,,,,
69,0,4,1,6,19640,9/15/17 16:57,,,,,,
70,2,0,6,3,54484,9/15/17 16:34,,,,,,
70,1,1,8,8,41040,9/15/17 16:35,,,,,,
70,0,2,2,1,22529,9/15/17 16:35,,,,,,
70,1,3,7,4,26571,9/15/17 16:36,,,,,,
70,8,4,1,7,14411,9/15/17 16:36,,,,,,
71,5,0,6,4,47403,9/15/17 14:13,,,,,,
71,6,1,8,2,40427,9/15/17 14:14,,,,,,
71,5,2,3,5,88413,9/15/17 14:16,,,,,,
71,6,3,1,6,6318,9/15/17 14:16,,,,,,
71,6,4,4,3,4638,9/15/17 14:16,,,,,,
72,4,0,8,6,18021,9/15/17 14:03,,,,,,
72,5,1,5,4,7522,9/15/17 14:03,,,,,,
72,0,2,10,9,3080,9/15/17 14:03,,,,,,
72,1,3,9,8,5297,9/15/17 14:03,,,,,,
72,5,4,4,7,3765,9/15/17 14:03,,,,,,
73,0,0,9,8,30683,9/15/17 16:11,,,,,,
73,0,1,5,3,14031,9/15/17 16:11,,,,,,
73,0,2,7,6,9775,9/15/17 16:11,,,,,,
73,0,3,3,4,7535,9/15/17 16:11,,,,,,
73,0,4,1,1,9356,9/15/17 16:11,,,,,,
74,5,0,7,8,24637,9/15/17 14:03,,,,,,
74,1,1,8,3,11932,9/15/17 14:04,,,,,,
74,0,2,10,4,7077,9/15/17 14:04,,,,,,
74,5,3,3,5,6308,9/15/17 14:04,,,,,,
74,5,4,4,6,10941,9/15/17 14:04,,,,,,
75,6,0,2,7,31810,9/15/17 14:30,,,,,,
75,6,1,7,4,12511,9/15/17 14:30,,,,,,
75,7,2,6,1,8974,9/15/17 14:30,,,,,,
75,5,3,3,5,7612,9/15/17 14:31,,,,,,
75,5,4,4,2,4898,9/15/17 14:31,,,,,,
76,0,0,7,3,31472,9/15/17 16:24,,,,,,
76,0,1,1,7,18642,9/15/17 16:24,,,,,,
76,0,2,3,1,14611,9/15/17 16:25,,,,,,
76,0,3,4,10,10970,9/15/17 16:25,,,,,,
76,0,4,9,5,3891,9/15/17 16:25,,,,,,
77,4,0,7,6,597032,9/15/17 16:57,,,,,,
77,1,1,10,5,12263,9/15/17 16:58,,,,,,
77,5,2,2,3,9121,9/15/17 16:58,,,,,,
77,4,3,6,7,13602,9/15/17 16:58,,,,,,
77,4,4,5,4,6558,9/15/17 16:58,,,,,,
78,4,0,10,10,24726,9/15/17 16:37,,,,,,
78,3,1,8,1,11333,9/15/17 16:37,,,,,,
78,5,2,3,9,8171,9/15/17 16:37,,,,,,
78,3,3,7,5,5350,9/15/17 16:37,,,,,,
78,2,4,5,2,5703,9/15/17 16:37,,,,,,
79,3,0,3,3,16488,9/15/17 14:29,,,,,,
79,4,1,1,7,7297,9/15/17 14:29,,,,,,
79,4,2,9,8,4467,9/15/17 14:29,,,,,,
79,4,3,7,6,3859,9/15/17 14:29,,,,,,
79,2,4,8,4,2553,9/15/17 14:29,,,,,,
80,1,0,9,3,29284,9/15/17 15:43,,,,,,
80,4,1,6,8,10730,9/15/17 15:43,,,,,,
80,8,2,2,10,6352,9/15/17 15:43,,,,,,
80,6,3,5,7,9952,9/15/17 15:44,,,,,,
80,0,4,10,5,9097,9/15/17 15:44,,,,,,
81,8,0,4,2,41801,9/15/17 14:47,,,,,,
81,8,1,9,3,10263,9/15/17 14:48,,,,,,
81,8,2,7,1,12025,9/15/17 14:48,,,,,,
81,8,3,8,10,10149,9/15/17 14:48,,,,,,
81,8,4,6,8,10549,9/15/17 14:48,,,,,,
82,4,0,6,4,24587,9/15/17 15:44,,,,,,
82,2,1,8,6,7682,9/15/17 15:44,,,,,,
82,2,2,7,8,6408,9/15/17 15:44,,,,,,
82,7,3,2,1,4863,9/15/17 15:44,,,,,,
82,1,4,5,7,4405,9/15/17 15:44,,,,,,
83,2,0,1,3,24229,9/15/17 16:15,,,,,,
83,8,1,10,10,12219,9/15/17 16:15,,,,,,
83,6,2,6,2,10767,9/15/17 16:15,,,,,,
83,5,3,7,5,14981,9/15/17 16:15,,,,,,
83,4,4,9,9,6774,9/15/17 16:16,,,,,,
84,8,0,4,6,40774,9/15/17 14:27,,,,,,
84,8,1,3,2,47902,9/15/17 14:28,,,,,,
84,8,2,1,4,14716,9/15/17 14:28,,,,,,
84,8,3,6,10,18665,9/15/17 14:28,,,,,,
84,8,4,8,5,5592,9/15/17 14:28,,,,,,
85,7,0,8,10,50692,9/15/17 15:32,,,,,,
85,8,1,6,9,19860,9/15/17 15:32,,,,,,
85,8,2,10,7,13833,9/15/17 15:32,,,,,,
85,8,3,7,1,14277,9/15/17 15:32,,,,,,
85,8,4,4,6,15838,9/15/17 15:33,,,,,,
86,0,0,9,10,40841,9/15/17 16:23,,,,,,
86,0,1,1,2,25108,9/15/17 16:24,,,,,,
86,0,2,8,6,15491,9/15/17 16:24,,,,,,
86,0,3,4,4,11509,9/15/17 16:24,,,,,,
86,0,4,3,5,9923,9/15/17 16:25,,,,,,
87,1,0,8,2,24029,9/15/17 14:24,,,,,,
87,5,1,1,9,10150,9/15/17 14:25,,,,,,
87,4,2,7,8,13713,9/15/17 14:25,,,,,,
87,2,3,4,1,10631,9/15/17 14:25,,,,,,
87,5,4,3,5,8428,9/15/17 14:25,,,,,,
88,4,0,5,1,44409,9/15/17 14:37,,,,,,
88,4,1,2,7,19830,9/15/17 14:37,,,,,,
88,4,2,3,2,15584,9/15/17 14:38,,,,,,
88,4,3,6,8,9918,9/15/17 14:38,,,,,,
88,4,4,9,5,10278,9/15/17 14:38,,,,,,
89,1,0,9,5,22438,9/15/17 13:54,,,,,,
89,4,1,3,3,15549,9/15/17 13:55,,,,,,
89,4,2,2,2,16732,9/15/17 13:55,,,,,,
89,4,3,6,9,8762,9/15/17 13:55,,,,,,
89,4,4,7,7,7938,9/15/17 13:55,,,,,,
90,0,0,10,5,41603,9/15/17 13:41,,,,,,
90,4,1,8,7,20082,9/15/17 13:41,,,,,,
90,5,2,5,10,41512,9/15/17 13:42,,,,,,
90,8,3,2,3,17599,9/15/17 13:42,,,,,,
90,2,4,9,9,16800,9/15/17 13:42,,,,,,
91,4,0,6,4,44395,9/15/17 13:49,,,,,,
91,0,1,10,3,18764,9/15/17 13:49,,,,,,
91,4,2,3,1,16013,9/15/17 13:49,,,,,,
91,4,3,4,2,14335,9/15/17 13:50,,,,,,
91,4,4,7,6,11194,9/15/17 13:50,,,,,,
92,4,0,5,8,167935,9/15/17 15:51,,,,,,
92,5,1,6,1,108044,9/15/17 15:53,,,,,,
92,2,2,3,10,30309,9/15/17 15:53,,,,,,
92,7,3,9,5,84137,9/15/17 15:55,,,,,,
92,1,4,1,4,17113,9/15/17 15:55,,,,,,
93,1,0,9,6,83569,9/15/17 13:45,,,,,,
93,8,1,4,10,37255,9/15/17 13:45,,,,,,
93,0,2,5,2,15230,9/15/17 13:46,,,,,,
93,1,3,7,9,12134,9/15/17 13:46,,,,,,
93,1,4,3,8,15471,9/15/17 13:46,,,,,,
94,7,0,1,3,50368,9/15/17 13:41,,,,,,
94,6,1,10,10,11739,9/15/17 13:41,,,,,,
94,3,2,3,6,7960,9/15/17 13:41,,,,,,
94,7,3,4,9,10751,9/15/17 13:41,,,,,,
94,5,4,7,1,8259,9/15/17 13:42,,,,,,
95,4,0,6,1,15987,9/15/17 13:34,,,,,,
95,4,1,5,7,8816,9/15/17 13:34,,,,,,
95,4,2,8,5,6799,9/15/17 13:34,,,,,,
95,4,3,3,4,3692,9/15/17 13:34,,,,,,
95,0,4,10,3,10524,9/15/17 13:35,,,,,,
96,6,0,1,1,54555,9/15/17 15:29,,,,,,
96,2,1,4,7,29621,9/15/17 15:30,,,,,,
96,0,2,10,10,17529,9/15/17 15:30,,,,,,
96,4,3,3,5,14540,9/15/17 15:30,,,,,,
96,3,4,2,3,12075,9/15/17 15:31,,,,,,
97,8,0,6,10,64127,9/15/17 13:45,,,,,,
