AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Actual Completion Code,,,
AJOHW4ZVBL6MD,3MHW492WW0EKTEH0ECU422NZN9HMVX,1409,9/14/2017 2:42:50 PM,9/14/2017 3:06:19 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3N7R7P9HP2YB6,3LS2AMNW5FRGO96V5TF7OJDW1HHQOM,1526,9/14/2017 2:42:08 PM,9/14/2017 3:07:34 PM,Approved,0.35,0.00,JDA335XQQ,,,
A9NB559YR79NC,3WSELTNVR334EL4MCE4KST4EW7DATM,297,9/14/2017 2:49:39 PM,9/14/2017 2:54:36 PM,Approved,0.35,0.00,JDA335XQQ,,,
A26I57LNED30Z2,3H8DHMCCW9C399HB2FHUH3POYXJDKL,225,9/14/2017 2:50:43 PM,9/14/2017 2:54:29 PM,Approved,0.35,0.00,JDA335XQQ,,,
A28WSBB0DSV47X,3V5Q80FXIXSAA1BOKK5E4YHIQK523N,102,9/14/2017 2:19:31 PM,9/14/2017 2:21:13 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1N8IT6PFVE7SU,3KGTPGBS6XMU9VO7Z41FR77I3XQU2O,150,9/14/2017 2:33:29 PM,9/14/2017 2:35:59 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1OZ3PPHAEWA8S,3KB8R4ZV1E85SQN8YS59OL9VOVOGBC,239,9/14/2017 2:33:23 PM,9/14/2017 2:37:22 PM,Approved,0.35,0.00,JDA335XQQ,,,
AAR5VQ8QIO5PC,3SNLUL3WO4O0AHAF9AJK636R9XGLU3,187,9/14/2017 2:25:32 PM,9/14/2017 2:28:40 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2MF4QDKE40KVN,3PH3VY7DJLYX7AGOJBPUW62M9MZWZW,130,9/14/2017 2:29:13 PM,9/14/2017 2:31:24 PM,Approved,0.35,0.00,JDA335XQQ,,,
A7ULVYZ4JGW8L,30IQTZXKAK7FUPFOPM8OSQD70HLX0X,116,9/14/2017 2:20:27 PM,9/14/2017 2:22:24 PM,Approved,0.35,0.00,JDA335XQQ,,,
A1TGT6FVIZRNS5,3SB5N7Y3O35483KY0C8K44DCXRR0GA,359,9/14/2017 2:30:26 PM,9/14/2017 2:36:26 PM,Approved,0.35,0.00,JDA335XQQ,,,
A29SETAL44W6LV,3S4AW7T80BJ1TJG0U4S2TZ8XALX4L6,105,9/14/2017 3:08:29 PM,9/14/2017 3:10:14 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2TQNX64349OZ9,3V5Q80FXIXSAA1BOKK5E4YHIQK732Q,438,9/14/2017 2:38:55 PM,9/14/2017 2:46:13 PM,Approved,0.35,0.00,JDA335XQQ,,,
A2QMHQXR8K4VJ2,3RKNTXVS3MZKX0PWXD3CKLSMG8T4AH,606,9/14/2017 2:19:32 PM,9/14/2017 2:29:39 PM,Approved,0.35,0.00,JDA335XQQ,,,
A3N1W4VYI7VXEV,3DIP6YHAPCTO6ETAPLVBXGYI39NE8T,1576,9/14/2017 2:25:14 PM,9/14/2017 2:51:30 PM,Approved,0.35,0.00,JDA335XQQ,,,
