"subject","version","assignmentId","rating","rating2","rating3","question_ind","trial_ind","focal_high","alt_high","alt2_high","greenSecond","rt","stamp","id"
"A1RXG8RE0SJ4LC","caus_thomas_fire_v6","35BLDD71I6YKSLGJT1KYA4J88MTVZ5","8","0","8","1,0,2","0","1","1","1",,"7607","2017-10-17 13:57:21","24010"
"A2FI2VTA8JVYS6","caus_thomas_fire_v6","3NS0A6KXC491AOQO46LCA3GYL75GZ1","5","6","3","0,1,2","0","1","1","0",,"26004","2017-10-17 13:57:24","24011"
"A3UNUH7D8FKJ3L","caus_thomas_fire_v6","3BEFOD78W6ULZ1YLUGTHTCNMGYEM43","0","8","0","2,0,1","0","1","1","0",,"13317","2017-10-17 13:57:28","24012"
"A33QX0QXEX943S","caus_thomas_fire_v6","358010RM5EUVNQG4SJWDDJ3X0MVVX8","5","6","5","1,2,0","0","0","1","1",,"7636","2017-10-17 13:57:29","24013"
"A33921T4I2XIRS","caus_thomas_fire_v6","34S9DKFK73Q7FQX5VOWOMGGTGPNNYP","0","7","0","2,0,1","0","1","1","0",,"15506","2017-10-17 13:57:31","24014"
"A25R2OI9L2Q1OW","caus_thomas_fire_v6","3EO896NRAWWFFE7Q6KHXLS7XS30JTS","4","0","8","2,0,1","0","1","1","1",,"18001","2017-10-17 13:57:38","24015"
"A1U6SQML59J1LX","caus_thomas_fire_v6","35GCEFQ6I5P0GCE09RESR9RPH213ZH","0","8","7","0,1,2","0","1","1","0",,"12378","2017-10-17 13:57:45","24016"
"A4MNEMGPU0KAD","caus_thomas_fire_v6","3VD82FOHKQPCU8WC0BEC4EOF3BAOCX","3","5","5","0,1,2","0","1","1","0",,"18025","2017-10-17 13:57:47","24017"
"A2PDDOU75JXTN7","caus_thomas_fire_v6","3M68NM076H8QB4FRICIDC91AICJR6H","0","8","8","0,1,2","0","0","1","0",,"14489","2017-10-17 13:57:49","24018"
"A33FSJRW7E1XVV","caus_thomas_fire_v6","3GFK2QRXX9IZ0WWZCNIE72VREWNW59","4","5","1","2,1,0","0","1","1","1",,"20097","2017-10-17 13:57:54","24019"
"AMI7O28BUU547","caus_thomas_fire_v6","3W2LOLRXLBGXAJ0GKGCEMS6SJ73RKM","3","8","0","0,1,2","0","0","1","1",,"14923","2017-10-17 13:57:55","24020"
"AUDADS1HJVX6V","caus_thomas_fire_v6","3L0KT67Y8EH4V3PA3KDALAQZ3OVYSC","0","8","8","1,0,2","0","0","1","0",,"19260","2017-10-17 13:57:57","24021"
"A2WOU3CII8ER24","caus_thomas_fire_v6","3RYC5T2D73UYLAXWX8HMI9SRDH9RPN","2","7","7","1,2,0","0","0","1","0",,"10071","2017-10-17 13:58:08","24022"
"AS8BGRD5QFUTQ","caus_thomas_fire_v6","3R08VXYT7CWEN0AI0GXB5M9N52IW7O","1","1","1","1,2,0","0","0","1","0",,"18510","2017-10-17 13:58:12","24023"
"A3L4RJUHA0CJEA","caus_thomas_fire_v6","39K0FND3AHG01QE23H386F9M88AMAE","5","0","6","0,2,1","0","0","1","1",,"15065","2017-10-17 13:58:21","24024"
"A5ET25WTBJC0J","caus_thomas_fire_v6","3MTMREQS4VJW628G7J9VFDBD6AOWAF","2","6","3","2,1,0","0","0","1","0",,"16367","2017-10-17 13:58:22","24025"
"AJ9N1D8B96693","caus_thomas_fire_v6","3RGU30DZTA9B2JH6XNGLZEC5YV4MJU","2","8","7","2,0,1","0","0","1","0",,"16076","2017-10-17 13:58:23","24026"
"A2GF7PYHT21U3X","caus_thomas_fire_v6","3Z4XG4ZF48SXCEKRKQL3L5JPPOUX85","4","4","7","2,0,1","0","1","1","1",,"5775","2017-10-17 13:58:24","24027"
"A3UDXVVGJ88LS2","caus_thomas_fire_v6","34V1S5K3GS2K74J5OVIRLO1GCQE69A","0","7","7","0,2,1","0","0","1","0",,"34817","2017-10-17 13:58:27","24028"
"A2QX2B50DM45E2","caus_thomas_fire_v6","3D8YOU6S9ELIRW78M6DIHKOUPBO6U1","1","8","8","1,0,2","0","1","1","0",,"25142","2017-10-17 13:58:33","24029"
"AI9NJ89EXVDY1","caus_thomas_fire_v6","3BQU611VFPL7PNL3M2L35YSI2RM99O","8","0","8","2,0,1","0","0","1","1",,"11136","2017-10-17 13:58:33","24030"
"A2IGPW784OFV3D","caus_thomas_fire_v6","3EO896NRAWWFFE7Q6KHXLS7XS30TJ2","8","0","8","2,0,1","0","1","1","1",,"33686","2017-10-17 13:58:35","24031"
"A2VRDE2FHCBMF8","caus_thomas_fire_v6","3NQL1CS15R9KNV6EXFIFWXA62SPYVH","0","8","8","0,1,2","0","0","1","0",,"16050","2017-10-17 13:58:38","24032"
"A3S7I1TRSRWO73","caus_thomas_fire_v6","3TR2532VIPV9DGWEA794AIFJ8VQ6J5","5","1","1","2,0,1","0","1","1","1",,"25752","2017-10-17 13:58:39","24033"
"A1LB9JOMFQ1UMG","caus_thomas_fire_v6","3IRIK4HM3ALM52Q80FSINE2OIBH6CR","8","1","6","2,1,0","0","1","1","1",,"10228","2017-10-17 13:58:40","24034"
"AM3QYFU2FGENQ","caus_thomas_fire_v6","3018Q3ZVOIRRY6RU8PZPSE3WEV9RA7","1","5","3","2,1,0","0","1","1","0",,"25955","2017-10-17 13:58:42","24035"
"A3UQXYJ8EV62WE","caus_thomas_fire_v6","31JLPPHS2UVOH80T7I3BBBKLXYY3OF","8","0","6","2,0,1","0","1","1","1",,"14075","2017-10-17 13:58:43","24036"
"A63QNYB26OEZN","caus_thomas_fire_v6","3HVVDCPGTET5A32PSKI0VFML579TYW","8","0","0","1,2,0","0","1","1","1",,"22874","2017-10-17 13:58:45","24037"
"A1PKCBFB4QY19G","caus_thomas_fire_v6","3KOPY89HM83AGX9WR5B63F3ZY4O3JW","0","8","0","1,2,0","0","0","1","0",,"16902","2017-10-17 13:58:45","24038"
"A7BJQT4AKDHAO","caus_thomas_fire_v6","345LHZDEDXTJUDKQ34FKAHCAFKLU3I","7","4","4","2,1,0","0","1","1","1",,"29939","2017-10-17 13:58:46","24039"
"A3D6DQGF78M17W","caus_thomas_fire_v6","33C7UALJVLZPMDZYDX0WQWFOK9G18I","0","8","8","2,0,1","0","1","1","0",,"50736","2017-10-17 13:58:48","24040"
"AK9XE112RZO6Q","caus_thomas_fire_v6","3KXIR214I4HVSXUSKYAXE39OATY24T","8","8","8","1,2,0","0","1","1","0",,"14277","2017-10-17 13:58:58","24041"
"A1HSIZDCB5ERWT","caus_thomas_fire_v6","3KV0LJBBH2MS070J5SPU15YW8CYMRM","6","0","7","1,0,2","0","1","1","1",,"37111","2017-10-17 13:58:59","24042"
"A6VQ0UN0ETESM","caus_thomas_fire_v6","37XITHEISWAFRLOSS3VGY9TKEYURC9","0","8","8","2,0,1","0","0","1","0",,"24765","2017-10-17 13:59:11","24043"
"A2LGSV2MKHWA49","caus_thomas_fire_v6","3ZWFC4W1UU8MUX82J5LH6FENBBMRFK","0","7","8","1,2,0","0","0","1","0",,"18251","2017-10-17 13:59:13","24044"
"A0657006AJFWB5ZA91B2","caus_thomas_fire_v6","39KFRKBFINWPXBXHW3W115GY6ZSYOF","8","0","8","2,1,0","0","1","1","1",,"23845","2017-10-17 13:59:13","24045"
"A26SF9CTNKKBYB","caus_thomas_fire_v6","33SA9F9TRXVZWFPSNOBHBW14RPMWEA","7","1","1","2,1,0","0","0","1","1",,"24353","2017-10-17 13:59:14","24046"
"A25N0K40JAZTN1","caus_thomas_fire_v6","3R9WASFE2ZHVWOUTTMFUSIGMKS5ZFL","0","8","8","0,1,2","0","1","1","0",,"22726","2017-10-17 13:59:15","24047"
"A3Q1EZDNIUK41P","caus_thomas_fire_v6","38YMOXR4MU0VJ0WDH6SJZ89RARZ6W0","8","0","0","0,1,2","0","1","1","1",,"21628","2017-10-17 13:59:15","24048"
"A2KFZY7OYDJVF2","caus_thomas_fire_v6","3PWWM24LHSZWBYHUW10AVFPTCFU280","5","2","8","1,0,2","0","0","1","1",,"19028","2017-10-17 13:59:19","24049"
